CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,SEASHORE.DXR,1,bitmap,,,
1,Internal,SEASHORE.DXR,2,bitmap,,,
1,Internal,SEASHORE.DXR,3,bitmap,,,
1,Internal,SEASHORE.DXR,4,bitmap,,,
1,Internal,SEASHORE.DXR,5,bitmap,,,
1,Internal,SEASHORE.DXR,6,bitmap,,,
1,Internal,SEASHORE.DXR,7,bitmap,,,
1,Internal,SEASHORE.DXR,8,bitmap,,,
1,Internal,SEASHORE.DXR,9,bitmap,,,
1,Internal,SEASHORE.DXR,10,bitmap,,,
1,Internal,SEASHORE.DXR,11,bitmap,,,
1,Internal,SEASHORE.DXR,12,bitmap,,,
1,Internal,SEASHORE.DXR,13,bitmap,,,
1,Internal,SEASHORE.DXR,14,bitmap,,,
1,Internal,SEASHORE.DXR,15,bitmap,,,
1,Internal,SEASHORE.DXR,16,bitmap,,,
1,Internal,SEASHORE.DXR,17,bitmap,,,
1,Internal,SEASHORE.DXR,18,transition,,,
1,Internal,SEASHORE.DXR,19,transition,,,
1,Internal,SEASHORE.DXR,20,bitmap,,,
1,Internal,SEASHORE.DXR,21,bitmap,,,
1,Internal,SEASHORE.DXR,22,transition,,,
1,Internal,SEASHORE.DXR,23,script,,,
1,Internal,SEASHORE.DXR,24,script,,,
1,Internal,SEASHORE.DXR,25,script,,,
1,Internal,SEASHORE.DXR,26,script,,,
1,Internal,SEASHORE.DXR,27,script,,,
1,Internal,SEASHORE.DXR,28,script,,,
1,Internal,SEASHORE.DXR,29,script,,,
1,Internal,SEASHORE.DXR,30,script,,,
1,Internal,SEASHORE.DXR,31,script,,,
1,Internal,SEASHORE.DXR,32,script,,,
1,Internal,SEASHORE.DXR,33,script,,,
1,Internal,SEASHORE.DXR,34,script,,,
1,Internal,SEASHORE.DXR,35,script,,,
1,Internal,SEASHORE.DXR,36,script,,,
1,Internal,SEASHORE.DXR,37,script,,,
1,Internal,SEASHORE.DXR,38,transition,,,
1,Internal,SEASHORE.DXR,39,transition,,,
1,Internal,SEASHORE.DXR,40,script,,,
1,Internal,SEASHORE.DXR,41,sound,Óá«ù‰J«ÿ«»1,,
1,Internal,SEASHORE.DXR,42,sound,Â∆«ù‰J«ÿ«»,,
1,Internal,SEASHORE.DXR,43,sound,untitled 17,,
1,Internal,SEASHORE.DXR,44,script,,,
2,Pon.Cst,Pon.cxt,1,script,,,
2,Pon.Cst,Pon.cxt,2,bitmap,,,
2,Pon.Cst,Pon.cxt,3,bitmap,,,
2,Pon.Cst,Pon.cxt,4,bitmap,,,
2,Pon.Cst,Pon.cxt,5,bitmap,,,
2,Pon.Cst,Pon.cxt,6,bitmap,,,
2,Pon.Cst,Pon.cxt,7,bitmap,,,
2,Pon.Cst,Pon.cxt,8,bitmap,,,
2,Pon.Cst,Pon.cxt,9,bitmap,,,
2,Pon.Cst,Pon.cxt,10,bitmap,,,
2,Pon.Cst,Pon.cxt,11,filmLoop,PonRunF,,
2,Pon.Cst,Pon.cxt,12,bitmap,,,
2,Pon.Cst,Pon.cxt,13,bitmap,,,
2,Pon.Cst,Pon.cxt,14,bitmap,ponStopB,,
2,Pon.Cst,Pon.cxt,15,bitmap,,,
2,Pon.Cst,Pon.cxt,16,bitmap,,,
2,Pon.Cst,Pon.cxt,17,bitmap,,,
2,Pon.Cst,Pon.cxt,18,bitmap,,,
2,Pon.Cst,Pon.cxt,19,bitmap,,,
2,Pon.Cst,Pon.cxt,20,bitmap,,,
2,Pon.Cst,Pon.cxt,21,filmLoop,PonRunB,,
2,Pon.Cst,Pon.cxt,22,bitmap,,,
2,Pon.Cst,Pon.cxt,23,bitmap,,,
2,Pon.Cst,Pon.cxt,24,bitmap,,,
2,Pon.Cst,Pon.cxt,25,bitmap,,,
2,Pon.Cst,Pon.cxt,26,bitmap,,,
2,Pon.Cst,Pon.cxt,27,bitmap,,,
2,Pon.Cst,Pon.cxt,28,bitmap,,,
2,Pon.Cst,Pon.cxt,29,bitmap,,,
2,Pon.Cst,Pon.cxt,30,bitmap,,,
2,Pon.Cst,Pon.cxt,31,filmLoop,PonRunL,,
2,Pon.Cst,Pon.cxt,32,filmLoop,PonRunR,,
2,Pon.Cst,Pon.cxt,33,bitmap,,,
2,Pon.Cst,Pon.cxt,34,bitmap,,,
2,Pon.Cst,Pon.cxt,35,bitmap,,,
2,Pon.Cst,Pon.cxt,36,bitmap,PonL,,
2,Pon.Cst,Pon.cxt,37,bitmap,,,
