CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,OSTRICH.DXR,1,bitmap,,,
1,Internal,OSTRICH.DXR,2,bitmap,,,
1,Internal,OSTRICH.DXR,3,filmLoop,…_…`…·…E.run,,
1,Internal,OSTRICH.DXR,4,bitmap,,,
1,Internal,OSTRICH.DXR,5,bitmap,,,
1,Internal,OSTRICH.DXR,6,bitmap,,,
1,Internal,OSTRICH.DXR,7,bitmap,,,
1,Internal,OSTRICH.DXR,8,bitmap,,,
1,Internal,OSTRICH.DXR,9,bitmap,,,
1,Internal,OSTRICH.DXR,10,bitmap,,,
1,Internal,OSTRICH.DXR,11,bitmap,,,
1,Internal,OSTRICH.DXR,12,filmLoop,talk,,
1,Internal,OSTRICH.DXR,13,bitmap,,,
1,Internal,OSTRICH.DXR,14,bitmap,,,
1,Internal,OSTRICH.DXR,15,bitmap,,,
1,Internal,OSTRICH.DXR,16,bitmap,,,
1,Internal,OSTRICH.DXR,17,bitmap,,,
1,Internal,OSTRICH.DXR,18,bitmap,,,
1,Internal,OSTRICH.DXR,19,bitmap,,,
1,Internal,OSTRICH.DXR,20,bitmap,,,
1,Internal,OSTRICH.DXR,21,filmLoop,walk.L,,
1,Internal,OSTRICH.DXR,22,bitmap,,,
1,Internal,OSTRICH.DXR,23,bitmap,,,
1,Internal,OSTRICH.DXR,24,bitmap,,,
1,Internal,OSTRICH.DXR,25,bitmap,,,
1,Internal,OSTRICH.DXR,26,bitmap,,,
1,Internal,OSTRICH.DXR,27,bitmap,,,
1,Internal,OSTRICH.DXR,28,bitmap,,,
1,Internal,OSTRICH.DXR,29,bitmap,,,
1,Internal,OSTRICH.DXR,30,bitmap,,,
1,Internal,OSTRICH.DXR,31,bitmap,,,
1,Internal,OSTRICH.DXR,32,bitmap,,,
1,Internal,OSTRICH.DXR,33,bitmap,,,
1,Internal,OSTRICH.DXR,34,bitmap,,,
1,Internal,OSTRICH.DXR,35,bitmap,,,
1,Internal,OSTRICH.DXR,36,bitmap,,,
1,Internal,OSTRICH.DXR,37,bitmap,,,
1,Internal,OSTRICH.DXR,38,bitmap,(…G…~…÷≈[) stand,,
1,Internal,OSTRICH.DXR,39,filmLoop,…_…`…·…E.walk,,
1,Internal,OSTRICH.DXR,40,bitmap,,,
1,Internal,OSTRICH.DXR,41,bitmap,,,
1,Internal,OSTRICH.DXR,42,bitmap,,,
1,Internal,OSTRICH.DXR,43,bitmap,,,
1,Internal,OSTRICH.DXR,44,bitmap,,,
1,Internal,OSTRICH.DXR,45,bitmap,,,
1,Internal,OSTRICH.DXR,46,bitmap,,,
1,Internal,OSTRICH.DXR,47,bitmap,,,
1,Internal,OSTRICH.DXR,48,filmLoop,cho run,,
1,Internal,OSTRICH.DXR,49,bitmap,,,
1,Internal,OSTRICH.DXR,50,bitmap,,,
1,Internal,OSTRICH.DXR,51,bitmap,,,
1,Internal,OSTRICH.DXR,52,bitmap,,,
1,Internal,OSTRICH.DXR,53,filmLoop,pon run,,
1,Internal,OSTRICH.DXR,54,bitmap,,,
1,Internal,OSTRICH.DXR,55,bitmap,,,
1,Internal,OSTRICH.DXR,56,bitmap,,,
1,Internal,OSTRICH.DXR,57,bitmap,,,
1,Internal,OSTRICH.DXR,58,bitmap,,,
1,Internal,OSTRICH.DXR,59,bitmap,,,
