CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,OIL.DXR,1,bitmap,,,
1,Internal,OIL.DXR,2,bitmap,,,
1,Internal,OIL.DXR,3,bitmap,,,
1,Internal,OIL.DXR,4,bitmap,,,
1,Internal,OIL.DXR,5,filmLoop,ÓR«∂«»,,
1,Internal,OIL.DXR,6,transition,,,
1,Internal,OIL.DXR,7,bitmap,,,
1,Internal,OIL.DXR,8,bitmap,,,
1,Internal,OIL.DXR,9,filmLoop,fireLoop,,
1,Internal,OIL.DXR,10,bitmap,,,
1,Internal,OIL.DXR,11,bitmap,,,
1,Internal,OIL.DXR,12,bitmap,,,
1,Internal,OIL.DXR,13,bitmap,,,
1,Internal,OIL.DXR,14,filmLoop,water*,,
1,Internal,OIL.DXR,15,filmLoop,Áœ„–‡¶.talk,,
1,Internal,OIL.DXR,16,bitmap,,,
1,Internal,OIL.DXR,17,bitmap,,,
1,Internal,OIL.DXR,18,bitmap,,,
1,Internal,OIL.DXR,19,bitmap,,,
1,Internal,OIL.DXR,20,bitmap,,,
1,Internal,OIL.DXR,21,bitmap,,,
1,Internal,OIL.DXR,22,bitmap,,,
1,Internal,OIL.DXR,23,bitmap,,,
1,Internal,OIL.DXR,24,bitmap,,,
1,Internal,OIL.DXR,25,filmLoop,Áœ„–‡¶.walk.R,,
1,Internal,OIL.DXR,26,bitmap,,,
1,Internal,OIL.DXR,27,bitmap,,,
1,Internal,OIL.DXR,28,bitmap,,,
1,Internal,OIL.DXR,29,bitmap,,,
1,Internal,OIL.DXR,30,bitmap,,,
1,Internal,OIL.DXR,31,bitmap,,,
1,Internal,OIL.DXR,32,bitmap,,,
1,Internal,OIL.DXR,33,bitmap,,,
1,Internal,OIL.DXR,34,bitmap,,,
1,Internal,OIL.DXR,35,bitmap,,,
1,Internal,OIL.DXR,36,bitmap,,,
1,Internal,OIL.DXR,37,bitmap,,,
1,Internal,OIL.DXR,38,bitmap,,,
1,Internal,OIL.DXR,39,script,,,
