CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,SUN.DXR,1,script,,,
1,Internal,SUN.DXR,2,bitmap,,,
1,Internal,SUN.DXR,3,script,,,
1,Internal,SUN.DXR,4,transition,,,
1,Internal,SUN.DXR,5,script,,,
1,Internal,SUN.DXR,6,script,dly60,,
1,Internal,SUN.DXR,7,script,,,
1,Internal,SUN.DXR,8,script,,,
1,Internal,SUN.DXR,9,script,,,
1,Internal,SUN.DXR,10,script,,,
1,Internal,SUN.DXR,11,script,,,
1,Internal,SUN.DXR,12,script,,,
1,Internal,SUN.DXR,13,script,,,
1,Internal,SUN.DXR,14,script,,,
1,Internal,SUN.DXR,15,sound,…A…t…‰…J8,,
2,itemAFRICA,ItemAf.cxt,1,bitmap,Life,,
2,itemAFRICA,ItemAf.cxt,2,bitmap,Water,,
2,itemAFRICA,ItemAf.cxt,3,bitmap,GRAND,,
2,itemAFRICA,ItemAf.cxt,4,sound,DANCE_04.AIF,,
2,itemAFRICA,ItemAf.cxt,5,bitmap,FIRE,,
2,itemAFRICA,ItemAf.cxt,6,bitmap,Sun,,
2,itemAFRICA,ItemAf.cxt,7,sound,296,,
2,itemAFRICA,ItemAf.cxt,8,bitmap,CurFire,,
2,itemAFRICA,ItemAf.cxt,9,bitmap,CurSun,,
2,itemAFRICA,ItemAf.cxt,10,bitmap,CurGrand,,
2,itemAFRICA,ItemAf.cxt,11,bitmap,CurWater,,
2,itemAFRICA,ItemAf.cxt,12,bitmap,CurLife,,
2,itemAFRICA,ItemAf.cxt,13,script,,,
2,itemAFRICA,ItemAf.cxt,18,bitmap,FlashCurFire,,
2,itemAFRICA,ItemAf.cxt,19,bitmap,FlashCurSun,,
2,itemAFRICA,ItemAf.cxt,20,bitmap,FlashCurGrand,,
2,itemAFRICA,ItemAf.cxt,21,bitmap,FlashCurWater,,
2,itemAFRICA,ItemAf.cxt,22,bitmap,FlashCurLife,,
2,itemAFRICA,ItemAf.cxt,24,bitmap,AFKEY,,
3,Pon.Cst,Pon.cxt,1,script,,,
3,Pon.Cst,Pon.cxt,2,bitmap,,,
3,Pon.Cst,Pon.cxt,3,bitmap,,,
3,Pon.Cst,Pon.cxt,4,bitmap,,,
3,Pon.Cst,Pon.cxt,5,bitmap,,,
3,Pon.Cst,Pon.cxt,6,bitmap,,,
3,Pon.Cst,Pon.cxt,7,bitmap,,,
3,Pon.Cst,Pon.cxt,8,bitmap,,,
3,Pon.Cst,Pon.cxt,9,bitmap,,,
3,Pon.Cst,Pon.cxt,10,bitmap,,,
3,Pon.Cst,Pon.cxt,11,filmLoop,PonRunF,,
3,Pon.Cst,Pon.cxt,12,bitmap,,,
3,Pon.Cst,Pon.cxt,13,bitmap,,,
3,Pon.Cst,Pon.cxt,14,bitmap,ponStopB,,
3,Pon.Cst,Pon.cxt,15,bitmap,,,
3,Pon.Cst,Pon.cxt,16,bitmap,,,
3,Pon.Cst,Pon.cxt,17,bitmap,,,
3,Pon.Cst,Pon.cxt,18,bitmap,,,
3,Pon.Cst,Pon.cxt,19,bitmap,,,
3,Pon.Cst,Pon.cxt,20,bitmap,,,
3,Pon.Cst,Pon.cxt,21,filmLoop,PonRunB,,
3,Pon.Cst,Pon.cxt,22,bitmap,,,
3,Pon.Cst,Pon.cxt,23,bitmap,,,
3,Pon.Cst,Pon.cxt,24,bitmap,,,
3,Pon.Cst,Pon.cxt,25,bitmap,,,
3,Pon.Cst,Pon.cxt,26,bitmap,,,
3,Pon.Cst,Pon.cxt,27,bitmap,,,
3,Pon.Cst,Pon.cxt,28,bitmap,,,
3,Pon.Cst,Pon.cxt,29,bitmap,,,
3,Pon.Cst,Pon.cxt,30,bitmap,,,
3,Pon.Cst,Pon.cxt,31,filmLoop,PonRunL,,
3,Pon.Cst,Pon.cxt,32,filmLoop,PonRunR,,
3,Pon.Cst,Pon.cxt,33,bitmap,,,
3,Pon.Cst,Pon.cxt,34,bitmap,,,
3,Pon.Cst,Pon.cxt,35,bitmap,,,
3,Pon.Cst,Pon.cxt,36,bitmap,PonL,,
3,Pon.Cst,Pon.cxt,37,bitmap,,,
3,Pon.Cst,Pon.cxt,38,bitmap,,,
3,Pon.Cst,Pon.cxt,39,bitmap,,,
3,Pon.Cst,Pon.cxt,40,bitmap,,,
3,Pon.Cst,Pon.cxt,41,bitmap,,,
3,Pon.Cst,Pon.cxt,42,bitmap,,,
3,Pon.Cst,Pon.cxt,43,bitmap,,,
3,Pon.Cst,Pon.cxt,44,bitmap,,,
3,Pon.Cst,Pon.cxt,45,bitmap,,,
3,Pon.Cst,Pon.cxt,46,bitmap,,,
3,Pon.Cst,Pon.cxt,47,bitmap,,,
3,Pon.Cst,Pon.cxt,48,bitmap,,,
3,Pon.Cst,Pon.cxt,49,bitmap,,,
3,Pon.Cst,Pon.cxt,50,filmLoop,PonTalkR,,
3,Pon.Cst,Pon.cxt,51,bitmap,,,
3,Pon.Cst,Pon.cxt,52,bitmap,,,
3,Pon.Cst,Pon.cxt,53,bitmap,,,
3,Pon.Cst,Pon.cxt,54,bitmap,,,
3,Pon.Cst,Pon.cxt,55,bitmap,,,
3,Pon.Cst,Pon.cxt,56,bitmap,,,
3,Pon.Cst,Pon.cxt,57,bitmap,,,
3,Pon.Cst,Pon.cxt,58,bitmap,,,
3,Pon.Cst,Pon.cxt,59,filmLoop,PonTalkL,,
3,Pon.Cst,Pon.cxt,60,bitmap,PonStopL,,
3,Pon.Cst,Pon.cxt,61,bitmap,PonStopR,,
3,Pon.Cst,Pon.cxt,62,bitmap,PonStopRR,,
3,Pon.Cst,Pon.cxt,63,bitmap,,,
3,Pon.Cst,Pon.cxt,64,bitmap,,,
3,Pon.Cst,Pon.cxt,65,bitmap,,,
3,Pon.Cst,Pon.cxt,66,filmLoop,PonGetR,,
3,Pon.Cst,Pon.cxt,67,bitmap,PonStopLL,,
3,Pon.Cst,Pon.cxt,68,bitmap,,,
3,Pon.Cst,Pon.cxt,69,bitmap,,,
3,Pon.Cst,Pon.cxt,70,bitmap,,,
3,Pon.Cst,Pon.cxt,71,bitmap,,,
3,Pon.Cst,Pon.cxt,72,bitmap,,,
3,Pon.Cst,Pon.cxt,73,bitmap,,,
3,Pon.Cst,Pon.cxt,74,bitmap,,,
3,Pon.Cst,Pon.cxt,75,filmLoop,PonGetL,,
3,Pon.Cst,Pon.cxt,76,filmLoop,PonPunchL,,
3,Pon.Cst,Pon.cxt,77,bitmap,,,
3,Pon.Cst,Pon.cxt,78,bitmap,,,
3,Pon.Cst,Pon.cxt,79,bitmap,,,
3,Pon.Cst,Pon.cxt,80,bitmap,,,
3,Pon.Cst,Pon.cxt,81,filmLoop,PonPunchR,,
3,Pon.Cst,Pon.cxt,82,bitmap,,,
3,Pon.Cst,Pon.cxt,83,bitmap,,,
3,Pon.Cst,Pon.cxt,84,bitmap,,,
3,Pon.Cst,Pon.cxt,85,bitmap,,,
