CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,RIVERON.DXR,1,script,,,
1,Internal,RIVERON.DXR,2,bitmap,,,
1,Internal,RIVERON.DXR,3,bitmap,,,
1,Internal,RIVERON.DXR,4,bitmap,,,
1,Internal,RIVERON.DXR,5,bitmap,,,
1,Internal,RIVERON.DXR,6,filmLoop,Ô««©«ëship,,
1,Internal,RIVERON.DXR,7,bitmap,,,
1,Internal,RIVERON.DXR,8,bitmap,,,
1,Internal,RIVERON.DXR,9,bitmap,,,
1,Internal,RIVERON.DXR,10,bitmap,,,
1,Internal,RIVERON.DXR,11,bitmap,,,
1,Internal,RIVERON.DXR,12,bitmap,,,
1,Internal,RIVERON.DXR,13,filmLoop,ËßÍl.talk,,
1,Internal,RIVERON.DXR,14,bitmap,,,
1,Internal,RIVERON.DXR,15,bitmap,,,
1,Internal,RIVERON.DXR,16,bitmap,,,
1,Internal,RIVERON.DXR,17,bitmap,,,
1,Internal,RIVERON.DXR,18,bitmap,,,
1,Internal,RIVERON.DXR,19,bitmap,,,
1,Internal,RIVERON.DXR,20,bitmap,,,
1,Internal,RIVERON.DXR,21,bitmap,,,
1,Internal,RIVERON.DXR,22,bitmap,,,
1,Internal,RIVERON.DXR,23,bitmap,,,
1,Internal,RIVERON.DXR,24,bitmap,90gcast,,
1,Internal,RIVERON.DXR,25,bitmap,40,,
1,Internal,RIVERON.DXR,26,bitmap,70,,
1,Internal,RIVERON.DXR,27,bitmap,,,
1,Internal,RIVERON.DXR,28,bitmap,,,
1,Internal,RIVERON.DXR,29,bitmap,,,
1,Internal,RIVERON.DXR,30,bitmap,,,
1,Internal,RIVERON.DXR,31,bitmap,,,
1,Internal,RIVERON.DXR,32,bitmap,,,
1,Internal,RIVERON.DXR,33,bitmap,,,
1,Internal,RIVERON.DXR,34,bitmap,,,
1,Internal,RIVERON.DXR,35,bitmap,,,
1,Internal,RIVERON.DXR,36,bitmap,,,
1,Internal,RIVERON.DXR,37,bitmap,,,
1,Internal,RIVERON.DXR,38,bitmap,,,
1,Internal,RIVERON.DXR,39,bitmap,,,
1,Internal,RIVERON.DXR,40,bitmap,,,
1,Internal,RIVERON.DXR,41,bitmap,,,
1,Internal,RIVERON.DXR,42,bitmap,,,
1,Internal,RIVERON.DXR,43,bitmap,,,
1,Internal,RIVERON.DXR,44,bitmap,,,
1,Internal,RIVERON.DXR,45,bitmap,,,
1,Internal,RIVERON.DXR,46,bitmap,,,
1,Internal,RIVERON.DXR,47,bitmap,,,
1,Internal,RIVERON.DXR,48,bitmap,,,
1,Internal,RIVERON.DXR,49,bitmap,,,
1,Internal,RIVERON.DXR,50,bitmap,,,
1,Internal,RIVERON.DXR,51,bitmap,,,
1,Internal,RIVERON.DXR,52,filmLoop,face,,
1,Internal,RIVERON.DXR,53,bitmap,,,
1,Internal,RIVERON.DXR,54,bitmap,,,
1,Internal,RIVERON.DXR,55,bitmap,,,
1,Internal,RIVERON.DXR,56,bitmap,,,
1,Internal,RIVERON.DXR,57,bitmap,,,
1,Internal,RIVERON.DXR,58,bitmap,,,
1,Internal,RIVERON.DXR,59,bitmap,,,
1,Internal,RIVERON.DXR,60,bitmap,,,
1,Internal,RIVERON.DXR,61,bitmap,,,
1,Internal,RIVERON.DXR,62,bitmap,,,
1,Internal,RIVERON.DXR,63,bitmap,,,
1,Internal,RIVERON.DXR,64,bitmap,,,
1,Internal,RIVERON.DXR,65,bitmap,,,
1,Internal,RIVERON.DXR,66,bitmap,,,
1,Internal,RIVERON.DXR,67,bitmap,,,
1,Internal,RIVERON.DXR,68,bitmap,,,
1,Internal,RIVERON.DXR,69,bitmap,,,
1,Internal,RIVERON.DXR,70,bitmap,,,
1,Internal,RIVERON.DXR,71,bitmap,,,
1,Internal,RIVERON.DXR,72,bitmap,,,
1,Internal,RIVERON.DXR,73,bitmap,,,
1,Internal,RIVERON.DXR,74,bitmap,,,
1,Internal,RIVERON.DXR,75,filmLoop,small bu walk,,
1,Internal,RIVERON.DXR,76,bitmap,,,
1,Internal,RIVERON.DXR,77,bitmap,,,
1,Internal,RIVERON.DXR,78,bitmap,,,
1,Internal,RIVERON.DXR,79,bitmap,,,
1,Internal,RIVERON.DXR,80,bitmap,,,
1,Internal,RIVERON.DXR,81,bitmap,,,
1,Internal,RIVERON.DXR,82,bitmap,,,
1,Internal,RIVERON.DXR,83,bitmap,,,
1,Internal,RIVERON.DXR,84,bitmap,,,
1,Internal,RIVERON.DXR,85,filmLoop,small pon walk,,
1,Internal,RIVERON.DXR,86,bitmap,,,
1,Internal,RIVERON.DXR,87,bitmap,,,
1,Internal,RIVERON.DXR,88,bitmap,,,
1,Internal,RIVERON.DXR,89,bitmap,,,
1,Internal,RIVERON.DXR,90,bitmap,,,
1,Internal,RIVERON.DXR,91,bitmap,,,
1,Internal,RIVERON.DXR,92,bitmap,,,
1,Internal,RIVERON.DXR,93,filmLoop,move mountain,,
1,Internal,RIVERON.DXR,94,transition,,,
1,Internal,RIVERON.DXR,95,script,,,
1,Internal,RIVERON.DXR,96,script,,,
1,Internal,RIVERON.DXR,97,script,,,
1,Internal,RIVERON.DXR,98,script,,,
