CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,AMERICA.DXR,1,script,,,
1,Internal,AMERICA.DXR,2,bitmap,,,
1,Internal,AMERICA.DXR,3,bitmap,CANADA,,
1,Internal,AMERICA.DXR,4,bitmap,NY,,
1,Internal,AMERICA.DXR,5,bitmap,LAKE,,
1,Internal,AMERICA.DXR,6,bitmap,SOUTH,,
1,Internal,AMERICA.DXR,7,bitmap,COWBOY,,
1,Internal,AMERICA.DXR,8,bitmap,LOS,,
1,Internal,AMERICA.DXR,9,bitmap,MEXICO,,
1,Internal,AMERICA.DXR,10,bitmap,MIAMI,,
1,Internal,AMERICA.DXR,11,bitmap,FCANADA,,
1,Internal,AMERICA.DXR,12,bitmap,FNY,,
1,Internal,AMERICA.DXR,13,bitmap,FLAKE,,
1,Internal,AMERICA.DXR,14,bitmap,FSOUTH,,
1,Internal,AMERICA.DXR,15,bitmap,FCOWBOY,,
1,Internal,AMERICA.DXR,16,bitmap,FLOS,,
1,Internal,AMERICA.DXR,17,bitmap,FMEXICO,,
1,Internal,AMERICA.DXR,18,bitmap,FMIAMI,,
1,Internal,AMERICA.DXR,19,shape,,,
1,Internal,AMERICA.DXR,20,script,,,
1,Internal,AMERICA.DXR,21,script,,,
1,Internal,AMERICA.DXR,22,script,,,
1,Internal,AMERICA.DXR,23,script,,,
1,Internal,AMERICA.DXR,24,script,,,
1,Internal,AMERICA.DXR,25,script,,,
1,Internal,AMERICA.DXR,26,script,,,
1,Internal,AMERICA.DXR,27,script,,,
1,Internal,AMERICA.DXR,28,script,,,
1,Internal,AMERICA.DXR,29,script,,,
1,Internal,AMERICA.DXR,30,script,,,
1,Internal,AMERICA.DXR,31,script,,,
1,Internal,AMERICA.DXR,32,script,,,
1,Internal,AMERICA.DXR,33,script,,,
1,Internal,AMERICA.DXR,34,script,,,
1,Internal,AMERICA.DXR,35,script,,,
1,Internal,AMERICA.DXR,36,script,,,
1,Internal,AMERICA.DXR,37,script,,,
1,Internal,AMERICA.DXR,38,transition,,,
1,Internal,AMERICA.DXR,39,transition,,,
2,Shared.Cst,Shared.cxt,1,script,soundfadeout 2,,
2,Shared.Cst,Shared.cxt,2,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,3,script,mouseDown«ºlstB«˜,,
2,Shared.Cst,Shared.cxt,4,script,ShipGo«ÖÈg«ß,,
2,Shared.Cst,Shared.cxt,5,script,mouseDown«ºgWentLstC(MapM),,
2,Shared.Cst,Shared.cxt,6,script,ShipGo«ÖÈg«ß2,,
2,Shared.Cst,Shared.cxt,7,script,ShipGo«Ö«¨«©«ß3,,
2,Shared.Cst,Shared.cxt,8,script,goMovieD,,
2,Shared.Cst,Shared.cxt,9,script,,,
2,Shared.Cst,Shared.cxt,10,script,ShipGo«ÖÈg«ß4,,
2,Shared.Cst,Shared.cxt,11,script,gWentLstE«ÖÑÉ«ë,,
2,Shared.Cst,Shared.cxt,12,script,exitFrame«ºgoMovieB,,
2,Shared.Cst,Shared.cxt,13,script,ShipGo«º«¨«©«ß5,,
2,Shared.Cst,Shared.cxt,14,script,,,
2,Shared.Cst,Shared.cxt,15,script,,,
2,Shared.Cst,Shared.cxt,16,script,,,
2,Shared.Cst,Shared.cxt,17,script,ÓÉÛpTengIn2«ÖÒÅ«»(Í€«¢),,
2,Shared.Cst,Shared.cxt,18,field,SaveText,,
2,Shared.Cst,Shared.cxt,19,transition,,,
2,Shared.Cst,Shared.cxt,20,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,21,transition,,,
2,Shared.Cst,Shared.cxt,22,script,,,
2,Shared.Cst,Shared.cxt,23,script,,,
2,Shared.Cst,Shared.cxt,24,transition,,,
2,Shared.Cst,Shared.cxt,25,script,,,
2,Shared.Cst,Shared.cxt,26,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,27,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,28,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,29,script,ÓÉÛpmouseDown«ºgo marker(-1),,
2,Shared.Cst,Shared.cxt,30,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,31,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,32,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,33,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,34,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,35,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,36,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,37,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,38,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,39,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,40,field,menu,,
2,Shared.Cst,Shared.cxt,41,field,copyright,,
2,Shared.Cst,Shared.cxt,42,field,halert,,
2,Shared.Cst,Shared.cxt,43,script,,,
2,Shared.Cst,Shared.cxt,44,script,,,
2,Shared.Cst,Shared.cxt,45,script,,,
2,Shared.Cst,Shared.cxt,46,transition,,,
2,Shared.Cst,Shared.cxt,47,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,48,shape,DMLeftButton,,
2,Shared.Cst,Shared.cxt,49,shape,DMForwardButton,,
2,Shared.Cst,Shared.cxt,50,shape,DMRightButton,,
2,Shared.Cst,Shared.cxt,51,shape,goLD,,
2,Shared.Cst,Shared.cxt,52,shape,goUR,,
2,Shared.Cst,Shared.cxt,53,shape,goDown,,
2,Shared.Cst,Shared.cxt,54,shape,goUL,,
2,Shared.Cst,Shared.cxt,55,shape,,,
2,Shared.Cst,Shared.cxt,56,script,,,
2,Shared.Cst,Shared.cxt,57,transition,,,
2,Shared.Cst,Shared.cxt,58,script,"go ""exit""",,
2,Shared.Cst,Shared.cxt,59,script,ÓÉÛpMarker(0),,
2,Shared.Cst,Shared.cxt,60,script,,,
2,Shared.Cst,Shared.cxt,61,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,62,script,"ÓÉÛpgo""aa""",,
2,Shared.Cst,Shared.cxt,63,script,ÓÉÛpgo next,,
2,Shared.Cst,Shared.cxt,64,script,,,
2,Shared.Cst,Shared.cxt,65,sound,Èë«ôÌÇÈë,,
2,Shared.Cst,Shared.cxt,66,script,dansU,,
2,Shared.Cst,Shared.cxt,67,script,dansL,,
2,Shared.Cst,Shared.cxt,68,script,,,
2,Shared.Cst,Shared.cxt,69,script,,,
2,Shared.Cst,Shared.cxt,70,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,71,script,,,
2,Shared.Cst,Shared.cxt,72,script,,,
2,Shared.Cst,Shared.cxt,73,transition,,,
2,Shared.Cst,Shared.cxt,74,script,,,
2,Shared.Cst,Shared.cxt,75,script,‚∞…X…N…Á≈[…„‰˜ÂW,,
2,Shared.Cst,Shared.cxt,76,script,,,
2,Shared.Cst,Shared.cxt,77,script,dansR,,
2,Shared.Cst,Shared.cxt,78,transition,,,
2,Shared.Cst,Shared.cxt,79,script,,,
2,Shared.Cst,Shared.cxt,80,script,dansD,,
2,Shared.Cst,Shared.cxt,81,script,,,
2,Shared.Cst,Shared.cxt,82,script,"ÓÉÛp go""L to R""",,
2,Shared.Cst,Shared.cxt,83,script,ÓÉÛpmouseDown«ºgo next,,
2,Shared.Cst,Shared.cxt,84,script,"use""R toL""",,
2,Shared.Cst,Shared.cxt,85,script,"use ""L to R""",,
2,Shared.Cst,Shared.cxt,86,script,use ScrollLFirstFrame,,
2,Shared.Cst,Shared.cxt,87,script,useScrollRFirst,,
2,Shared.Cst,Shared.cxt,88,script,"go ""aa""",,
2,Shared.Cst,Shared.cxt,89,script,"go ""MapMR""",,
2,Shared.Cst,Shared.cxt,90,script,,,
2,Shared.Cst,Shared.cxt,91,script,ÓÉÛp--,,
2,Shared.Cst,Shared.cxt,92,script,,,
2,Shared.Cst,Shared.cxt,93,script,,,
2,Shared.Cst,Shared.cxt,94,script,,,
2,Shared.Cst,Shared.cxt,95,script,,,
2,Shared.Cst,Shared.cxt,96,transition,,,
2,Shared.Cst,Shared.cxt,97,script,,,
2,Shared.Cst,Shared.cxt,98,script,,,
2,Shared.Cst,Shared.cxt,99,script,,,
2,Shared.Cst,Shared.cxt,100,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,101,script,,,
2,Shared.Cst,Shared.cxt,102,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,103,script,,,
2,Shared.Cst,Shared.cxt,104,script,"ÓÉÛpgo""R to L""",,
2,Shared.Cst,Shared.cxt,105,script,,,
2,Shared.Cst,Shared.cxt,106,script,,,
2,Shared.Cst,Shared.cxt,107,script,ÓÉÛpÎ¬…}…b…v«ÖÒÅ«»,,
2,Shared.Cst,Shared.cxt,108,script,go SelectStf.dir,,
2,Shared.Cst,Shared.cxt,109,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,110,script,ÓÉÛpgoMovie(Íé),,
2,Shared.Cst,Shared.cxt,111,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,112,script,ÓÉÛp…u…‚…E…U«Ö«á«´«»,,
2,Shared.Cst,Shared.cxt,113,script,…_…Ï…W…·…Ï‰˜ÂW…X…N…‰…v…g,,
2,Shared.Cst,Shared.cxt,114,script,ÓÉÛpMapM«˜Ó⁄«ë,,
2,Shared.Cst,Shared.cxt,115,transition,,,
2,Shared.Cst,Shared.cxt,116,script,mouseDown«ºgWentLstC,,
2,Shared.Cst,Shared.cxt,117,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,118,script,,,
2,Shared.Cst,Shared.cxt,119,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,120,script,Ë°«µ«¯«∑…_…≈,,
2,Shared.Cst,Shared.cxt,121,transition,,,
2,Shared.Cst,Shared.cxt,122,script,,,
2,Shared.Cst,Shared.cxt,123,script,gWentLstC«ù«õ«»,,
2,Shared.Cst,Shared.cxt,124,script,,,
2,Shared.Cst,Shared.cxt,125,script,ÓÉÛpExitFrame«ºmapM«ÖÒÅ«»,,
2,Shared.Cst,Shared.cxt,126,script,ÓÉÛpMouseDown«ºMapM«ÖÒÅ«»,,
2,Shared.Cst,Shared.cxt,127,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,128,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,129,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,130,script,soundfadeIn 2,,
