CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,MOUNT.DXR,1,bitmap,,,
1,Internal,MOUNT.DXR,2,bitmap,,,
1,Internal,MOUNT.DXR,3,bitmap,,,
1,Internal,MOUNT.DXR,4,bitmap,,,
1,Internal,MOUNT.DXR,5,bitmap,,,
1,Internal,MOUNT.DXR,6,bitmap,,,
1,Internal,MOUNT.DXR,7,bitmap,,,
1,Internal,MOUNT.DXR,8,bitmap,,,
1,Internal,MOUNT.DXR,9,filmLoop,foxWalkRs,,
1,Internal,MOUNT.DXR,10,bitmap,,,
1,Internal,MOUNT.DXR,11,bitmap,,,
1,Internal,MOUNT.DXR,12,bitmap,,,
1,Internal,MOUNT.DXR,13,bitmap,,,
1,Internal,MOUNT.DXR,14,bitmap,,,
1,Internal,MOUNT.DXR,15,filmLoop,foxWalkLs,,
1,Internal,MOUNT.DXR,16,bitmap,,,
1,Internal,MOUNT.DXR,17,bitmap,,,
1,Internal,MOUNT.DXR,18,bitmap,,,
1,Internal,MOUNT.DXR,19,bitmap,,,
1,Internal,MOUNT.DXR,20,bitmap,,,
1,Internal,MOUNT.DXR,21,bitmap,,,
1,Internal,MOUNT.DXR,22,filmLoop,feretWalkLs,,
1,Internal,MOUNT.DXR,23,bitmap,,,
1,Internal,MOUNT.DXR,24,bitmap,,,
1,Internal,MOUNT.DXR,25,bitmap,,,
1,Internal,MOUNT.DXR,26,bitmap,,,
1,Internal,MOUNT.DXR,27,bitmap,,,
1,Internal,MOUNT.DXR,28,bitmap,,,
1,Internal,MOUNT.DXR,29,filmLoop,feretWalkRs,,
1,Internal,MOUNT.DXR,30,bitmap,,,
1,Internal,MOUNT.DXR,31,bitmap,,,
1,Internal,MOUNT.DXR,32,bitmap,,,
1,Internal,MOUNT.DXR,33,bitmap,,,
1,Internal,MOUNT.DXR,34,bitmap,,,
1,Internal,MOUNT.DXR,35,bitmap,,,
1,Internal,MOUNT.DXR,36,filmLoop,ponWalkLs,,
1,Internal,MOUNT.DXR,37,bitmap,,,
1,Internal,MOUNT.DXR,38,bitmap,,,
1,Internal,MOUNT.DXR,39,bitmap,,,
1,Internal,MOUNT.DXR,40,bitmap,,,
1,Internal,MOUNT.DXR,41,bitmap,,,
1,Internal,MOUNT.DXR,42,bitmap,,,
1,Internal,MOUNT.DXR,43,filmLoop,ponWalkRs,,
1,Internal,MOUNT.DXR,44,bitmap,,,
1,Internal,MOUNT.DXR,45,bitmap,,,
1,Internal,MOUNT.DXR,46,bitmap,,,
1,Internal,MOUNT.DXR,47,bitmap,,,
1,Internal,MOUNT.DXR,48,bitmap,,,
1,Internal,MOUNT.DXR,49,bitmap,,,
1,Internal,MOUNT.DXR,50,bitmap,,,
1,Internal,MOUNT.DXR,51,filmLoop,BiWalkLs,,
1,Internal,MOUNT.DXR,52,bitmap,,,
1,Internal,MOUNT.DXR,53,bitmap,,,
1,Internal,MOUNT.DXR,54,bitmap,,,
1,Internal,MOUNT.DXR,55,bitmap,,,
1,Internal,MOUNT.DXR,56,bitmap,,,
1,Internal,MOUNT.DXR,57,bitmap,,,
1,Internal,MOUNT.DXR,58,filmLoop,buWalkRs,,
1,Internal,MOUNT.DXR,59,script,,,
1,Internal,MOUNT.DXR,60,bitmap,,,
1,Internal,MOUNT.DXR,61,bitmap,ferStopR2,,
1,Internal,MOUNT.DXR,62,bitmap,,,
1,Internal,MOUNT.DXR,63,script,,,
1,Internal,MOUNT.DXR,64,script,,,
1,Internal,MOUNT.DXR,65,script,,,
1,Internal,MOUNT.DXR,66,script,,,
1,Internal,MOUNT.DXR,67,script,,,
1,Internal,MOUNT.DXR,68,script,,,
1,Internal,MOUNT.DXR,69,script,,,
1,Internal,MOUNT.DXR,70,script,,,
1,Internal,MOUNT.DXR,71,script,,,
1,Internal,MOUNT.DXR,72,transition,,,
1,Internal,MOUNT.DXR,73,sound,CargoApr,,
1,Internal,MOUNT.DXR,74,sound,ÔÛ,,
1,Internal,MOUNT.DXR,75,transition,,,
1,Internal,MOUNT.DXR,76,script,,,
2,ItemAmerica,ItemAme.cxt,1,script,…A…≈…‰…JÎ¬…}…b…v«˜,,
2,ItemAmerica,ItemAme.cxt,7,bitmap,AmeKey,,
2,ItemAmerica,ItemAme.cxt,8,bitmap,Acord,,
2,ItemAmerica,ItemAme.cxt,9,bitmap,Base,,
2,ItemAmerica,ItemAme.cxt,10,bitmap,Drum,,
2,ItemAmerica,ItemAme.cxt,11,bitmap,guiter,,
2,ItemAmerica,ItemAme.cxt,12,bitmap,Horun,,
2,ItemAmerica,ItemAme.cxt,13,bitmap,mike,,
2,ItemAmerica,ItemAme.cxt,14,bitmap,Karengo,,
2,ItemAmerica,ItemAme.cxt,15,bitmap,Synth,,
3,CANAMES,CANAMES.cxt,1,bitmap,,,
3,CANAMES,CANAMES.cxt,2,bitmap,noriba-da,,
3,CANAMES,CANAMES.cxt,3,bitmap,noritai-n-dakedo,,
3,CANAMES,CANAMES.cxt,4,bitmap,ticket-ga-hitsuyo,,
3,CANAMES,CANAMES.cxt,5,bitmap,ki-wo-tsukete,,
3,CANAMES,CANAMES.cxt,6,bitmap,,,
3,CANAMES,CANAMES.cxt,7,bitmap,ski-jo-da,,
3,CANAMES,CANAMES.cxt,8,bitmap,koya-ni-itte,,
3,CANAMES,CANAMES.cxt,9,bitmap,,,
3,CANAMES,CANAMES.cxt,10,bitmap,aruzo,,
3,CANAMES,CANAMES.cxt,11,bitmap,ittemiyo,,
3,CANAMES,CANAMES.cxt,12,bitmap,tuita,,
3,CANAMES,CANAMES.cxt,13,bitmap,nannte,,
3,CANAMES,CANAMES.cxt,14,bitmap,yoshi,,
3,CANAMES,CANAMES.cxt,15,bitmap,suji-no,,
3,CANAMES,CANAMES.cxt,16,bitmap,,,
3,CANAMES,CANAMES.cxt,17,bitmap,skyTrain-ni,,
3,CANAMES,CANAMES.cxt,18,bitmap,Ticket-ga,,
3,CANAMES,CANAMES.cxt,19,bitmap,hai,,
3,CANAMES,CANAMES.cxt,20,bitmap,soredeha-sugu-,,
3,CANAMES,CANAMES.cxt,21,bitmap,,,
3,CANAMES,CANAMES.cxt,22,bitmap,ne-boat-ni,,
3,CANAMES,CANAMES.cxt,23,bitmap,dame-dayo,,
3,CANAMES,CANAMES.cxt,24,bitmap,bu-nani-wo-suru,,
3,CANAMES,CANAMES.cxt,25,bitmap,dekasita-zo,,
3,CANAMES,CANAMES.cxt,26,bitmap,arigato-1,,
3,CANAMES,CANAMES.cxt,27,bitmap,,,
3,CANAMES,CANAMES.cxt,28,bitmap,henna-iwa,,
3,CANAMES,CANAMES.cxt,29,bitmap,konnna-tokoroni,,
3,CANAMES,CANAMES.cxt,30,bitmap,nanika-kuwaeteru,,
3,CANAMES,CANAMES.cxt,31,bitmap,togatta-tuno,,
3,CANAMES,CANAMES.cxt,32,bitmap,,,
3,CANAMES,CANAMES.cxt,33,bitmap,kagi-ga,,
3,CANAMES,CANAMES.cxt,34,bitmap,doa-ga,,
3,CANAMES,CANAMES.cxt,35,bitmap,ski-da,,
3,CANAMES,CANAMES.cxt,36,bitmap,yoshi-yama-wo,,
3,CANAMES,CANAMES.cxt,37,bitmap,,,
3,CANAMES,CANAMES.cxt,38,bitmap,village-ni,,
3,CANAMES,CANAMES.cxt,39,bitmap,kibori-no-kamen,,
3,CANAMES,CANAMES.cxt,40,bitmap,heya-ni-,,
3,CANAMES,CANAMES.cxt,41,bitmap,katakute-,,
3,CANAMES,CANAMES.cxt,42,bitmap,Train-Ticket-da,,
3,CANAMES,CANAMES.cxt,43,bitmap,,,
3,CANAMES,CANAMES.cxt,44,bitmap,mizuumi-ni,,
3,CANAMES,CANAMES.cxt,45,bitmap,hashi-ga,,
3,CANAMES,CANAMES.cxt,46,bitmap,taki-ga,,
3,CANAMES,CANAMES.cxt,47,bitmap,kuruma-ga,,
3,CANAMES,CANAMES.cxt,48,bitmap,,,
3,CANAMES,CANAMES.cxt,49,bitmap,kogan-ni,,
3,CANAMES,CANAMES.cxt,50,bitmap,mizuumi-modoro,,
3,CANAMES,CANAMES.cxt,51,bitmap,,,
3,CANAMES,CANAMES.cxt,52,bitmap,taki-ni-tuita,,
3,CANAMES,CANAMES.cxt,53,bitmap,ano-bo-ni,,
3,CANAMES,CANAMES.cxt,54,bitmap,abunaku-te,,
3,CANAMES,CANAMES.cxt,55,bitmap,yoshi-ami,,
3,CANAMES,CANAMES.cxt,56,bitmap,taki-ga-naku,,
3,CANAMES,CANAMES.cxt,57,bitmap,huyu-no-mitsu,,
3,CANAMES,CANAMES.cxt,58,bitmap,,,
3,CANAMES,CANAMES.cxt,59,bitmap,nanika-hikatte,,
3,CANAMES,CANAMES.cxt,60,bitmap,te-ja,,
3,CANAMES,CANAMES.cxt,61,bitmap,hotaru-datta,,
3,CANAMES,CANAMES.cxt,62,bitmap,ganbare-bu,,
3,CANAMES,CANAMES.cxt,63,bitmap,ganbare-jeorge,,
3,CANAMES,CANAMES.cxt,64,bitmap,yoshi-tukamaeyo,,
3,CANAMES,CANAMES.cxt,65,bitmap,,,
3,CANAMES,CANAMES.cxt,66,bitmap,ne-kuruma-ni,,
3,CANAMES,CANAMES.cxt,67,bitmap,sorega-tukarete,,
3,CANAMES,CANAMES.cxt,68,bitmap,nante-oisi,,
3,CANAMES,CANAMES.cxt,69,bitmap,,,
3,CANAMES,CANAMES.cxt,70,bitmap,horun-wo-teni,,
3,CANAMES,CANAMES.cxt,71,bitmap,douzou-ga,,
3,CANAMES,CANAMES.cxt,72,bitmap,kiniro-ni,,
3,CANAMES,CANAMES.cxt,73,script,,,
3,CANAMES,CANAMES.cxt,74,richText,M81,,
3,CANAMES,CANAMES.cxt,75,script,,,
3,CANAMES,CANAMES.cxt,80,bitmap,M80,,
3,CANAMES,CANAMES.cxt,100,bitmap,Canada.dir,,
3,CANAMES,CANAMES.cxt,101,bitmap,viewH.dir,,
3,CANAMES,CANAMES.cxt,102,bitmap,skyRide.dir,,
3,CANAMES,CANAMES.cxt,103,bitmap,mount.dir,,
3,CANAMES,CANAMES.cxt,104,bitmap,skiHous.dir,,
3,CANAMES,CANAMES.cxt,105,bitmap,village.dir,,
3,CANAMES,CANAMES.cxt,106,bitmap,skyTrain.dir,,
3,CANAMES,CANAMES.cxt,107,bitmap,hillSta.dir,,
3,CANAMES,CANAMES.cxt,108,bitmap,hoodoo.dir,,
3,CANAMES,CANAMES.cxt,109,bitmap,boat.dir,,
3,CANAMES,CANAMES.cxt,110,bitmap,LakeMap.dir,,
3,CANAMES,CANAMES.cxt,111,bitmap,LakeFire.dir,,
