CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,BAITO.DXR,1,bitmap,,,
1,Internal,BAITO.DXR,2,bitmap,,,
1,Internal,BAITO.DXR,3,script,,,
1,Internal,BAITO.DXR,4,bitmap,B0,,
1,Internal,BAITO.DXR,5,bitmap,B1,,
1,Internal,BAITO.DXR,6,bitmap,B2,,
1,Internal,BAITO.DXR,7,bitmap,B3,,
1,Internal,BAITO.DXR,8,bitmap,B4,,
1,Internal,BAITO.DXR,9,bitmap,B5,,
1,Internal,BAITO.DXR,10,bitmap,B6,,
1,Internal,BAITO.DXR,11,bitmap,B7,,
1,Internal,BAITO.DXR,12,bitmap,B8,,
1,Internal,BAITO.DXR,13,bitmap,B9,,
1,Internal,BAITO.DXR,14,bitmap,B10,,
1,Internal,BAITO.DXR,15,bitmap,B11,,
1,Internal,BAITO.DXR,16,bitmap,B12,,
1,Internal,BAITO.DXR,17,bitmap,B13,,
1,Internal,BAITO.DXR,18,bitmap,B14,,
1,Internal,BAITO.DXR,19,bitmap,B15,,
1,Internal,BAITO.DXR,20,bitmap,B16,,
1,Internal,BAITO.DXR,21,bitmap,B17,,
1,Internal,BAITO.DXR,22,bitmap,B18,,
1,Internal,BAITO.DXR,23,bitmap,B19,,
1,Internal,BAITO.DXR,24,bitmap,B20,,
1,Internal,BAITO.DXR,25,bitmap,B21,,
1,Internal,BAITO.DXR,26,bitmap,B22,,
1,Internal,BAITO.DXR,27,bitmap,B23,,
1,Internal,BAITO.DXR,28,bitmap,B24,,
1,Internal,BAITO.DXR,29,bitmap,B25,,
1,Internal,BAITO.DXR,30,bitmap,B26,,
1,Internal,BAITO.DXR,31,bitmap,B27,,
1,Internal,BAITO.DXR,32,bitmap,B28,,
1,Internal,BAITO.DXR,33,bitmap,B29,,
1,Internal,BAITO.DXR,34,bitmap,A0,,
1,Internal,BAITO.DXR,35,bitmap,A1,,
1,Internal,BAITO.DXR,36,bitmap,A2,,
1,Internal,BAITO.DXR,37,bitmap,A3,,
1,Internal,BAITO.DXR,38,bitmap,A4,,
1,Internal,BAITO.DXR,39,bitmap,A5,,
1,Internal,BAITO.DXR,40,bitmap,A6,,
1,Internal,BAITO.DXR,41,bitmap,A7,,
1,Internal,BAITO.DXR,42,bitmap,A8,,
1,Internal,BAITO.DXR,43,bitmap,A9,,
1,Internal,BAITO.DXR,44,bitmap,A10,,
1,Internal,BAITO.DXR,45,bitmap,A11,,
1,Internal,BAITO.DXR,46,bitmap,A12,,
1,Internal,BAITO.DXR,47,bitmap,A13,,
1,Internal,BAITO.DXR,48,bitmap,A14,,
1,Internal,BAITO.DXR,49,bitmap,A15,,
1,Internal,BAITO.DXR,50,bitmap,A16,,
1,Internal,BAITO.DXR,51,bitmap,A17,,
1,Internal,BAITO.DXR,52,bitmap,A18,,
1,Internal,BAITO.DXR,53,bitmap,A19,,
1,Internal,BAITO.DXR,54,bitmap,A20,,
1,Internal,BAITO.DXR,55,bitmap,A21,,
1,Internal,BAITO.DXR,56,bitmap,A22,,
1,Internal,BAITO.DXR,57,bitmap,A23,,
1,Internal,BAITO.DXR,58,bitmap,A24,,
1,Internal,BAITO.DXR,59,bitmap,A25,,
1,Internal,BAITO.DXR,60,bitmap,A26,,
1,Internal,BAITO.DXR,61,bitmap,A27,,
1,Internal,BAITO.DXR,62,bitmap,A28,,
1,Internal,BAITO.DXR,63,bitmap,A29,,
1,Internal,BAITO.DXR,64,bitmap,A30,,
1,Internal,BAITO.DXR,65,script,,,
1,Internal,BAITO.DXR,66,script,,,
1,Internal,BAITO.DXR,67,script,,,
1,Internal,BAITO.DXR,68,script,,,
1,Internal,BAITO.DXR,69,script,,,
1,Internal,BAITO.DXR,70,script,,,
1,Internal,BAITO.DXR,71,script,,,
1,Internal,BAITO.DXR,72,script,,,
1,Internal,BAITO.DXR,73,script,,,
1,Internal,BAITO.DXR,74,script,,,
1,Internal,BAITO.DXR,75,script,,,
1,Internal,BAITO.DXR,76,script,,,
1,Internal,BAITO.DXR,77,script,,,
1,Internal,BAITO.DXR,78,script,,,
1,Internal,BAITO.DXR,79,script,,,
1,Internal,BAITO.DXR,80,script,,,
1,Internal,BAITO.DXR,81,bitmap,S1,,
1,Internal,BAITO.DXR,82,bitmap,S2,,
1,Internal,BAITO.DXR,83,bitmap,S3,,
1,Internal,BAITO.DXR,84,bitmap,S4,,
1,Internal,BAITO.DXR,85,sound,mini -1,,
1,Internal,BAITO.DXR,86,bitmap,FlashS1,,
1,Internal,BAITO.DXR,87,bitmap,FlashS2,,
1,Internal,BAITO.DXR,88,bitmap,FlashS3,,
1,Internal,BAITO.DXR,89,bitmap,FlashS4,,
1,Internal,BAITO.DXR,90,transition,,,
1,Internal,BAITO.DXR,91,sound,057,,
1,Internal,BAITO.DXR,92,script,,,
1,Internal,BAITO.DXR,93,sound,SPLASH_1.AIF,,
1,Internal,BAITO.DXR,94,bitmap,,,
2,CowMes,CowMes.cxt,1,bitmap,,,
2,CowMes,CowMes.cxt,2,bitmap,M1,,
2,CowMes,CowMes.cxt,3,bitmap,M2,,
2,CowMes,CowMes.cxt,4,bitmap,M3,,
2,CowMes,CowMes.cxt,5,bitmap,M4,,
2,CowMes,CowMes.cxt,6,bitmap,MK5,,
2,CowMes,CowMes.cxt,7,bitmap,MK4,,
2,CowMes,CowMes.cxt,8,bitmap,MK3,,
2,CowMes,CowMes.cxt,9,bitmap,MK2,,
2,CowMes,CowMes.cxt,10,bitmap,MK1,,
2,CowMes,CowMes.cxt,11,bitmap,,,
2,CowMes,CowMes.cxt,12,bitmap,M10,,
2,CowMes,CowMes.cxt,13,bitmap,,,
2,CowMes,CowMes.cxt,14,bitmap,M11,,
2,CowMes,CowMes.cxt,15,bitmap,M12,,
2,CowMes,CowMes.cxt,16,bitmap,M13,,
2,CowMes,CowMes.cxt,17,bitmap,M14,,
2,CowMes,CowMes.cxt,18,bitmap,M15,,
2,CowMes,CowMes.cxt,19,bitmap,M16,,
2,CowMes,CowMes.cxt,20,bitmap,M17,,
2,CowMes,CowMes.cxt,21,bitmap,M18,,
2,CowMes,CowMes.cxt,22,bitmap,,,
2,CowMes,CowMes.cxt,23,bitmap,M19,,
2,CowMes,CowMes.cxt,24,bitmap,M20,,
2,CowMes,CowMes.cxt,25,bitmap,M21,,
2,CowMes,CowMes.cxt,26,bitmap,M22,,
2,CowMes,CowMes.cxt,27,bitmap,M23,,
2,CowMes,CowMes.cxt,28,bitmap,M24,,
2,CowMes,CowMes.cxt,29,bitmap,M25,,
2,CowMes,CowMes.cxt,30,bitmap,,,
2,CowMes,CowMes.cxt,31,bitmap,M26,,
2,CowMes,CowMes.cxt,32,bitmap,M27,,
2,CowMes,CowMes.cxt,33,bitmap,,,
2,CowMes,CowMes.cxt,34,bitmap,M28,,
2,CowMes,CowMes.cxt,35,bitmap,M29,,
2,CowMes,CowMes.cxt,36,bitmap,M30,,
2,CowMes,CowMes.cxt,37,bitmap,,,
2,CowMes,CowMes.cxt,38,bitmap,M31,,
2,CowMes,CowMes.cxt,39,bitmap,M32,,
