CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,CASINO.DXR,1,bitmap,,,
1,Internal,CASINO.DXR,2,script,,,
1,Internal,CASINO.DXR,3,script,,,
1,Internal,CASINO.DXR,4,bitmap,,,
1,Internal,CASINO.DXR,5,bitmap,,,
1,Internal,CASINO.DXR,6,bitmap,A1,,
1,Internal,CASINO.DXR,7,bitmap,A2,,
1,Internal,CASINO.DXR,8,bitmap,A3,,
1,Internal,CASINO.DXR,9,bitmap,A4,,
1,Internal,CASINO.DXR,10,bitmap,A5,,
1,Internal,CASINO.DXR,11,bitmap,A6,,
1,Internal,CASINO.DXR,12,bitmap,A7,,
1,Internal,CASINO.DXR,13,bitmap,A8,,
1,Internal,CASINO.DXR,14,bitmap,A9,,
1,Internal,CASINO.DXR,15,bitmap,,,
1,Internal,CASINO.DXR,16,bitmap,,,
1,Internal,CASINO.DXR,17,bitmap,,,
1,Internal,CASINO.DXR,18,bitmap,,,
1,Internal,CASINO.DXR,19,bitmap,,,
1,Internal,CASINO.DXR,20,bitmap,,,
1,Internal,CASINO.DXR,21,bitmap,,,
1,Internal,CASINO.DXR,22,filmLoop,slotRot,,
1,Internal,CASINO.DXR,23,bitmap,,,
1,Internal,CASINO.DXR,24,bitmap,,,
1,Internal,CASINO.DXR,25,bitmap,,,
1,Internal,CASINO.DXR,26,bitmap,,,
1,Internal,CASINO.DXR,27,script,,,
1,Internal,CASINO.DXR,28,script,,,
1,Internal,CASINO.DXR,29,script,,,
1,Internal,CASINO.DXR,30,bitmap,K1,,
1,Internal,CASINO.DXR,31,bitmap,K2,,
1,Internal,CASINO.DXR,32,bitmap,K3,,
1,Internal,CASINO.DXR,33,bitmap,K4,,
1,Internal,CASINO.DXR,34,bitmap,K5,,
1,Internal,CASINO.DXR,35,bitmap,,,
1,Internal,CASINO.DXR,36,script,,,
1,Internal,CASINO.DXR,37,script,,,
1,Internal,CASINO.DXR,38,script,,,
1,Internal,CASINO.DXR,39,script,,,
1,Internal,CASINO.DXR,40,script,,,
1,Internal,CASINO.DXR,41,script,,,
1,Internal,CASINO.DXR,42,script,,,
1,Internal,CASINO.DXR,43,script,,,
1,Internal,CASINO.DXR,44,script,,,
1,Internal,CASINO.DXR,45,script,,,
1,Internal,CASINO.DXR,46,script,,,
1,Internal,CASINO.DXR,47,script,,,
1,Internal,CASINO.DXR,48,transition,,,
1,Internal,CASINO.DXR,49,script,,,
1,Internal,CASINO.DXR,50,script,,,
1,Internal,CASINO.DXR,51,script,,,
1,Internal,CASINO.DXR,52,sound,GAMEHLL1.AIF,,
1,Internal,CASINO.DXR,53,sound,MONEY_1.AIF,,
1,Internal,CASINO.DXR,54,sound,Sound 54,,
1,Internal,CASINO.DXR,55,sound,157,,
1,Internal,CASINO.DXR,56,sound,monitor,,
1,Internal,CASINO.DXR,57,script,,,
1,Internal,CASINO.DXR,58,script,,,
2,CowMes,CowMes.cxt,1,bitmap,,,
2,CowMes,CowMes.cxt,2,bitmap,M1,,
2,CowMes,CowMes.cxt,3,bitmap,M2,,
2,CowMes,CowMes.cxt,4,bitmap,M3,,
2,CowMes,CowMes.cxt,5,bitmap,M4,,
2,CowMes,CowMes.cxt,6,bitmap,MK5,,
2,CowMes,CowMes.cxt,7,bitmap,MK4,,
2,CowMes,CowMes.cxt,8,bitmap,MK3,,
2,CowMes,CowMes.cxt,9,bitmap,MK2,,
2,CowMes,CowMes.cxt,10,bitmap,MK1,,
2,CowMes,CowMes.cxt,11,bitmap,,,
2,CowMes,CowMes.cxt,12,bitmap,M10,,
2,CowMes,CowMes.cxt,13,bitmap,,,
2,CowMes,CowMes.cxt,14,bitmap,M11,,
2,CowMes,CowMes.cxt,15,bitmap,M12,,
2,CowMes,CowMes.cxt,16,bitmap,M13,,
2,CowMes,CowMes.cxt,17,bitmap,M14,,
2,CowMes,CowMes.cxt,18,bitmap,M15,,
2,CowMes,CowMes.cxt,19,bitmap,M16,,
2,CowMes,CowMes.cxt,20,bitmap,M17,,
2,CowMes,CowMes.cxt,21,bitmap,M18,,
2,CowMes,CowMes.cxt,22,bitmap,,,
2,CowMes,CowMes.cxt,23,bitmap,M19,,
2,CowMes,CowMes.cxt,24,bitmap,M20,,
2,CowMes,CowMes.cxt,25,bitmap,M21,,
2,CowMes,CowMes.cxt,26,bitmap,M22,,
2,CowMes,CowMes.cxt,27,bitmap,M23,,
2,CowMes,CowMes.cxt,28,bitmap,M24,,
2,CowMes,CowMes.cxt,29,bitmap,M25,,
2,CowMes,CowMes.cxt,30,bitmap,,,
2,CowMes,CowMes.cxt,31,bitmap,M26,,
2,CowMes,CowMes.cxt,32,bitmap,M27,,
2,CowMes,CowMes.cxt,33,bitmap,,,
2,CowMes,CowMes.cxt,34,bitmap,M28,,
2,CowMes,CowMes.cxt,35,bitmap,M29,,
2,CowMes,CowMes.cxt,36,bitmap,M30,,
2,CowMes,CowMes.cxt,37,bitmap,,,
2,CowMes,CowMes.cxt,38,bitmap,M31,,
2,CowMes,CowMes.cxt,39,bitmap,M32,,
2,CowMes,CowMes.cxt,40,bitmap,M33,,
2,CowMes,CowMes.cxt,41,bitmap,M34,,
2,CowMes,CowMes.cxt,42,bitmap,M35,,
2,CowMes,CowMes.cxt,43,bitmap,M36,,
2,CowMes,CowMes.cxt,44,bitmap,M37,,
2,CowMes,CowMes.cxt,45,bitmap,M38,,
2,CowMes,CowMes.cxt,46,bitmap,M39,,
2,CowMes,CowMes.cxt,47,bitmap,M40,,
2,CowMes,CowMes.cxt,48,bitmap,M41,,
2,CowMes,CowMes.cxt,49,bitmap,,,
2,CowMes,CowMes.cxt,50,bitmap,M42,,
2,CowMes,CowMes.cxt,51,bitmap,M43,,
2,CowMes,CowMes.cxt,52,bitmap,M44,,
2,CowMes,CowMes.cxt,53,bitmap,MK0,,
2,CowMes,CowMes.cxt,54,richText,M66,,
2,CowMes,CowMes.cxt,60,bitmap,M60,,
2,CowMes,CowMes.cxt,61,bitmap,M61,,
2,CowMes,CowMes.cxt,62,bitmap,M62,,
2,CowMes,CowMes.cxt,100,bitmap,casino.dir,,
2,CowMes,CowMes.cxt,101,bitmap,COWBOY.dir,,
2,CowMes,CowMes.cxt,102,bitmap,grand.dir,,
2,CowMes,CowMes.cxt,103,bitmap,hotel.dir,,
2,CowMes,CowMes.cxt,104,bitmap,LasVe.dir,,
2,CowMes,CowMes.cxt,105,bitmap,oilField.dir,,
2,CowMes,CowMes.cxt,106,bitmap,rocket.dir,,
2,CowMes,CowMes.cxt,107,bitmap,show.dir,,
2,CowMes,CowMes.cxt,108,bitmap,western.dir,,
2,CowMes,CowMes.cxt,109,bitmap,clayHous.dir,,
2,CowMes,CowMes.cxt,110,bitmap,GameCow.dir,,
2,CowMes,CowMes.cxt,111,bitmap,baito.dir,,
3,ItemCow,ItemCow.cxt,1,bitmap,Toga,,
