CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,GAMECOW.DXR,1,bitmap,,,
1,Internal,GAMECOW.DXR,2,bitmap,,,
1,Internal,GAMECOW.DXR,3,bitmap,,,
1,Internal,GAMECOW.DXR,4,bitmap,,,
1,Internal,GAMECOW.DXR,5,bitmap,,,
1,Internal,GAMECOW.DXR,6,bitmap,,,
1,Internal,GAMECOW.DXR,7,bitmap,,,
1,Internal,GAMECOW.DXR,8,bitmap,,,
1,Internal,GAMECOW.DXR,9,bitmap,,,
1,Internal,GAMECOW.DXR,10,bitmap,,,
1,Internal,GAMECOW.DXR,11,bitmap,,,
1,Internal,GAMECOW.DXR,12,bitmap,,,
1,Internal,GAMECOW.DXR,13,bitmap,,,
1,Internal,GAMECOW.DXR,14,bitmap,,,
1,Internal,GAMECOW.DXR,15,bitmap,,,
1,Internal,GAMECOW.DXR,16,bitmap,,,
1,Internal,GAMECOW.DXR,17,bitmap,,,
1,Internal,GAMECOW.DXR,18,bitmap,,,
1,Internal,GAMECOW.DXR,19,bitmap,,,
1,Internal,GAMECOW.DXR,20,bitmap,,,
1,Internal,GAMECOW.DXR,21,bitmap,,,
1,Internal,GAMECOW.DXR,22,bitmap,,,
1,Internal,GAMECOW.DXR,23,bitmap,,,
1,Internal,GAMECOW.DXR,24,bitmap,,,
1,Internal,GAMECOW.DXR,25,bitmap,,,
1,Internal,GAMECOW.DXR,26,bitmap,,,
1,Internal,GAMECOW.DXR,27,bitmap,,,
1,Internal,GAMECOW.DXR,28,bitmap,,,
1,Internal,GAMECOW.DXR,29,bitmap,,,
1,Internal,GAMECOW.DXR,30,bitmap,,,
1,Internal,GAMECOW.DXR,31,bitmap,,,
1,Internal,GAMECOW.DXR,32,bitmap,,,
1,Internal,GAMECOW.DXR,33,bitmap,,,
1,Internal,GAMECOW.DXR,34,bitmap,,,
1,Internal,GAMECOW.DXR,35,bitmap,,,
1,Internal,GAMECOW.DXR,36,bitmap,,,
1,Internal,GAMECOW.DXR,37,bitmap,,,
1,Internal,GAMECOW.DXR,38,bitmap,,,
1,Internal,GAMECOW.DXR,39,bitmap,,,
1,Internal,GAMECOW.DXR,40,bitmap,,,
1,Internal,GAMECOW.DXR,41,bitmap,,,
1,Internal,GAMECOW.DXR,42,bitmap,,,
1,Internal,GAMECOW.DXR,43,bitmap,,,
1,Internal,GAMECOW.DXR,44,bitmap,,,
1,Internal,GAMECOW.DXR,45,script,,,
1,Internal,GAMECOW.DXR,46,bitmap,Y7,,
1,Internal,GAMECOW.DXR,47,bitmap,Y6,,
1,Internal,GAMECOW.DXR,48,bitmap,Y5,,
1,Internal,GAMECOW.DXR,49,bitmap,Y4,,
1,Internal,GAMECOW.DXR,50,bitmap,Y3,,
1,Internal,GAMECOW.DXR,51,bitmap,Y2,,
1,Internal,GAMECOW.DXR,52,bitmap,Y1,,
1,Internal,GAMECOW.DXR,53,bitmap,Mato,,
1,Internal,GAMECOW.DXR,54,script,,,
1,Internal,GAMECOW.DXR,55,bitmap,T1,,
1,Internal,GAMECOW.DXR,56,bitmap,T2,,
1,Internal,GAMECOW.DXR,57,bitmap,T3,,
1,Internal,GAMECOW.DXR,58,bitmap,T4,,
1,Internal,GAMECOW.DXR,59,bitmap,T5,,
1,Internal,GAMECOW.DXR,60,bitmap,T6,,
1,Internal,GAMECOW.DXR,61,bitmap,T7,,
1,Internal,GAMECOW.DXR,62,bitmap,T8,,
1,Internal,GAMECOW.DXR,63,bitmap,T9,,
1,Internal,GAMECOW.DXR,64,bitmap,T10,,
1,Internal,GAMECOW.DXR,65,script,,,
1,Internal,GAMECOW.DXR,66,script,,,
1,Internal,GAMECOW.DXR,67,script,,,
1,Internal,GAMECOW.DXR,68,script,,,
1,Internal,GAMECOW.DXR,69,bitmap,,,
1,Internal,GAMECOW.DXR,70,bitmap,TP1,,
1,Internal,GAMECOW.DXR,71,bitmap,TP2,,
1,Internal,GAMECOW.DXR,72,bitmap,TP3,,
1,Internal,GAMECOW.DXR,73,bitmap,TP4,,
1,Internal,GAMECOW.DXR,74,bitmap,TP5,,
1,Internal,GAMECOW.DXR,75,bitmap,TP6,,
1,Internal,GAMECOW.DXR,76,bitmap,TP7,,
1,Internal,GAMECOW.DXR,77,bitmap,TP8,,
1,Internal,GAMECOW.DXR,78,bitmap,TP9,,
1,Internal,GAMECOW.DXR,79,bitmap,TP10,,
1,Internal,GAMECOW.DXR,80,bitmap,,,
1,Internal,GAMECOW.DXR,81,bitmap,ya02.pict f00001,,
1,Internal,GAMECOW.DXR,82,script,,,
1,Internal,GAMECOW.DXR,83,script,,,
1,Internal,GAMECOW.DXR,84,script,,,
1,Internal,GAMECOW.DXR,85,script,,,
1,Internal,GAMECOW.DXR,86,script,,,
1,Internal,GAMECOW.DXR,87,shape,,,
1,Internal,GAMECOW.DXR,88,transition,,,
1,Internal,GAMECOW.DXR,89,script,,,
1,Internal,GAMECOW.DXR,90,sound,038,,
1,Internal,GAMECOW.DXR,91,sound,037,,
1,Internal,GAMECOW.DXR,92,sound,135,,
1,Internal,GAMECOW.DXR,93,sound,137,,
1,Internal,GAMECOW.DXR,94,sound,145,,
1,Internal,GAMECOW.DXR,95,sound,150,,
1,Internal,GAMECOW.DXR,96,script,,,
1,Internal,GAMECOW.DXR,97,sound,057,,
1,Internal,GAMECOW.DXR,98,script,,,
1,Internal,GAMECOW.DXR,99,sound,180B_9.AIF,,
1,Internal,GAMECOW.DXR,100,sound,107,,
1,Internal,GAMECOW.DXR,101,script,,,
1,Internal,GAMECOW.DXR,102,script,,,
1,Internal,GAMECOW.DXR,103,script,,,
1,Internal,GAMECOW.DXR,104,bitmap,,,
2,CowMes,CowMes.cxt,1,bitmap,,,
2,CowMes,CowMes.cxt,2,bitmap,M1,,
2,CowMes,CowMes.cxt,3,bitmap,M2,,
2,CowMes,CowMes.cxt,4,bitmap,M3,,
2,CowMes,CowMes.cxt,5,bitmap,M4,,
2,CowMes,CowMes.cxt,6,bitmap,MK5,,
2,CowMes,CowMes.cxt,7,bitmap,MK4,,
2,CowMes,CowMes.cxt,8,bitmap,MK3,,
2,CowMes,CowMes.cxt,9,bitmap,MK2,,
2,CowMes,CowMes.cxt,10,bitmap,MK1,,
2,CowMes,CowMes.cxt,11,bitmap,,,
2,CowMes,CowMes.cxt,12,bitmap,M10,,
2,CowMes,CowMes.cxt,13,bitmap,,,
2,CowMes,CowMes.cxt,14,bitmap,M11,,
2,CowMes,CowMes.cxt,15,bitmap,M12,,
2,CowMes,CowMes.cxt,16,bitmap,M13,,
2,CowMes,CowMes.cxt,17,bitmap,M14,,
2,CowMes,CowMes.cxt,18,bitmap,M15,,
2,CowMes,CowMes.cxt,19,bitmap,M16,,
2,CowMes,CowMes.cxt,20,bitmap,M17,,
2,CowMes,CowMes.cxt,21,bitmap,M18,,
2,CowMes,CowMes.cxt,22,bitmap,,,
2,CowMes,CowMes.cxt,23,bitmap,M19,,
2,CowMes,CowMes.cxt,24,bitmap,M20,,
2,CowMes,CowMes.cxt,25,bitmap,M21,,
2,CowMes,CowMes.cxt,26,bitmap,M22,,
2,CowMes,CowMes.cxt,27,bitmap,M23,,
2,CowMes,CowMes.cxt,28,bitmap,M24,,
2,CowMes,CowMes.cxt,29,bitmap,M25,,
2,CowMes,CowMes.cxt,30,bitmap,,,
2,CowMes,CowMes.cxt,31,bitmap,M26,,
2,CowMes,CowMes.cxt,32,bitmap,M27,,
2,CowMes,CowMes.cxt,33,bitmap,,,
2,CowMes,CowMes.cxt,34,bitmap,M28,,
2,CowMes,CowMes.cxt,35,bitmap,M29,,
2,CowMes,CowMes.cxt,36,bitmap,M30,,
2,CowMes,CowMes.cxt,37,bitmap,,,
2,CowMes,CowMes.cxt,38,bitmap,M31,,
2,CowMes,CowMes.cxt,39,bitmap,M32,,
2,CowMes,CowMes.cxt,40,bitmap,M33,,
2,CowMes,CowMes.cxt,41,bitmap,M34,,
2,CowMes,CowMes.cxt,42,bitmap,M35,,
2,CowMes,CowMes.cxt,43,bitmap,M36,,
2,CowMes,CowMes.cxt,44,bitmap,M37,,
2,CowMes,CowMes.cxt,45,bitmap,M38,,
2,CowMes,CowMes.cxt,46,bitmap,M39,,
2,CowMes,CowMes.cxt,47,bitmap,M40,,
2,CowMes,CowMes.cxt,48,bitmap,M41,,
2,CowMes,CowMes.cxt,49,bitmap,,,
2,CowMes,CowMes.cxt,50,bitmap,M42,,
2,CowMes,CowMes.cxt,51,bitmap,M43,,
2,CowMes,CowMes.cxt,52,bitmap,M44,,
2,CowMes,CowMes.cxt,53,bitmap,MK0,,
2,CowMes,CowMes.cxt,54,richText,M66,,
2,CowMes,CowMes.cxt,60,bitmap,M60,,
2,CowMes,CowMes.cxt,61,bitmap,M61,,
2,CowMes,CowMes.cxt,62,bitmap,M62,,
2,CowMes,CowMes.cxt,100,bitmap,casino.dir,,
2,CowMes,CowMes.cxt,101,bitmap,COWBOY.dir,,
2,CowMes,CowMes.cxt,102,bitmap,grand.dir,,
2,CowMes,CowMes.cxt,103,bitmap,hotel.dir,,
2,CowMes,CowMes.cxt,104,bitmap,LasVe.dir,,
2,CowMes,CowMes.cxt,105,bitmap,oilField.dir,,
2,CowMes,CowMes.cxt,106,bitmap,rocket.dir,,
2,CowMes,CowMes.cxt,107,bitmap,show.dir,,
2,CowMes,CowMes.cxt,108,bitmap,western.dir,,
2,CowMes,CowMes.cxt,109,bitmap,clayHous.dir,,
2,CowMes,CowMes.cxt,110,bitmap,GameCow.dir,,
2,CowMes,CowMes.cxt,111,bitmap,baito.dir,,
3,ItemCow,ItemCow.cxt,1,bitmap,Toga,,
3,ItemCow,ItemCow.cxt,2,bitmap,Kinka1,,
3,ItemCow,ItemCow.cxt,3,bitmap,ID,,
3,ItemCow,ItemCow.cxt,4,bitmap,Engine,,
3,ItemCow,ItemCow.cxt,5,bitmap,Kinka50,,
3,ItemCow,ItemCow.cxt,6,bitmap,Buit,,
3,ItemCow,ItemCow.cxt,7,bitmap,Kinka2,,
3,ItemCow,ItemCow.cxt,8,bitmap,Kinka3,,
3,ItemCow,ItemCow.cxt,9,bitmap,Kinka4,,
3,ItemCow,ItemCow.cxt,10,bitmap,Kinka5,,
3,ItemCow,ItemCow.cxt,11,bitmap,Kinka10,,
3,ItemCow,ItemCow.cxt,12,bitmap,Kinka20,,
3,ItemCow,ItemCow.cxt,13,script,,,
3,ItemCow,ItemCow.cxt,14,bitmap,Kinka30,,
3,ItemCow,ItemCow.cxt,16,script,,,
3,ItemCow,ItemCow.cxt,60,bitmap,CurKinka30,,
3,ItemCow,ItemCow.cxt,61,bitmap,CurToga,,
3,ItemCow,ItemCow.cxt,62,bitmap,CurKinka,,
3,ItemCow,ItemCow.cxt,63,bitmap,CurID,,
3,ItemCow,ItemCow.cxt,64,bitmap,CurEngine,,
3,ItemCow,ItemCow.cxt,66,bitmap,CurBuit,,
3,ItemCow,ItemCow.cxt,70,bitmap,FlashCurToga,,
3,ItemCow,ItemCow.cxt,71,bitmap,FlashCurKinka,,
3,ItemCow,ItemCow.cxt,72,bitmap,FlashCurID,,
3,ItemCow,ItemCow.cxt,73,bitmap,FlashCurEngine,,
3,ItemCow,ItemCow.cxt,74,bitmap,FlashCurKinka30,,
3,ItemCow,ItemCow.cxt,75,bitmap,FlashCurBuit,,
4,ItemAmerica,ItemAme.cxt,1,script,…A…≈…‰…JÎ¬…}…b…v«˜,,
4,ItemAmerica,ItemAme.cxt,7,bitmap,AmeKey,,
4,ItemAmerica,ItemAme.cxt,8,bitmap,Acord,,
4,ItemAmerica,ItemAme.cxt,9,bitmap,Base,,
4,ItemAmerica,ItemAme.cxt,10,bitmap,Drum,,
4,ItemAmerica,ItemAme.cxt,11,bitmap,guiter,,
4,ItemAmerica,ItemAme.cxt,12,bitmap,Horun,,
4,ItemAmerica,ItemAme.cxt,13,bitmap,mike,,
4,ItemAmerica,ItemAme.cxt,14,bitmap,Karengo,,
4,ItemAmerica,ItemAme.cxt,15,bitmap,Synth,,
5,Shared.Cst,Shared.cxt,1,script,soundfadeout 2,,
5,Shared.Cst,Shared.cxt,2,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,3,script,mouseDown«ºlstB«˜,,
5,Shared.Cst,Shared.cxt,4,script,ShipGo«ÖÈg«ß,,
5,Shared.Cst,Shared.cxt,5,script,mouseDown«ºgWentLstC(MapM),,
5,Shared.Cst,Shared.cxt,6,script,ShipGo«ÖÈg«ß2,,
5,Shared.Cst,Shared.cxt,7,script,ShipGo«Ö«¨«©«ß3,,
5,Shared.Cst,Shared.cxt,8,script,goMovieD,,
5,Shared.Cst,Shared.cxt,9,script,,,
5,Shared.Cst,Shared.cxt,10,script,ShipGo«ÖÈg«ß4,,
5,Shared.Cst,Shared.cxt,11,script,gWentLstE«ÖÑÉ«ë,,
5,Shared.Cst,Shared.cxt,12,script,exitFrame«ºgoMovieB,,
5,Shared.Cst,Shared.cxt,13,script,ShipGo«º«¨«©«ß5,,
5,Shared.Cst,Shared.cxt,14,script,,,
5,Shared.Cst,Shared.cxt,15,script,,,
5,Shared.Cst,Shared.cxt,16,script,,,
5,Shared.Cst,Shared.cxt,17,script,ÓÉÛpTengIn2«ÖÒÅ«»(Í€«¢),,
5,Shared.Cst,Shared.cxt,18,field,SaveText,,
5,Shared.Cst,Shared.cxt,19,transition,,,
5,Shared.Cst,Shared.cxt,20,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,21,transition,,,
5,Shared.Cst,Shared.cxt,22,script,,,
5,Shared.Cst,Shared.cxt,23,script,,,
5,Shared.Cst,Shared.cxt,24,transition,,,
5,Shared.Cst,Shared.cxt,25,script,,,
5,Shared.Cst,Shared.cxt,26,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,27,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,28,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,29,script,ÓÉÛpmouseDown«ºgo marker(-1),,
5,Shared.Cst,Shared.cxt,30,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,31,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,32,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,33,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,34,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,35,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,36,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,37,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,38,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,39,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,40,field,menu,,
5,Shared.Cst,Shared.cxt,41,field,copyright,,
5,Shared.Cst,Shared.cxt,42,field,halert,,
5,Shared.Cst,Shared.cxt,43,script,,,
5,Shared.Cst,Shared.cxt,44,script,,,
5,Shared.Cst,Shared.cxt,45,script,,,
5,Shared.Cst,Shared.cxt,46,transition,,,
5,Shared.Cst,Shared.cxt,47,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,48,shape,DMLeftButton,,
5,Shared.Cst,Shared.cxt,49,shape,DMForwardButton,,
5,Shared.Cst,Shared.cxt,50,shape,DMRightButton,,
5,Shared.Cst,Shared.cxt,51,shape,goLD,,
5,Shared.Cst,Shared.cxt,52,shape,goUR,,
5,Shared.Cst,Shared.cxt,53,shape,goDown,,
5,Shared.Cst,Shared.cxt,54,shape,goUL,,
5,Shared.Cst,Shared.cxt,55,shape,,,
5,Shared.Cst,Shared.cxt,56,script,,,
5,Shared.Cst,Shared.cxt,57,transition,,,
5,Shared.Cst,Shared.cxt,58,script,"go ""exit""",,
5,Shared.Cst,Shared.cxt,59,script,ÓÉÛpMarker(0),,
5,Shared.Cst,Shared.cxt,60,script,,,
5,Shared.Cst,Shared.cxt,61,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,62,script,"ÓÉÛpgo""aa""",,
5,Shared.Cst,Shared.cxt,63,script,ÓÉÛpgo next,,
5,Shared.Cst,Shared.cxt,64,script,,,
5,Shared.Cst,Shared.cxt,65,sound,Èë«ôÌÇÈë,,
5,Shared.Cst,Shared.cxt,66,script,dansU,,
5,Shared.Cst,Shared.cxt,67,script,dansL,,
5,Shared.Cst,Shared.cxt,68,script,,,
5,Shared.Cst,Shared.cxt,69,script,,,
5,Shared.Cst,Shared.cxt,70,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,71,script,,,
5,Shared.Cst,Shared.cxt,72,script,,,
5,Shared.Cst,Shared.cxt,73,transition,,,
5,Shared.Cst,Shared.cxt,74,script,,,
5,Shared.Cst,Shared.cxt,75,script,‚∞…X…N…Á≈[…„‰˜ÂW,,
5,Shared.Cst,Shared.cxt,76,script,,,
5,Shared.Cst,Shared.cxt,77,script,dansR,,
5,Shared.Cst,Shared.cxt,78,transition,,,
5,Shared.Cst,Shared.cxt,79,script,,,
5,Shared.Cst,Shared.cxt,80,script,dansD,,
5,Shared.Cst,Shared.cxt,81,script,,,
5,Shared.Cst,Shared.cxt,82,script,"ÓÉÛp go""L to R""",,
5,Shared.Cst,Shared.cxt,83,script,ÓÉÛpmouseDown«ºgo next,,
5,Shared.Cst,Shared.cxt,84,script,"use""R toL""",,
5,Shared.Cst,Shared.cxt,85,script,"use ""L to R""",,
5,Shared.Cst,Shared.cxt,86,script,use ScrollLFirstFrame,,
5,Shared.Cst,Shared.cxt,87,script,useScrollRFirst,,
5,Shared.Cst,Shared.cxt,88,script,"go ""aa""",,
5,Shared.Cst,Shared.cxt,89,script,"go ""MapMR""",,
5,Shared.Cst,Shared.cxt,90,script,,,
5,Shared.Cst,Shared.cxt,91,script,ÓÉÛp--,,
5,Shared.Cst,Shared.cxt,92,script,,,
5,Shared.Cst,Shared.cxt,93,script,,,
5,Shared.Cst,Shared.cxt,94,script,,,
5,Shared.Cst,Shared.cxt,95,script,,,
5,Shared.Cst,Shared.cxt,96,transition,,,
5,Shared.Cst,Shared.cxt,97,script,,,
5,Shared.Cst,Shared.cxt,98,script,,,
5,Shared.Cst,Shared.cxt,99,script,,,
5,Shared.Cst,Shared.cxt,100,script,soundfadeIn 2,,
5,Shared.Cst,Shared.cxt,101,script,,,
5,Shared.Cst,Shared.cxt,102,script,soundfadeIn 2,,
