CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,BUTOWN.DXR,1,bitmap,,,
1,Internal,BUTOWN.DXR,2,bitmap,,,
1,Internal,BUTOWN.DXR,3,script,,,
1,Internal,BUTOWN.DXR,4,bitmap,,,
1,Internal,BUTOWN.DXR,5,bitmap,,,
1,Internal,BUTOWN.DXR,6,bitmap,,,
1,Internal,BUTOWN.DXR,7,bitmap,,,
1,Internal,BUTOWN.DXR,8,bitmap,,,
1,Internal,BUTOWN.DXR,9,bitmap,,,
1,Internal,BUTOWN.DXR,10,filmLoop,buWaruWalk,,
1,Internal,BUTOWN.DXR,11,bitmap,,,
1,Internal,BUTOWN.DXR,12,bitmap,,,
1,Internal,BUTOWN.DXR,13,bitmap,,,
1,Internal,BUTOWN.DXR,14,bitmap,,,
1,Internal,BUTOWN.DXR,15,bitmap,,,
1,Internal,BUTOWN.DXR,16,bitmap,,,
1,Internal,BUTOWN.DXR,17,filmLoop,buWaruWalkB,,
1,Internal,BUTOWN.DXR,18,bitmap,,,
1,Internal,BUTOWN.DXR,19,bitmap,,,
1,Internal,BUTOWN.DXR,20,bitmap,,,
1,Internal,BUTOWN.DXR,21,bitmap,,,
1,Internal,BUTOWN.DXR,22,bitmap,,,
1,Internal,BUTOWN.DXR,23,bitmap,,,
1,Internal,BUTOWN.DXR,24,filmLoop,buWaruSPK,,
1,Internal,BUTOWN.DXR,25,script,,,
1,Internal,BUTOWN.DXR,26,script,,,
1,Internal,BUTOWN.DXR,27,bitmap,buStop.00001,,
1,Internal,BUTOWN.DXR,28,script,,,
1,Internal,BUTOWN.DXR,29,script,,,
1,Internal,BUTOWN.DXR,30,script,,,
1,Internal,BUTOWN.DXR,31,filmLoop,buPush.pics,,
1,Internal,BUTOWN.DXR,32,bitmap,,,
1,Internal,BUTOWN.DXR,33,bitmap,,,
1,Internal,BUTOWN.DXR,34,bitmap,,,
1,Internal,BUTOWN.DXR,35,bitmap,,,
1,Internal,BUTOWN.DXR,36,bitmap,,,
1,Internal,BUTOWN.DXR,37,bitmap,,,
1,Internal,BUTOWN.DXR,38,bitmap,,,
1,Internal,BUTOWN.DXR,39,bitmap,,,
1,Internal,BUTOWN.DXR,40,bitmap,,,
1,Internal,BUTOWN.DXR,41,bitmap,,,
1,Internal,BUTOWN.DXR,42,bitmap,,,
1,Internal,BUTOWN.DXR,43,bitmap,,,
1,Internal,BUTOWN.DXR,44,filmLoop,BuWaruTu,,
1,Internal,BUTOWN.DXR,45,filmLoop,BuTu,,
1,Internal,BUTOWN.DXR,46,script,,,
1,Internal,BUTOWN.DXR,47,filmLoop,buStand,,
1,Internal,BUTOWN.DXR,48,bitmap,,,
1,Internal,BUTOWN.DXR,49,bitmap,,,
1,Internal,BUTOWN.DXR,50,bitmap,,,
1,Internal,BUTOWN.DXR,51,bitmap,,,
1,Internal,BUTOWN.DXR,52,bitmap,,,
1,Internal,BUTOWN.DXR,53,bitmap,,,
1,Internal,BUTOWN.DXR,54,filmLoop,buWaruStand,,
1,Internal,BUTOWN.DXR,55,bitmap,,,
1,Internal,BUTOWN.DXR,56,bitmap,,,
1,Internal,BUTOWN.DXR,57,bitmap,,,
1,Internal,BUTOWN.DXR,58,bitmap,,,
1,Internal,BUTOWN.DXR,59,bitmap,,,
1,Internal,BUTOWN.DXR,60,bitmap,,,
1,Internal,BUTOWN.DXR,61,script,,,
1,Internal,BUTOWN.DXR,62,filmLoop,buWaruFight,,
1,Internal,BUTOWN.DXR,63,bitmap,,,
1,Internal,BUTOWN.DXR,64,bitmap,,,
