CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,HITECH.DXR,1,bitmap,,,
1,Internal,HITECH.DXR,2,bitmap,,,
1,Internal,HITECH.DXR,3,bitmap,,,
1,Internal,HITECH.DXR,4,bitmap,,,
1,Internal,HITECH.DXR,5,bitmap,,,
1,Internal,HITECH.DXR,6,bitmap,,,
1,Internal,HITECH.DXR,7,bitmap,,,
1,Internal,HITECH.DXR,8,bitmap,,,
1,Internal,HITECH.DXR,9,script,,,
1,Internal,HITECH.DXR,10,bitmap,,,
1,Internal,HITECH.DXR,11,bitmap,,,
1,Internal,HITECH.DXR,12,bitmap,,,
1,Internal,HITECH.DXR,13,bitmap,,,
1,Internal,HITECH.DXR,14,bitmap,,,
1,Internal,HITECH.DXR,15,bitmap,,,
1,Internal,HITECH.DXR,16,bitmap,,,
1,Internal,HITECH.DXR,17,filmLoop,doctorOp,,
1,Internal,HITECH.DXR,18,script,,,
1,Internal,HITECH.DXR,19,bitmap,,,
1,Internal,HITECH.DXR,20,bitmap,,,
1,Internal,HITECH.DXR,21,bitmap,,,
1,Internal,HITECH.DXR,22,bitmap,,,
1,Internal,HITECH.DXR,23,bitmap,,,
1,Internal,HITECH.DXR,24,bitmap,,,
1,Internal,HITECH.DXR,25,filmLoop,doctorSPK,,
1,Internal,HITECH.DXR,26,bitmap,,,
1,Internal,HITECH.DXR,27,bitmap,,,
1,Internal,HITECH.DXR,28,bitmap,,,
1,Internal,HITECH.DXR,29,bitmap,,,
1,Internal,HITECH.DXR,30,bitmap,,,
1,Internal,HITECH.DXR,31,bitmap,,,
1,Internal,HITECH.DXR,32,bitmap,,,
1,Internal,HITECH.DXR,33,filmLoop,doctorWalkR,,
1,Internal,HITECH.DXR,34,bitmap,,,
1,Internal,HITECH.DXR,35,bitmap,,,
1,Internal,HITECH.DXR,36,bitmap,,,
1,Internal,HITECH.DXR,37,bitmap,,,
1,Internal,HITECH.DXR,38,bitmap,,,
1,Internal,HITECH.DXR,39,bitmap,,,
1,Internal,HITECH.DXR,40,bitmap,,,
1,Internal,HITECH.DXR,41,bitmap,,,
1,Internal,HITECH.DXR,42,bitmap,,,
1,Internal,HITECH.DXR,43,bitmap,,,
1,Internal,HITECH.DXR,44,bitmap,,,
1,Internal,HITECH.DXR,45,bitmap,,,
1,Internal,HITECH.DXR,46,filmLoop,doctorWalkL,,
1,Internal,HITECH.DXR,47,script,,,
1,Internal,HITECH.DXR,48,bitmap,,,
1,Internal,HITECH.DXR,49,richText,,,
1,Internal,HITECH.DXR,50,bitmap,,,
1,Internal,HITECH.DXR,51,bitmap,,,
1,Internal,HITECH.DXR,52,bitmap,,,
1,Internal,HITECH.DXR,53,bitmap,,,
1,Internal,HITECH.DXR,54,bitmap,,,
1,Internal,HITECH.DXR,55,filmLoop,banaEyeLoop,,
1,Internal,HITECH.DXR,56,bitmap,,,
1,Internal,HITECH.DXR,57,transition,,,
1,Internal,HITECH.DXR,58,bitmap,,,
1,Internal,HITECH.DXR,59,bitmap,,,
1,Internal,HITECH.DXR,60,bitmap,,,
1,Internal,HITECH.DXR,61,bitmap,,,
1,Internal,HITECH.DXR,62,bitmap,,,
1,Internal,HITECH.DXR,63,bitmap,,,
1,Internal,HITECH.DXR,64,bitmap,,,
1,Internal,HITECH.DXR,65,bitmap,,,
1,Internal,HITECH.DXR,66,bitmap,,,
1,Internal,HITECH.DXR,67,bitmap,,,
1,Internal,HITECH.DXR,68,bitmap,,,
1,Internal,HITECH.DXR,69,script,,,
1,Internal,HITECH.DXR,70,bitmap,,,
1,Internal,HITECH.DXR,71,bitmap,,,
1,Internal,HITECH.DXR,72,bitmap,,,
1,Internal,HITECH.DXR,73,bitmap,,,
1,Internal,HITECH.DXR,74,bitmap,,,
1,Internal,HITECH.DXR,75,bitmap,,,
1,Internal,HITECH.DXR,76,bitmap,,,
1,Internal,HITECH.DXR,77,bitmap,,,
1,Internal,HITECH.DXR,78,bitmap,,,
1,Internal,HITECH.DXR,79,bitmap,,,
1,Internal,HITECH.DXR,80,bitmap,,,
1,Internal,HITECH.DXR,81,bitmap,,,
1,Internal,HITECH.DXR,82,bitmap,,,
1,Internal,HITECH.DXR,83,bitmap,,,
1,Internal,HITECH.DXR,84,bitmap,,,
1,Internal,HITECH.DXR,85,bitmap,,,
1,Internal,HITECH.DXR,86,bitmap,,,
1,Internal,HITECH.DXR,87,script,,,
1,Internal,HITECH.DXR,88,script,,,
1,Internal,HITECH.DXR,89,script,,,
1,Internal,HITECH.DXR,90,script,,,
1,Internal,HITECH.DXR,91,script,,,
1,Internal,HITECH.DXR,92,script,,,
1,Internal,HITECH.DXR,93,script,,,
1,Internal,HITECH.DXR,94,script,,,
1,Internal,HITECH.DXR,95,script,,,
1,Internal,HITECH.DXR,96,script,,,
1,Internal,HITECH.DXR,97,script,,,
1,Internal,HITECH.DXR,98,script,,,
1,Internal,HITECH.DXR,99,script,,,
1,Internal,HITECH.DXR,100,script,,,
1,Internal,HITECH.DXR,101,script,,,
1,Internal,HITECH.DXR,102,script,,,
1,Internal,HITECH.DXR,103,script,,,
1,Internal,HITECH.DXR,104,script,,,
1,Internal,HITECH.DXR,105,script,,,
1,Internal,HITECH.DXR,106,script,,,
1,Internal,HITECH.DXR,107,script,,,
1,Internal,HITECH.DXR,108,script,,,
1,Internal,HITECH.DXR,109,script,,,
1,Internal,HITECH.DXR,110,sound,synth,,
1,Internal,HITECH.DXR,111,script,,,
1,Internal,HITECH.DXR,112,sound,BIZAR_04.AIF,,
1,Internal,HITECH.DXR,113,sound,Sound 113,,
1,Internal,HITECH.DXR,114,sound,BIRD_1.AIF,,
1,Internal,HITECH.DXR,115,transition,,,
1,Internal,HITECH.DXR,116,sound,Sound 116,,
2,Pon.Cst,Pon.cxt,1,script,,,
2,Pon.Cst,Pon.cxt,2,bitmap,,,
2,Pon.Cst,Pon.cxt,3,bitmap,,,
2,Pon.Cst,Pon.cxt,4,bitmap,,,
2,Pon.Cst,Pon.cxt,5,bitmap,,,
2,Pon.Cst,Pon.cxt,6,bitmap,,,
2,Pon.Cst,Pon.cxt,7,bitmap,,,
2,Pon.Cst,Pon.cxt,8,bitmap,,,
2,Pon.Cst,Pon.cxt,9,bitmap,,,
2,Pon.Cst,Pon.cxt,10,bitmap,,,
2,Pon.Cst,Pon.cxt,11,filmLoop,PonRunF,,
2,Pon.Cst,Pon.cxt,12,bitmap,,,
2,Pon.Cst,Pon.cxt,13,bitmap,,,
2,Pon.Cst,Pon.cxt,14,bitmap,ponStopB,,
2,Pon.Cst,Pon.cxt,15,bitmap,,,
2,Pon.Cst,Pon.cxt,16,bitmap,,,
2,Pon.Cst,Pon.cxt,17,bitmap,,,
2,Pon.Cst,Pon.cxt,18,bitmap,,,
2,Pon.Cst,Pon.cxt,19,bitmap,,,
2,Pon.Cst,Pon.cxt,20,bitmap,,,
2,Pon.Cst,Pon.cxt,21,filmLoop,PonRunB,,
2,Pon.Cst,Pon.cxt,22,bitmap,,,
2,Pon.Cst,Pon.cxt,23,bitmap,,,
2,Pon.Cst,Pon.cxt,24,bitmap,,,
2,Pon.Cst,Pon.cxt,25,bitmap,,,
2,Pon.Cst,Pon.cxt,26,bitmap,,,
2,Pon.Cst,Pon.cxt,27,bitmap,,,
2,Pon.Cst,Pon.cxt,28,bitmap,,,
2,Pon.Cst,Pon.cxt,29,bitmap,,,
2,Pon.Cst,Pon.cxt,30,bitmap,,,
2,Pon.Cst,Pon.cxt,31,filmLoop,PonRunL,,
2,Pon.Cst,Pon.cxt,32,filmLoop,PonRunR,,
2,Pon.Cst,Pon.cxt,33,bitmap,,,
2,Pon.Cst,Pon.cxt,34,bitmap,,,
2,Pon.Cst,Pon.cxt,35,bitmap,,,
2,Pon.Cst,Pon.cxt,36,bitmap,PonL,,
2,Pon.Cst,Pon.cxt,37,bitmap,,,
2,Pon.Cst,Pon.cxt,38,bitmap,,,
2,Pon.Cst,Pon.cxt,39,bitmap,,,
2,Pon.Cst,Pon.cxt,40,bitmap,,,
2,Pon.Cst,Pon.cxt,41,bitmap,,,
2,Pon.Cst,Pon.cxt,42,bitmap,,,
2,Pon.Cst,Pon.cxt,43,bitmap,,,
2,Pon.Cst,Pon.cxt,44,bitmap,,,
2,Pon.Cst,Pon.cxt,45,bitmap,,,
2,Pon.Cst,Pon.cxt,46,bitmap,,,
2,Pon.Cst,Pon.cxt,47,bitmap,,,
2,Pon.Cst,Pon.cxt,48,bitmap,,,
2,Pon.Cst,Pon.cxt,49,bitmap,,,
2,Pon.Cst,Pon.cxt,50,filmLoop,PonTalkR,,
2,Pon.Cst,Pon.cxt,51,bitmap,,,
2,Pon.Cst,Pon.cxt,52,bitmap,,,
2,Pon.Cst,Pon.cxt,53,bitmap,,,
2,Pon.Cst,Pon.cxt,54,bitmap,,,
2,Pon.Cst,Pon.cxt,55,bitmap,,,
2,Pon.Cst,Pon.cxt,56,bitmap,,,
2,Pon.Cst,Pon.cxt,57,bitmap,,,
2,Pon.Cst,Pon.cxt,58,bitmap,,,
2,Pon.Cst,Pon.cxt,59,filmLoop,PonTalkL,,
2,Pon.Cst,Pon.cxt,60,bitmap,PonStopL,,
2,Pon.Cst,Pon.cxt,61,bitmap,PonStopR,,
2,Pon.Cst,Pon.cxt,62,bitmap,PonStopRR,,
2,Pon.Cst,Pon.cxt,63,bitmap,,,
2,Pon.Cst,Pon.cxt,64,bitmap,,,
2,Pon.Cst,Pon.cxt,65,bitmap,,,
2,Pon.Cst,Pon.cxt,66,filmLoop,PonGetR,,
2,Pon.Cst,Pon.cxt,67,bitmap,PonStopLL,,
2,Pon.Cst,Pon.cxt,68,bitmap,,,
2,Pon.Cst,Pon.cxt,69,bitmap,,,
2,Pon.Cst,Pon.cxt,70,bitmap,,,
2,Pon.Cst,Pon.cxt,71,bitmap,,,
2,Pon.Cst,Pon.cxt,72,bitmap,,,
2,Pon.Cst,Pon.cxt,73,bitmap,,,
2,Pon.Cst,Pon.cxt,74,bitmap,,,
2,Pon.Cst,Pon.cxt,75,filmLoop,PonGetL,,
2,Pon.Cst,Pon.cxt,76,filmLoop,PonPunchL,,
2,Pon.Cst,Pon.cxt,77,bitmap,,,
2,Pon.Cst,Pon.cxt,78,bitmap,,,
2,Pon.Cst,Pon.cxt,79,bitmap,,,
2,Pon.Cst,Pon.cxt,80,bitmap,,,
2,Pon.Cst,Pon.cxt,81,filmLoop,PonPunchR,,
2,Pon.Cst,Pon.cxt,82,bitmap,,,
2,Pon.Cst,Pon.cxt,83,bitmap,,,
2,Pon.Cst,Pon.cxt,84,bitmap,,,
2,Pon.Cst,Pon.cxt,85,bitmap,,,
2,Pon.Cst,Pon.cxt,86,bitmap,,,
2,Pon.Cst,Pon.cxt,87,bitmap,,,
2,Pon.Cst,Pon.cxt,88,bitmap,,,
2,Pon.Cst,Pon.cxt,89,bitmap,,,
2,Pon.Cst,Pon.cxt,90,bitmap,,,
2,Pon.Cst,Pon.cxt,91,bitmap,,,
2,Pon.Cst,Pon.cxt,92,bitmap,,,
2,Pon.Cst,Pon.cxt,93,bitmap,,,
2,Pon.Cst,Pon.cxt,94,bitmap,,,
2,Pon.Cst,Pon.cxt,95,bitmap,,,
2,Pon.Cst,Pon.cxt,96,bitmap,,,
2,Pon.Cst,Pon.cxt,97,bitmap,,,
2,Pon.Cst,Pon.cxt,98,bitmap,,,
2,Pon.Cst,Pon.cxt,99,bitmap,,,
2,Pon.Cst,Pon.cxt,100,bitmap,,,
2,Pon.Cst,Pon.cxt,101,sound,…|…Ï,,
2,Pon.Cst,Pon.cxt,102,sound,ponVoice,,
2,Pon.Cst,Pon.cxt,103,sound,ponUncle,,
2,Pon.Cst,Pon.cxt,104,sound,ponGal,,
2,Pon.Cst,Pon.cxt,105,sound,057,,
2,Pon.Cst,Pon.cxt,106,sound,PonUncle3,,
2,Pon.Cst,Pon.cxt,107,sound,Sound 172,,
2,Pon.Cst,Pon.cxt,108,sound,È‹«ùÈ «ÀËÑ«ê«»,,
2,Pon.Cst,Pon.cxt,109,sound,299,,
2,Pon.Cst,Pon.cxt,110,sound,«î«õ«¥«À«√…J…Ï…J…Ï«¢«ß‚˛,,
2,Pon.Cst,Pon.cxt,111,sound,204,,
2,Pon.Cst,Pon.cxt,112,script,,,
2,Pon.Cst,Pon.cxt,113,transition,,,
2,Pon.Cst,Pon.cxt,114,script,,,
2,Pon.Cst,Pon.cxt,115,script,,,
2,Pon.Cst,Pon.cxt,116,script,,,
2,Pon.Cst,Pon.cxt,117,transition,,,
2,Pon.Cst,Pon.cxt,118,transition,,,
2,Pon.Cst,Pon.cxt,119,sound,128,,
2,Pon.Cst,Pon.cxt,120,sound,Íœ«√Û®«Õ2,,
2,Pon.Cst,Pon.cxt,121,sound,drum21,,
2,Pon.Cst,Pon.cxt,122,sound,*untitled 44,,
2,Pon.Cst,Pon.cxt,123,sound,204,,
2,Pon.Cst,Pon.cxt,124,script,,,
2,Pon.Cst,Pon.cxt,125,script,,,
3,bana.Cst,bana.cxt,1,filmLoop,banatenWalk.dir,,
3,bana.Cst,bana.cxt,2,filmLoop,banaRunF,,
3,bana.Cst,bana.cxt,3,bitmap,,,
3,bana.Cst,bana.cxt,4,bitmap,,,
3,bana.Cst,bana.cxt,5,bitmap,,,
3,bana.Cst,bana.cxt,6,bitmap,,,
3,bana.Cst,bana.cxt,7,bitmap,,,
3,bana.Cst,bana.cxt,8,bitmap,banaStopL,,
3,bana.Cst,bana.cxt,9,bitmap,banaStopR,,
3,bana.Cst,bana.cxt,10,filmLoop,banaRunR,,
3,bana.Cst,bana.cxt,11,bitmap,,,
3,bana.Cst,bana.cxt,12,bitmap,,,
3,bana.Cst,bana.cxt,13,bitmap,,,
3,bana.Cst,bana.cxt,14,bitmap,,,
3,bana.Cst,bana.cxt,15,bitmap,,,
3,bana.Cst,bana.cxt,16,filmLoop,banaRunL,,
3,bana.Cst,bana.cxt,17,bitmap,,,
3,bana.Cst,bana.cxt,18,bitmap,,,
3,bana.Cst,bana.cxt,19,bitmap,,,
3,bana.Cst,bana.cxt,20,bitmap,,,
3,bana.Cst,bana.cxt,21,bitmap,,,
3,bana.Cst,bana.cxt,22,filmLoop,banaRunB,,
3,bana.Cst,bana.cxt,23,bitmap,,,
3,bana.Cst,bana.cxt,24,bitmap,,,
3,bana.Cst,bana.cxt,25,bitmap,,,
3,bana.Cst,bana.cxt,26,bitmap,,,
3,bana.Cst,bana.cxt,27,bitmap,,,
3,bana.Cst,bana.cxt,28,sound,ËCÛ˘Ì‹,,
3,bana.Cst,bana.cxt,29,script,,,
3,bana.Cst,bana.cxt,30,sound,…J…L≈[…Ï,,
3,bana.Cst,bana.cxt,31,sound,ele,,
3,bana.Cst,bana.cxt,32,sound,banaten,,
3,bana.Cst,bana.cxt,100,bitmap,Bana,,
3,bana.Cst,bana.cxt,101,bitmap,FlashBana,,
4,Shared.Cst,Shared.cxt,1,script,soundfadeout 2,,
4,Shared.Cst,Shared.cxt,2,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,3,script,mouseDown«ºlstB«˜,,
4,Shared.Cst,Shared.cxt,4,script,ShipGo«ÖÈg«ß,,
4,Shared.Cst,Shared.cxt,5,script,mouseDown«ºgWentLstC(MapM),,
4,Shared.Cst,Shared.cxt,6,script,ShipGo«ÖÈg«ß2,,
4,Shared.Cst,Shared.cxt,7,script,ShipGo«Ö«¨«©«ß3,,
4,Shared.Cst,Shared.cxt,8,script,goMovieD,,
4,Shared.Cst,Shared.cxt,9,script,,,
4,Shared.Cst,Shared.cxt,10,script,ShipGo«ÖÈg«ß4,,
4,Shared.Cst,Shared.cxt,11,script,gWentLstE«ÖÑÉ«ë,,
4,Shared.Cst,Shared.cxt,12,script,exitFrame«ºgoMovieB,,
4,Shared.Cst,Shared.cxt,13,script,ShipGo«º«¨«©«ß5,,
4,Shared.Cst,Shared.cxt,14,script,,,
4,Shared.Cst,Shared.cxt,15,script,,,
4,Shared.Cst,Shared.cxt,16,script,,,
4,Shared.Cst,Shared.cxt,17,script,ÓÉÛpTengIn2«ÖÒÅ«»(Í€«¢),,
4,Shared.Cst,Shared.cxt,18,field,SaveText,,
4,Shared.Cst,Shared.cxt,19,transition,,,
4,Shared.Cst,Shared.cxt,20,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,21,transition,,,
4,Shared.Cst,Shared.cxt,22,script,,,
4,Shared.Cst,Shared.cxt,23,script,,,
4,Shared.Cst,Shared.cxt,24,transition,,,
4,Shared.Cst,Shared.cxt,25,script,,,
4,Shared.Cst,Shared.cxt,26,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,27,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,28,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,29,script,ÓÉÛpmouseDown«ºgo marker(-1),,
4,Shared.Cst,Shared.cxt,30,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,31,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,32,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,33,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,34,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,35,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,36,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,37,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,38,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,39,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,40,field,menu,,
4,Shared.Cst,Shared.cxt,41,field,copyright,,
4,Shared.Cst,Shared.cxt,42,field,halert,,
4,Shared.Cst,Shared.cxt,43,script,,,
4,Shared.Cst,Shared.cxt,44,script,,,
4,Shared.Cst,Shared.cxt,45,script,,,
4,Shared.Cst,Shared.cxt,46,transition,,,
4,Shared.Cst,Shared.cxt,47,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,48,shape,DMLeftButton,,
4,Shared.Cst,Shared.cxt,49,shape,DMForwardButton,,
4,Shared.Cst,Shared.cxt,50,shape,DMRightButton,,
4,Shared.Cst,Shared.cxt,51,shape,goLD,,
4,Shared.Cst,Shared.cxt,52,shape,goUR,,
4,Shared.Cst,Shared.cxt,53,shape,goDown,,
4,Shared.Cst,Shared.cxt,54,shape,goUL,,
4,Shared.Cst,Shared.cxt,55,shape,,,
4,Shared.Cst,Shared.cxt,56,script,,,
4,Shared.Cst,Shared.cxt,57,transition,,,
4,Shared.Cst,Shared.cxt,58,script,"go ""exit""",,
4,Shared.Cst,Shared.cxt,59,script,ÓÉÛpMarker(0),,
4,Shared.Cst,Shared.cxt,60,script,,,
4,Shared.Cst,Shared.cxt,61,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,62,script,"ÓÉÛpgo""aa""",,
4,Shared.Cst,Shared.cxt,63,script,ÓÉÛpgo next,,
4,Shared.Cst,Shared.cxt,64,script,,,
4,Shared.Cst,Shared.cxt,65,sound,Èë«ôÌÇÈë,,
4,Shared.Cst,Shared.cxt,66,script,dansU,,
4,Shared.Cst,Shared.cxt,67,script,dansL,,
4,Shared.Cst,Shared.cxt,68,script,,,
4,Shared.Cst,Shared.cxt,69,script,,,
4,Shared.Cst,Shared.cxt,70,script,soundfadeIn 2,,
4,Shared.Cst,Shared.cxt,71,script,,,
4,Shared.Cst,Shared.cxt,72,script,,,
4,Shared.Cst,Shared.cxt,73,transition,,,
4,Shared.Cst,Shared.cxt,74,script,,,
