CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,LOS.DXR,1,bitmap,,,
1,Internal,LOS.DXR,2,bitmap,,,
1,Internal,LOS.DXR,3,script,dly60,,
1,Internal,LOS.DXR,4,script,,,
1,Internal,LOS.DXR,5,script,,,
1,Internal,LOS.DXR,6,script,,,
1,Internal,LOS.DXR,7,script,,,
1,Internal,LOS.DXR,8,script,,,
1,Internal,LOS.DXR,9,script,,,
1,Internal,LOS.DXR,10,script,,,
1,Internal,LOS.DXR,11,script,,,
1,Internal,LOS.DXR,12,script,,,
1,Internal,LOS.DXR,13,sound,l.a & s.f,,
1,Internal,LOS.DXR,14,transition,,,
1,Internal,LOS.DXR,15,transition,,,
2,bana.Cst,bana.cxt,1,filmLoop,banatenWalk.dir,,
2,bana.Cst,bana.cxt,2,filmLoop,banaRunF,,
2,bana.Cst,bana.cxt,3,bitmap,,,
2,bana.Cst,bana.cxt,4,bitmap,,,
2,bana.Cst,bana.cxt,5,bitmap,,,
2,bana.Cst,bana.cxt,6,bitmap,,,
2,bana.Cst,bana.cxt,7,bitmap,,,
2,bana.Cst,bana.cxt,8,bitmap,banaStopL,,
2,bana.Cst,bana.cxt,9,bitmap,banaStopR,,
2,bana.Cst,bana.cxt,10,filmLoop,banaRunR,,
2,bana.Cst,bana.cxt,11,bitmap,,,
2,bana.Cst,bana.cxt,12,bitmap,,,
2,bana.Cst,bana.cxt,13,bitmap,,,
2,bana.Cst,bana.cxt,14,bitmap,,,
2,bana.Cst,bana.cxt,15,bitmap,,,
2,bana.Cst,bana.cxt,16,filmLoop,banaRunL,,
2,bana.Cst,bana.cxt,17,bitmap,,,
2,bana.Cst,bana.cxt,18,bitmap,,,
2,bana.Cst,bana.cxt,19,bitmap,,,
2,bana.Cst,bana.cxt,20,bitmap,,,
2,bana.Cst,bana.cxt,21,bitmap,,,
2,bana.Cst,bana.cxt,22,filmLoop,banaRunB,,
2,bana.Cst,bana.cxt,23,bitmap,,,
2,bana.Cst,bana.cxt,24,bitmap,,,
2,bana.Cst,bana.cxt,25,bitmap,,,
2,bana.Cst,bana.cxt,26,bitmap,,,
2,bana.Cst,bana.cxt,27,bitmap,,,
2,bana.Cst,bana.cxt,28,sound,ËCÛ˘Ì‹,,
2,bana.Cst,bana.cxt,29,script,,,
