CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,SANFRAMP.DXR,1,bitmap,,,
1,Internal,SANFRAMP.DXR,2,script,,,
1,Internal,SANFRAMP.DXR,3,bitmap,,,
1,Internal,SANFRAMP.DXR,4,script,,,
1,Internal,SANFRAMP.DXR,5,script,,,
1,Internal,SANFRAMP.DXR,6,script,,,
1,Internal,SANFRAMP.DXR,7,script,,,
1,Internal,SANFRAMP.DXR,8,script,,,
1,Internal,SANFRAMP.DXR,9,script,,,
1,Internal,SANFRAMP.DXR,10,script,,,
1,Internal,SANFRAMP.DXR,11,script,,,
1,Internal,SANFRAMP.DXR,12,script,,,
1,Internal,SANFRAMP.DXR,13,script,,,
1,Internal,SANFRAMP.DXR,14,transition,,,
1,Internal,SANFRAMP.DXR,15,script,,,
1,Internal,SANFRAMP.DXR,16,sound,drum04,,
1,Internal,SANFRAMP.DXR,17,script,,,
2,Pon.Cst,Pon.cxt,1,script,,,
2,Pon.Cst,Pon.cxt,2,bitmap,,,
2,Pon.Cst,Pon.cxt,3,bitmap,,,
2,Pon.Cst,Pon.cxt,4,bitmap,,,
2,Pon.Cst,Pon.cxt,5,bitmap,,,
2,Pon.Cst,Pon.cxt,6,bitmap,,,
2,Pon.Cst,Pon.cxt,7,bitmap,,,
2,Pon.Cst,Pon.cxt,8,bitmap,,,
2,Pon.Cst,Pon.cxt,9,bitmap,,,
2,Pon.Cst,Pon.cxt,10,bitmap,,,
2,Pon.Cst,Pon.cxt,11,filmLoop,PonRunF,,
2,Pon.Cst,Pon.cxt,12,bitmap,,,
2,Pon.Cst,Pon.cxt,13,bitmap,,,
2,Pon.Cst,Pon.cxt,14,bitmap,ponStopB,,
2,Pon.Cst,Pon.cxt,15,bitmap,,,
2,Pon.Cst,Pon.cxt,16,bitmap,,,
2,Pon.Cst,Pon.cxt,17,bitmap,,,
2,Pon.Cst,Pon.cxt,18,bitmap,,,
2,Pon.Cst,Pon.cxt,19,bitmap,,,
2,Pon.Cst,Pon.cxt,20,bitmap,,,
2,Pon.Cst,Pon.cxt,21,filmLoop,PonRunB,,
2,Pon.Cst,Pon.cxt,22,bitmap,,,
2,Pon.Cst,Pon.cxt,23,bitmap,,,
2,Pon.Cst,Pon.cxt,24,bitmap,,,
2,Pon.Cst,Pon.cxt,25,bitmap,,,
2,Pon.Cst,Pon.cxt,26,bitmap,,,
2,Pon.Cst,Pon.cxt,27,bitmap,,,
2,Pon.Cst,Pon.cxt,28,bitmap,,,
2,Pon.Cst,Pon.cxt,29,bitmap,,,
2,Pon.Cst,Pon.cxt,30,bitmap,,,
2,Pon.Cst,Pon.cxt,31,filmLoop,PonRunL,,
2,Pon.Cst,Pon.cxt,32,filmLoop,PonRunR,,
2,Pon.Cst,Pon.cxt,33,bitmap,,,
2,Pon.Cst,Pon.cxt,34,bitmap,,,
2,Pon.Cst,Pon.cxt,35,bitmap,,,
2,Pon.Cst,Pon.cxt,36,bitmap,PonL,,
2,Pon.Cst,Pon.cxt,37,bitmap,,,
2,Pon.Cst,Pon.cxt,38,bitmap,,,
2,Pon.Cst,Pon.cxt,39,bitmap,,,
2,Pon.Cst,Pon.cxt,40,bitmap,,,
2,Pon.Cst,Pon.cxt,41,bitmap,,,
2,Pon.Cst,Pon.cxt,42,bitmap,,,
2,Pon.Cst,Pon.cxt,43,bitmap,,,
2,Pon.Cst,Pon.cxt,44,bitmap,,,
2,Pon.Cst,Pon.cxt,45,bitmap,,,
2,Pon.Cst,Pon.cxt,46,bitmap,,,
2,Pon.Cst,Pon.cxt,47,bitmap,,,
2,Pon.Cst,Pon.cxt,48,bitmap,,,
2,Pon.Cst,Pon.cxt,49,bitmap,,,
2,Pon.Cst,Pon.cxt,50,filmLoop,PonTalkR,,
2,Pon.Cst,Pon.cxt,51,bitmap,,,
2,Pon.Cst,Pon.cxt,52,bitmap,,,
2,Pon.Cst,Pon.cxt,53,bitmap,,,
2,Pon.Cst,Pon.cxt,54,bitmap,,,
2,Pon.Cst,Pon.cxt,55,bitmap,,,
2,Pon.Cst,Pon.cxt,56,bitmap,,,
2,Pon.Cst,Pon.cxt,57,bitmap,,,
2,Pon.Cst,Pon.cxt,58,bitmap,,,
2,Pon.Cst,Pon.cxt,59,filmLoop,PonTalkL,,
2,Pon.Cst,Pon.cxt,60,bitmap,PonStopL,,
2,Pon.Cst,Pon.cxt,61,bitmap,PonStopR,,
