CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,CITYMEX.DXR,1,bitmap,,,
1,Internal,CITYMEX.DXR,2,script,,,
1,Internal,CITYMEX.DXR,3,script,,,
1,Internal,CITYMEX.DXR,4,script,,,
1,Internal,CITYMEX.DXR,5,script,,,
1,Internal,CITYMEX.DXR,6,script,,,
1,Internal,CITYMEX.DXR,7,script,,,
1,Internal,CITYMEX.DXR,8,script,,,
1,Internal,CITYMEX.DXR,9,script,,,
1,Internal,CITYMEX.DXR,10,transition,,,
1,Internal,CITYMEX.DXR,11,sound,…}…‰…A…b…`ÁLËÕ«’‡£ËD«Ê.aif,,
2,MexMes,MexMes.cxt,1,bitmap,,,
2,MexMes,MexMes.cxt,2,bitmap,M1,,
2,MexMes,MexMes.cxt,3,bitmap,M2,,
2,MexMes,MexMes.cxt,4,bitmap,M3,,
2,MexMes,MexMes.cxt,5,bitmap,M4,,
2,MexMes,MexMes.cxt,6,bitmap,M5,,
2,MexMes,MexMes.cxt,7,bitmap,M6,,
2,MexMes,MexMes.cxt,8,bitmap,M7,,
2,MexMes,MexMes.cxt,9,bitmap,M8,,
2,MexMes,MexMes.cxt,10,bitmap,M9,,
2,MexMes,MexMes.cxt,11,bitmap,M10,,
2,MexMes,MexMes.cxt,12,bitmap,M11,,
2,MexMes,MexMes.cxt,13,bitmap,,,
2,MexMes,MexMes.cxt,14,bitmap,M12,,
2,MexMes,MexMes.cxt,15,bitmap,,,
2,MexMes,MexMes.cxt,16,bitmap,M13,,
2,MexMes,MexMes.cxt,17,bitmap,M14,,
2,MexMes,MexMes.cxt,18,bitmap,M15,,
2,MexMes,MexMes.cxt,19,bitmap,M16,,
2,MexMes,MexMes.cxt,20,bitmap,M17,,
2,MexMes,MexMes.cxt,21,bitmap,M18,,
2,MexMes,MexMes.cxt,22,bitmap,M19,,
2,MexMes,MexMes.cxt,23,bitmap,,,
2,MexMes,MexMes.cxt,24,bitmap,M20,,
2,MexMes,MexMes.cxt,25,bitmap,M21,,
2,MexMes,MexMes.cxt,26,bitmap,M22,,
2,MexMes,MexMes.cxt,27,bitmap,M23,,
2,MexMes,MexMes.cxt,28,bitmap,M24,,
2,MexMes,MexMes.cxt,29,bitmap,M25,,
2,MexMes,MexMes.cxt,30,bitmap,M26,,
2,MexMes,MexMes.cxt,31,bitmap,M27,,
2,MexMes,MexMes.cxt,32,bitmap,M28,,
2,MexMes,MexMes.cxt,33,bitmap,M29,,
2,MexMes,MexMes.cxt,34,bitmap,M30,,
2,MexMes,MexMes.cxt,35,bitmap,M31,,
2,MexMes,MexMes.cxt,36,bitmap,M32,,
2,MexMes,MexMes.cxt,37,bitmap,,,
2,MexMes,MexMes.cxt,38,bitmap,M33,,
2,MexMes,MexMes.cxt,39,bitmap,,,
2,MexMes,MexMes.cxt,40,bitmap,M34,,
2,MexMes,MexMes.cxt,41,bitmap,M35,,
2,MexMes,MexMes.cxt,42,bitmap,M36,,
2,MexMes,MexMes.cxt,43,bitmap,M37,,
2,MexMes,MexMes.cxt,44,bitmap,M38,,
2,MexMes,MexMes.cxt,45,bitmap,,,
2,MexMes,MexMes.cxt,46,bitmap,M39,,
2,MexMes,MexMes.cxt,47,bitmap,M40,,
2,MexMes,MexMes.cxt,48,bitmap,,,
2,MexMes,MexMes.cxt,49,bitmap,M41,,
2,MexMes,MexMes.cxt,50,bitmap,M42,,
2,MexMes,MexMes.cxt,51,bitmap,M43,,
2,MexMes,MexMes.cxt,52,bitmap,M44,,
2,MexMes,MexMes.cxt,53,bitmap,M45,,
2,MexMes,MexMes.cxt,54,bitmap,M46,,
2,MexMes,MexMes.cxt,55,bitmap,M47,,
2,MexMes,MexMes.cxt,56,bitmap,M58,,
2,MexMes,MexMes.cxt,57,bitmap,M59,,
2,MexMes,MexMes.cxt,58,bitmap,M60,,
2,MexMes,MexMes.cxt,59,bitmap,M61,,
2,MexMes,MexMes.cxt,60,bitmap,M62,,
2,MexMes,MexMes.cxt,61,bitmap,M63,,
2,MexMes,MexMes.cxt,62,bitmap,M48,,
2,MexMes,MexMes.cxt,63,bitmap,M49,,
2,MexMes,MexMes.cxt,64,bitmap,M50,,
2,MexMes,MexMes.cxt,65,bitmap,M51,,
2,MexMes,MexMes.cxt,66,bitmap,M52,,
2,MexMes,MexMes.cxt,67,bitmap,M53,,
2,MexMes,MexMes.cxt,68,bitmap,,,
2,MexMes,MexMes.cxt,69,bitmap,M54,,
2,MexMes,MexMes.cxt,70,bitmap,M55,,
2,MexMes,MexMes.cxt,71,bitmap,,,
2,MexMes,MexMes.cxt,72,bitmap,M56,,
2,MexMes,MexMes.cxt,73,bitmap,M57,,
2,MexMes,MexMes.cxt,74,bitmap,M65,,
2,MexMes,MexMes.cxt,75,bitmap,M2-1,,
2,MexMes,MexMes.cxt,77,bitmap,M67,,
2,MexMes,MexMes.cxt,80,bitmap,M80,,
2,MexMes,MexMes.cxt,81,bitmap,M33-1,,
2,MexMes,MexMes.cxt,82,bitmap,M81,,
2,MexMes,MexMes.cxt,83,bitmap,M82,,
2,MexMes,MexMes.cxt,84,bitmap,M83,,
2,MexMes,MexMes.cxt,100,bitmap,SeaSide.dir,,
2,MexMes,MexMes.cxt,101,bitmap,pyramSun.dir,,
2,MexMes,MexMes.cxt,102,bitmap,pyramStp.dir,,
2,MexMes,MexMes.cxt,103,bitmap,MEXICO.dir,,
2,MexMes,MexMes.cxt,104,bitmap,market.dir,,
2,MexMes,MexMes.cxt,105,bitmap,mariach.dir,,
2,MexMes,MexMes.cxt,106,bitmap,magei.dir,,
2,MexMes,MexMes.cxt,107,bitmap,danceRok.dir,,
2,MexMes,MexMes.cxt,108,bitmap,contest.dir,,
2,MexMes,MexMes.cxt,109,bitmap,cityMex.dir,,
2,MexMes,MexMes.cxt,110,bitmap,bronzeM.dir,,
2,MexMes,MexMes.cxt,111,bitmap,bigHead.dir,,
3,ItemAmerica,ItemAme.cxt,1,script,…A…≈…‰…JÎ¬…}…b…v«˜,,
3,ItemAmerica,ItemAme.cxt,7,bitmap,AmeKey,,
3,ItemAmerica,ItemAme.cxt,8,bitmap,Acord,,
3,ItemAmerica,ItemAme.cxt,9,bitmap,Base,,
3,ItemAmerica,ItemAme.cxt,10,bitmap,Drum,,
3,ItemAmerica,ItemAme.cxt,11,bitmap,guiter,,
3,ItemAmerica,ItemAme.cxt,12,bitmap,Horun,,
3,ItemAmerica,ItemAme.cxt,13,bitmap,mike,,
3,ItemAmerica,ItemAme.cxt,14,bitmap,Karengo,,
3,ItemAmerica,ItemAme.cxt,15,bitmap,Synth,,
4,Bu.Cst,Bu.cxt,1,filmLoop,BU walk.dir,,
4,Bu.Cst,Bu.cxt,2,bitmap,,,
4,Bu.Cst,Bu.cxt,3,bitmap,,,
4,Bu.Cst,Bu.cxt,4,bitmap,,,
4,Bu.Cst,Bu.cxt,5,bitmap,,,
4,Bu.Cst,Bu.cxt,6,bitmap,,,
4,Bu.Cst,Bu.cxt,7,bitmap,,,
4,Bu.Cst,Bu.cxt,8,bitmap,,,
4,Bu.Cst,Bu.cxt,9,bitmap,,,
4,Bu.Cst,Bu.cxt,10,bitmap,,,
4,Bu.Cst,Bu.cxt,11,filmLoop,BuRunF,,
4,Bu.Cst,Bu.cxt,12,bitmap,,,
4,Bu.Cst,Bu.cxt,13,bitmap,,,
4,Bu.Cst,Bu.cxt,14,bitmap,,,
