CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,BEACHMI.DXR,1,bitmap,,,
1,Internal,BEACHMI.DXR,2,bitmap,,,
1,Internal,BEACHMI.DXR,3,bitmap,,,
1,Internal,BEACHMI.DXR,4,bitmap,,,
1,Internal,BEACHMI.DXR,5,bitmap,,,
1,Internal,BEACHMI.DXR,6,bitmap,,,
1,Internal,BEACHMI.DXR,7,bitmap,,,
1,Internal,BEACHMI.DXR,8,bitmap,,,
1,Internal,BEACHMI.DXR,9,bitmap,,,
1,Internal,BEACHMI.DXR,10,bitmap,,,
1,Internal,BEACHMI.DXR,11,bitmap,,,
1,Internal,BEACHMI.DXR,12,bitmap,,,
1,Internal,BEACHMI.DXR,13,bitmap,,,
1,Internal,BEACHMI.DXR,14,bitmap,,,
1,Internal,BEACHMI.DXR,15,bitmap,,,
1,Internal,BEACHMI.DXR,16,bitmap,,,
1,Internal,BEACHMI.DXR,17,bitmap,,,
1,Internal,BEACHMI.DXR,18,bitmap,,,
1,Internal,BEACHMI.DXR,19,filmLoop,seaLoop,,
1,Internal,BEACHMI.DXR,20,script,,,
1,Internal,BEACHMI.DXR,21,script,,,
1,Internal,BEACHMI.DXR,22,script,,,
1,Internal,BEACHMI.DXR,23,bitmap,,,
1,Internal,BEACHMI.DXR,24,bitmap,,,
1,Internal,BEACHMI.DXR,25,bitmap,,,
1,Internal,BEACHMI.DXR,26,bitmap,,,
1,Internal,BEACHMI.DXR,27,bitmap,,,
1,Internal,BEACHMI.DXR,28,bitmap,,,
1,Internal,BEACHMI.DXR,29,bitmap,,,
1,Internal,BEACHMI.DXR,30,bitmap,,,
1,Internal,BEACHMI.DXR,31,bitmap,,,
1,Internal,BEACHMI.DXR,32,bitmap,,,
1,Internal,BEACHMI.DXR,33,bitmap,,,
1,Internal,BEACHMI.DXR,34,bitmap,,,
1,Internal,BEACHMI.DXR,35,bitmap,,,
1,Internal,BEACHMI.DXR,36,bitmap,,,
1,Internal,BEACHMI.DXR,37,bitmap,,,
1,Internal,BEACHMI.DXR,38,bitmap,,,
1,Internal,BEACHMI.DXR,39,bitmap,,,
1,Internal,BEACHMI.DXR,40,bitmap,,,
1,Internal,BEACHMI.DXR,41,bitmap,,,
1,Internal,BEACHMI.DXR,42,bitmap,,,
1,Internal,BEACHMI.DXR,43,bitmap,,,
1,Internal,BEACHMI.DXR,44,bitmap,,,
1,Internal,BEACHMI.DXR,45,bitmap,,,
1,Internal,BEACHMI.DXR,46,bitmap,,,
1,Internal,BEACHMI.DXR,47,bitmap,,,
1,Internal,BEACHMI.DXR,48,bitmap,,,
1,Internal,BEACHMI.DXR,49,bitmap,,,
1,Internal,BEACHMI.DXR,50,filmLoop,sandLoop,,
1,Internal,BEACHMI.DXR,51,script,,,
1,Internal,BEACHMI.DXR,52,bitmap,,,
1,Internal,BEACHMI.DXR,53,bitmap,,,
1,Internal,BEACHMI.DXR,54,bitmap,,,
1,Internal,BEACHMI.DXR,55,bitmap,,,
1,Internal,BEACHMI.DXR,56,script,,,
1,Internal,BEACHMI.DXR,57,script,,,
1,Internal,BEACHMI.DXR,58,bitmap,,,
1,Internal,BEACHMI.DXR,59,bitmap,,,
1,Internal,BEACHMI.DXR,60,bitmap,,,
1,Internal,BEACHMI.DXR,61,script,,,
1,Internal,BEACHMI.DXR,62,script,,,
1,Internal,BEACHMI.DXR,63,bitmap,,,
1,Internal,BEACHMI.DXR,64,bitmap,,,
1,Internal,BEACHMI.DXR,65,bitmap,,,
1,Internal,BEACHMI.DXR,66,bitmap,,,
1,Internal,BEACHMI.DXR,67,bitmap,,,
1,Internal,BEACHMI.DXR,68,bitmap,,,
1,Internal,BEACHMI.DXR,69,bitmap,,,
1,Internal,BEACHMI.DXR,70,bitmap,,,
1,Internal,BEACHMI.DXR,71,bitmap,,,
1,Internal,BEACHMI.DXR,72,bitmap,,,
