CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,BARA.DXR,1,bitmap,,,
1,Internal,BARA.DXR,2,bitmap,,,
1,Internal,BARA.DXR,3,filmLoop,ponsLoop,,
1,Internal,BARA.DXR,4,bitmap,,,
1,Internal,BARA.DXR,5,bitmap,,,
1,Internal,BARA.DXR,6,bitmap,,,
1,Internal,BARA.DXR,7,bitmap,,,
1,Internal,BARA.DXR,8,bitmap,,,
1,Internal,BARA.DXR,9,bitmap,,,
1,Internal,BARA.DXR,10,script,,,
1,Internal,BARA.DXR,11,filmLoop,pon(sara)moku.pics,,
1,Internal,BARA.DXR,12,bitmap,,,
1,Internal,BARA.DXR,13,bitmap,,,
1,Internal,BARA.DXR,14,bitmap,,,
1,Internal,BARA.DXR,15,bitmap,,,
1,Internal,BARA.DXR,16,bitmap,,,
1,Internal,BARA.DXR,17,bitmap,,,
1,Internal,BARA.DXR,18,bitmap,,,
1,Internal,BARA.DXR,19,bitmap,,,
1,Internal,BARA.DXR,20,bitmap,,,
1,Internal,BARA.DXR,21,bitmap,,,
1,Internal,BARA.DXR,22,bitmap,,,
1,Internal,BARA.DXR,23,bitmap,,,
1,Internal,BARA.DXR,24,bitmap,,,
1,Internal,BARA.DXR,25,bitmap,,,
1,Internal,BARA.DXR,26,bitmap,,,
1,Internal,BARA.DXR,27,bitmap,,,
1,Internal,BARA.DXR,28,filmLoop,mokuLoop,,
1,Internal,BARA.DXR,29,bitmap,,,
1,Internal,BARA.DXR,30,bitmap,,,
1,Internal,BARA.DXR,31,bitmap,,,
1,Internal,BARA.DXR,32,bitmap,,,
1,Internal,BARA.DXR,33,bitmap,,,
1,Internal,BARA.DXR,34,filmLoop,wave,,
1,Internal,BARA.DXR,35,script,,,
1,Internal,BARA.DXR,36,script,,,
1,Internal,BARA.DXR,37,bitmap,,,
1,Internal,BARA.DXR,38,bitmap,,,
1,Internal,BARA.DXR,39,bitmap,,,
1,Internal,BARA.DXR,40,bitmap,,,
1,Internal,BARA.DXR,41,bitmap,,,
1,Internal,BARA.DXR,42,bitmap,,,
1,Internal,BARA.DXR,43,filmLoop,woSPK,,
1,Internal,BARA.DXR,44,bitmap,,,
1,Internal,BARA.DXR,45,filmLoop,hasuLoop,,
