CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,CINE.DXR,1,bitmap,,,
1,Internal,CINE.DXR,2,bitmap,,,
1,Internal,CINE.DXR,3,bitmap,,,
1,Internal,CINE.DXR,4,bitmap,,,
1,Internal,CINE.DXR,5,bitmap,,,
1,Internal,CINE.DXR,6,bitmap,,,
1,Internal,CINE.DXR,7,filmLoop,walk.pics,,
1,Internal,CINE.DXR,8,bitmap,,,
1,Internal,CINE.DXR,9,bitmap,,,
1,Internal,CINE.DXR,10,bitmap,,,
1,Internal,CINE.DXR,11,bitmap,,,
1,Internal,CINE.DXR,12,bitmap,,,
1,Internal,CINE.DXR,13,bitmap,,,
1,Internal,CINE.DXR,14,bitmap,,,
1,Internal,CINE.DXR,15,bitmap,,,
1,Internal,CINE.DXR,16,bitmap,,,
1,Internal,CINE.DXR,17,bitmap,,,
1,Internal,CINE.DXR,18,bitmap,,,
1,Internal,CINE.DXR,19,bitmap,,,
1,Internal,CINE.DXR,20,bitmap,,,
1,Internal,CINE.DXR,21,bitmap,,,
1,Internal,CINE.DXR,22,bitmap,,,
1,Internal,CINE.DXR,23,bitmap,,,
1,Internal,CINE.DXR,24,bitmap,,,
1,Internal,CINE.DXR,25,bitmap,,,
1,Internal,CINE.DXR,26,bitmap,,,
1,Internal,CINE.DXR,27,bitmap,,,
1,Internal,CINE.DXR,28,bitmap,,,
1,Internal,CINE.DXR,29,bitmap,,,
1,Internal,CINE.DXR,30,bitmap,,,
1,Internal,CINE.DXR,31,bitmap,,,
1,Internal,CINE.DXR,32,bitmap,,,
1,Internal,CINE.DXR,33,bitmap,,,
1,Internal,CINE.DXR,34,bitmap,,,
1,Internal,CINE.DXR,35,bitmap,,,
1,Internal,CINE.DXR,36,bitmap,,,
1,Internal,CINE.DXR,37,bitmap,,,
1,Internal,CINE.DXR,38,bitmap,,,
1,Internal,CINE.DXR,39,bitmap,,,
1,Internal,CINE.DXR,40,bitmap,,,
1,Internal,CINE.DXR,41,bitmap,,,
1,Internal,CINE.DXR,42,bitmap,,,
1,Internal,CINE.DXR,43,bitmap,,,
1,Internal,CINE.DXR,44,bitmap,,,
1,Internal,CINE.DXR,45,bitmap,,,
1,Internal,CINE.DXR,46,bitmap,,,
1,Internal,CINE.DXR,47,bitmap,,,
1,Internal,CINE.DXR,48,bitmap,,,
1,Internal,CINE.DXR,49,bitmap,,,
1,Internal,CINE.DXR,50,bitmap,,,
1,Internal,CINE.DXR,51,bitmap,,,
1,Internal,CINE.DXR,52,bitmap,,,
1,Internal,CINE.DXR,53,bitmap,,,
1,Internal,CINE.DXR,54,bitmap,,,
1,Internal,CINE.DXR,55,bitmap,,,
1,Internal,CINE.DXR,56,bitmap,,,
1,Internal,CINE.DXR,57,bitmap,,,
