CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,PREASIA.DXR,1,bitmap,,,
1,Internal,PREASIA.DXR,2,bitmap,,,
1,Internal,PREASIA.DXR,3,bitmap,,,
1,Internal,PREASIA.DXR,4,bitmap,,,
1,Internal,PREASIA.DXR,5,bitmap,,,
1,Internal,PREASIA.DXR,6,bitmap,,,
1,Internal,PREASIA.DXR,7,bitmap,,,
1,Internal,PREASIA.DXR,8,bitmap,,,
1,Internal,PREASIA.DXR,9,bitmap,,,
1,Internal,PREASIA.DXR,10,bitmap,,,
1,Internal,PREASIA.DXR,11,bitmap,,,
1,Internal,PREASIA.DXR,12,bitmap,,,
1,Internal,PREASIA.DXR,13,bitmap,,,
1,Internal,PREASIA.DXR,14,bitmap,,,
1,Internal,PREASIA.DXR,15,bitmap,,,
1,Internal,PREASIA.DXR,16,bitmap,,,
1,Internal,PREASIA.DXR,17,bitmap,,,
1,Internal,PREASIA.DXR,18,bitmap,,,
1,Internal,PREASIA.DXR,19,bitmap,,,
1,Internal,PREASIA.DXR,20,bitmap,,,
1,Internal,PREASIA.DXR,21,bitmap,,,
1,Internal,PREASIA.DXR,22,transition,,,
1,Internal,PREASIA.DXR,23,bitmap,,,
1,Internal,PREASIA.DXR,24,bitmap,,,
1,Internal,PREASIA.DXR,25,bitmap,,,
1,Internal,PREASIA.DXR,26,bitmap,,,
1,Internal,PREASIA.DXR,27,bitmap,,,
1,Internal,PREASIA.DXR,28,bitmap,,,
1,Internal,PREASIA.DXR,29,bitmap,,,
1,Internal,PREASIA.DXR,30,bitmap,,,
1,Internal,PREASIA.DXR,31,bitmap,,,
1,Internal,PREASIA.DXR,32,script,,,
1,Internal,PREASIA.DXR,33,script,,,
1,Internal,PREASIA.DXR,34,script,,,
1,Internal,PREASIA.DXR,35,script,,,
1,Internal,PREASIA.DXR,36,script,,,
1,Internal,PREASIA.DXR,37,script,,,
1,Internal,PREASIA.DXR,38,script,,,
1,Internal,PREASIA.DXR,39,script,,,
1,Internal,PREASIA.DXR,40,script,,,
1,Internal,PREASIA.DXR,41,script,,,
1,Internal,PREASIA.DXR,42,script,,,
1,Internal,PREASIA.DXR,43,script,,,
1,Internal,PREASIA.DXR,44,script,,,
1,Internal,PREASIA.DXR,45,script,,,
1,Internal,PREASIA.DXR,46,script,,,
1,Internal,PREASIA.DXR,47,script,,,
1,Internal,PREASIA.DXR,48,script,,,
1,Internal,PREASIA.DXR,49,script,,,
1,Internal,PREASIA.DXR,50,bitmap,MBana,,
1,Internal,PREASIA.DXR,51,bitmap,MBu,,
1,Internal,PREASIA.DXR,52,bitmap,PreASIA.DIR,,
1,Internal,PREASIA.DXR,53,script,,,
1,Internal,PREASIA.DXR,54,script,,,
1,Internal,PREASIA.DXR,55,script,,,
1,Internal,PREASIA.DXR,56,script,,,
1,Internal,PREASIA.DXR,57,script,,,
2,Shared.Cst,Shared.cxt,1,script,soundfadeout 2,,
2,Shared.Cst,Shared.cxt,2,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,3,script,mouseDown«ºlstB«˜,,
2,Shared.Cst,Shared.cxt,4,script,ShipGo«ÖÈg«ß,,
2,Shared.Cst,Shared.cxt,5,script,mouseDown«ºgWentLstC(MapM),,
2,Shared.Cst,Shared.cxt,6,script,ShipGo«ÖÈg«ß2,,
2,Shared.Cst,Shared.cxt,7,script,ShipGo«Ö«¨«©«ß3,,
2,Shared.Cst,Shared.cxt,8,script,goMovieD,,
2,Shared.Cst,Shared.cxt,9,script,,,
2,Shared.Cst,Shared.cxt,10,script,ShipGo«ÖÈg«ß4,,
2,Shared.Cst,Shared.cxt,11,script,gWentLstE«ÖÑÉ«ë,,
2,Shared.Cst,Shared.cxt,12,script,exitFrame«ºgoMovieB,,
2,Shared.Cst,Shared.cxt,13,script,ShipGo«º«¨«©«ß5,,
2,Shared.Cst,Shared.cxt,14,script,,,
2,Shared.Cst,Shared.cxt,15,script,,,
2,Shared.Cst,Shared.cxt,16,script,,,
