CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,FIGHTING.DXR,1,transition,,,
1,Internal,FIGHTING.DXR,2,filmLoop,manSpk,,
1,Internal,FIGHTING.DXR,3,bitmap,,,
1,Internal,FIGHTING.DXR,4,bitmap,,,
1,Internal,FIGHTING.DXR,5,bitmap,,,
1,Internal,FIGHTING.DXR,6,bitmap,,,
1,Internal,FIGHTING.DXR,7,bitmap,,,
1,Internal,FIGHTING.DXR,8,bitmap,,,
1,Internal,FIGHTING.DXR,9,script,,,
1,Internal,FIGHTING.DXR,10,script,,,
1,Internal,FIGHTING.DXR,11,filmLoop,buGlove.pics.00009,,
1,Internal,FIGHTING.DXR,12,filmLoop,buWalkB.pics,,
1,Internal,FIGHTING.DXR,13,bitmap,,,
1,Internal,FIGHTING.DXR,14,bitmap,,,
1,Internal,FIGHTING.DXR,15,bitmap,,,
1,Internal,FIGHTING.DXR,16,bitmap,,,
1,Internal,FIGHTING.DXR,17,bitmap,,,
1,Internal,FIGHTING.DXR,18,bitmap,,,
1,Internal,FIGHTING.DXR,19,bitmap,,,
1,Internal,FIGHTING.DXR,20,filmLoop,buWalkB2,,
1,Internal,FIGHTING.DXR,21,bitmap,,,
1,Internal,FIGHTING.DXR,22,filmLoop,BuStil,,
1,Internal,FIGHTING.DXR,23,bitmap,,,
1,Internal,FIGHTING.DXR,24,bitmap,,,
1,Internal,FIGHTING.DXR,25,bitmap,,,
1,Internal,FIGHTING.DXR,26,bitmap,,,
1,Internal,FIGHTING.DXR,27,bitmap,,,
1,Internal,FIGHTING.DXR,28,bitmap,,,
1,Internal,FIGHTING.DXR,29,filmLoop,BuGrd,,
1,Internal,FIGHTING.DXR,30,bitmap,,,
1,Internal,FIGHTING.DXR,31,bitmap,,,
1,Internal,FIGHTING.DXR,32,bitmap,,,
1,Internal,FIGHTING.DXR,33,bitmap,,,
1,Internal,FIGHTING.DXR,34,bitmap,,,
1,Internal,FIGHTING.DXR,35,bitmap,,,
1,Internal,FIGHTING.DXR,36,filmLoop,BuPnch,,
1,Internal,FIGHTING.DXR,37,bitmap,,,
1,Internal,FIGHTING.DXR,38,bitmap,,,
1,Internal,FIGHTING.DXR,39,bitmap,,,
1,Internal,FIGHTING.DXR,40,bitmap,,,
1,Internal,FIGHTING.DXR,41,bitmap,,,
1,Internal,FIGHTING.DXR,42,bitmap,,,
1,Internal,FIGHTING.DXR,43,filmLoop,BuKick,,
1,Internal,FIGHTING.DXR,44,bitmap,,,
1,Internal,FIGHTING.DXR,45,bitmap,,,
1,Internal,FIGHTING.DXR,46,bitmap,,,
1,Internal,FIGHTING.DXR,47,bitmap,,,
1,Internal,FIGHTING.DXR,48,bitmap,,,
1,Internal,FIGHTING.DXR,49,bitmap,,,
1,Internal,FIGHTING.DXR,50,filmLoop,BuLose,,
1,Internal,FIGHTING.DXR,51,bitmap,,,
1,Internal,FIGHTING.DXR,52,bitmap,,,
1,Internal,FIGHTING.DXR,53,bitmap,,,
1,Internal,FIGHTING.DXR,54,bitmap,,,
1,Internal,FIGHTING.DXR,55,bitmap,,,
1,Internal,FIGHTING.DXR,56,bitmap,,,
1,Internal,FIGHTING.DXR,57,filmLoop,BuFightEnd.pics,,
1,Internal,FIGHTING.DXR,58,bitmap,,,
1,Internal,FIGHTING.DXR,59,bitmap,,,
1,Internal,FIGHTING.DXR,60,bitmap,,,
1,Internal,FIGHTING.DXR,61,bitmap,,,
1,Internal,FIGHTING.DXR,62,bitmap,,,
1,Internal,FIGHTING.DXR,63,bitmap,,,
1,Internal,FIGHTING.DXR,64,bitmap,,,
1,Internal,FIGHTING.DXR,65,bitmap,,,
1,Internal,FIGHTING.DXR,66,bitmap,,,
1,Internal,FIGHTING.DXR,67,bitmap,,,
1,Internal,FIGHTING.DXR,68,bitmap,,,
1,Internal,FIGHTING.DXR,69,bitmap,,,
1,Internal,FIGHTING.DXR,70,bitmap,,,
1,Internal,FIGHTING.DXR,71,bitmap,,,
1,Internal,FIGHTING.DXR,72,bitmap,,,
1,Internal,FIGHTING.DXR,73,bitmap,,,
1,Internal,FIGHTING.DXR,74,bitmap,,,
1,Internal,FIGHTING.DXR,75,bitmap,,,
1,Internal,FIGHTING.DXR,76,filmLoop,MuStil,,
1,Internal,FIGHTING.DXR,77,bitmap,,,
1,Internal,FIGHTING.DXR,78,bitmap,,,
1,Internal,FIGHTING.DXR,79,bitmap,,,
1,Internal,FIGHTING.DXR,80,bitmap,,,
1,Internal,FIGHTING.DXR,81,bitmap,,,
1,Internal,FIGHTING.DXR,82,bitmap,,,
1,Internal,FIGHTING.DXR,83,filmLoop,MuPnch,,
1,Internal,FIGHTING.DXR,84,bitmap,,,
1,Internal,FIGHTING.DXR,85,bitmap,,,
1,Internal,FIGHTING.DXR,86,bitmap,,,
1,Internal,FIGHTING.DXR,87,bitmap,,,
