CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,CLUB.DXR,1,bitmap,,,
1,Internal,CLUB.DXR,2,filmLoop,DJ,,
1,Internal,CLUB.DXR,3,bitmap,,,
1,Internal,CLUB.DXR,4,bitmap,,,
1,Internal,CLUB.DXR,5,bitmap,,,
1,Internal,CLUB.DXR,6,bitmap,,,
1,Internal,CLUB.DXR,7,bitmap,,,
1,Internal,CLUB.DXR,8,bitmap,,,
1,Internal,CLUB.DXR,9,bitmap,,,
1,Internal,CLUB.DXR,10,bitmap,,,
1,Internal,CLUB.DXR,11,bitmap,,,
1,Internal,CLUB.DXR,12,bitmap,,,
1,Internal,CLUB.DXR,13,filmLoop,dancer01,,
1,Internal,CLUB.DXR,14,bitmap,,,
1,Internal,CLUB.DXR,15,bitmap,,,
1,Internal,CLUB.DXR,16,bitmap,,,
1,Internal,CLUB.DXR,17,bitmap,,,
1,Internal,CLUB.DXR,18,bitmap,,,
1,Internal,CLUB.DXR,19,bitmap,,,
1,Internal,CLUB.DXR,20,bitmap,,,
1,Internal,CLUB.DXR,21,bitmap,,,
1,Internal,CLUB.DXR,22,bitmap,,,
1,Internal,CLUB.DXR,23,bitmap,,,
1,Internal,CLUB.DXR,24,bitmap,,,
1,Internal,CLUB.DXR,25,bitmap,,,
1,Internal,CLUB.DXR,26,bitmap,,,
1,Internal,CLUB.DXR,27,bitmap,,,
1,Internal,CLUB.DXR,28,bitmap,,,
1,Internal,CLUB.DXR,29,bitmap,,,
1,Internal,CLUB.DXR,30,bitmap,,,
1,Internal,CLUB.DXR,31,bitmap,,,
1,Internal,CLUB.DXR,32,bitmap,,,
1,Internal,CLUB.DXR,33,filmLoop,dancer02,,
1,Internal,CLUB.DXR,34,bitmap,,,
1,Internal,CLUB.DXR,35,bitmap,,,
1,Internal,CLUB.DXR,36,bitmap,,,
1,Internal,CLUB.DXR,37,bitmap,,,
1,Internal,CLUB.DXR,38,bitmap,,,
1,Internal,CLUB.DXR,39,bitmap,,,
1,Internal,CLUB.DXR,40,bitmap,,,
1,Internal,CLUB.DXR,41,bitmap,,,
1,Internal,CLUB.DXR,42,bitmap,,,
1,Internal,CLUB.DXR,43,bitmap,,,
1,Internal,CLUB.DXR,44,bitmap,,,
1,Internal,CLUB.DXR,45,bitmap,,,
1,Internal,CLUB.DXR,46,bitmap,,,
1,Internal,CLUB.DXR,47,bitmap,,,
1,Internal,CLUB.DXR,48,bitmap,,,
1,Internal,CLUB.DXR,49,bitmap,,,
1,Internal,CLUB.DXR,50,bitmap,,,
1,Internal,CLUB.DXR,51,bitmap,,,
1,Internal,CLUB.DXR,52,bitmap,,,
1,Internal,CLUB.DXR,53,bitmap,,,
1,Internal,CLUB.DXR,54,bitmap,,,
1,Internal,CLUB.DXR,55,bitmap,,,
1,Internal,CLUB.DXR,56,bitmap,,,
1,Internal,CLUB.DXR,57,filmLoop,dancer03,,
1,Internal,CLUB.DXR,58,bitmap,,,
1,Internal,CLUB.DXR,59,bitmap,,,
1,Internal,CLUB.DXR,60,bitmap,,,
1,Internal,CLUB.DXR,61,bitmap,,,
1,Internal,CLUB.DXR,62,bitmap,,,
1,Internal,CLUB.DXR,63,bitmap,,,
1,Internal,CLUB.DXR,64,bitmap,,,
1,Internal,CLUB.DXR,65,bitmap,,,
1,Internal,CLUB.DXR,66,bitmap,,,
1,Internal,CLUB.DXR,67,bitmap,,,
1,Internal,CLUB.DXR,68,bitmap,,,
1,Internal,CLUB.DXR,69,bitmap,,,
1,Internal,CLUB.DXR,70,bitmap,,,
1,Internal,CLUB.DXR,71,bitmap,,,
1,Internal,CLUB.DXR,72,bitmap,,,
1,Internal,CLUB.DXR,73,bitmap,,,
1,Internal,CLUB.DXR,74,bitmap,,,
1,Internal,CLUB.DXR,75,bitmap,,,
1,Internal,CLUB.DXR,76,bitmap,,,
1,Internal,CLUB.DXR,77,bitmap,,,
1,Internal,CLUB.DXR,78,bitmap,,,
1,Internal,CLUB.DXR,79,bitmap,,,
1,Internal,CLUB.DXR,80,bitmap,,,
1,Internal,CLUB.DXR,81,filmLoop,„q,,
1,Internal,CLUB.DXR,82,bitmap,,,
1,Internal,CLUB.DXR,83,bitmap,,,
1,Internal,CLUB.DXR,84,bitmap,,,
1,Internal,CLUB.DXR,85,bitmap,,,
1,Internal,CLUB.DXR,86,bitmap,,,
1,Internal,CLUB.DXR,87,bitmap,,,
1,Internal,CLUB.DXR,88,bitmap,,,
1,Internal,CLUB.DXR,89,bitmap,,,
1,Internal,CLUB.DXR,90,bitmap,,,
1,Internal,CLUB.DXR,91,bitmap,,,
1,Internal,CLUB.DXR,92,bitmap,,,
1,Internal,CLUB.DXR,93,bitmap,,,
1,Internal,CLUB.DXR,94,bitmap,,,
1,Internal,CLUB.DXR,95,bitmap,,,
1,Internal,CLUB.DXR,96,bitmap,,,
1,Internal,CLUB.DXR,97,bitmap,,,
1,Internal,CLUB.DXR,98,bitmap,,,
1,Internal,CLUB.DXR,99,bitmap,,,
1,Internal,CLUB.DXR,100,bitmap,,,
1,Internal,CLUB.DXR,101,bitmap,,,
1,Internal,CLUB.DXR,102,bitmap,,,
1,Internal,CLUB.DXR,103,bitmap,,,
1,Internal,CLUB.DXR,104,bitmap,,,
1,Internal,CLUB.DXR,105,bitmap,,,
1,Internal,CLUB.DXR,106,filmLoop,„qspk01,,
