CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,BERLIN.DXR,1,bitmap,,,
1,Internal,BERLIN.DXR,3,script,,,
1,Internal,BERLIN.DXR,4,script,,,
1,Internal,BERLIN.DXR,5,script,,,
1,Internal,BERLIN.DXR,6,script,,,
1,Internal,BERLIN.DXR,7,script,,,
1,Internal,BERLIN.DXR,8,script,,,
1,Internal,BERLIN.DXR,9,script,,,
1,Internal,BERLIN.DXR,10,transition,,,
1,Internal,BERLIN.DXR,11,sound,‰X«√ÔÛÂi≈iÈëÌ†«À«√Î˝«¢Ï˛2≈j,,
1,Internal,BERLIN.DXR,12,bitmap,,,
1,Internal,BERLIN.DXR,13,script,,,
1,Internal,BERLIN.DXR,14,sound,Sound 14,,
1,Internal,BERLIN.DXR,29,script,dly60,,
1,Internal,BERLIN.DXR,30,script,,,
1,Internal,BERLIN.DXR,31,script,,,
2,Shared.Cst,Shared.cxt,1,script,soundfadeout 2,,
2,Shared.Cst,Shared.cxt,2,script,soundfadeIn 2,,
2,Shared.Cst,Shared.cxt,3,script,mouseDown«ºlstB«˜,,
2,Shared.Cst,Shared.cxt,4,script,ShipGo«ÖÈg«ß,,
2,Shared.Cst,Shared.cxt,5,script,mouseDown«ºgWentLstC(MapM),,
2,Shared.Cst,Shared.cxt,6,script,ShipGo«ÖÈg«ß2,,
2,Shared.Cst,Shared.cxt,7,script,ShipGo«Ö«¨«©«ß3,,
2,Shared.Cst,Shared.cxt,8,script,goMovieD,,
2,Shared.Cst,Shared.cxt,9,script,,,
2,Shared.Cst,Shared.cxt,10,script,ShipGo«ÖÈg«ß4,,
2,Shared.Cst,Shared.cxt,11,script,gWentLstE«ÖÑÉ«ë,,
2,Shared.Cst,Shared.cxt,12,script,exitFrame«ºgoMovieB,,
2,Shared.Cst,Shared.cxt,13,script,ShipGo«º«¨«©«ß5,,
2,Shared.Cst,Shared.cxt,14,script,,,
2,Shared.Cst,Shared.cxt,15,script,,,
2,Shared.Cst,Shared.cxt,16,script,,,
2,Shared.Cst,Shared.cxt,17,script,ÓÉÛpTengIn2«ÖÒÅ«»(Í€«¢),,
2,Shared.Cst,Shared.cxt,18,field,SaveText,,
2,Shared.Cst,Shared.cxt,19,transition,,,
2,Shared.Cst,Shared.cxt,20,script,soundfadeIn 2,,
