CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,CASTLE.DXR,1,bitmap,,,
1,Internal,CASTLE.DXR,2,bitmap,,,
1,Internal,CASTLE.DXR,3,bitmap,,,
1,Internal,CASTLE.DXR,4,script,,,
1,Internal,CASTLE.DXR,5,bitmap,,,
1,Internal,CASTLE.DXR,6,bitmap,,,
1,Internal,CASTLE.DXR,7,bitmap,,,
1,Internal,CASTLE.DXR,8,bitmap,,,
1,Internal,CASTLE.DXR,9,bitmap,,,
1,Internal,CASTLE.DXR,10,bitmap,,,
1,Internal,CASTLE.DXR,11,bitmap,,,
1,Internal,CASTLE.DXR,12,bitmap,,,
1,Internal,CASTLE.DXR,13,bitmap,,,
1,Internal,CASTLE.DXR,14,bitmap,,,
1,Internal,CASTLE.DXR,15,bitmap,,,
1,Internal,CASTLE.DXR,16,bitmap,,,
1,Internal,CASTLE.DXR,17,bitmap,,,
1,Internal,CASTLE.DXR,18,bitmap,,,
1,Internal,CASTLE.DXR,19,bitmap,,,
1,Internal,CASTLE.DXR,20,bitmap,,,
1,Internal,CASTLE.DXR,21,bitmap,,,
1,Internal,CASTLE.DXR,22,bitmap,,,
1,Internal,CASTLE.DXR,23,bitmap,,,
1,Internal,CASTLE.DXR,24,bitmap,,,
1,Internal,CASTLE.DXR,25,bitmap,,,
1,Internal,CASTLE.DXR,26,bitmap,,,
1,Internal,CASTLE.DXR,27,bitmap,,,
1,Internal,CASTLE.DXR,28,bitmap,,,
1,Internal,CASTLE.DXR,29,bitmap,,,
1,Internal,CASTLE.DXR,30,bitmap,,,
1,Internal,CASTLE.DXR,31,bitmap,,,
1,Internal,CASTLE.DXR,32,bitmap,,,
1,Internal,CASTLE.DXR,33,bitmap,,,
1,Internal,CASTLE.DXR,34,bitmap,,,
1,Internal,CASTLE.DXR,35,bitmap,,,
1,Internal,CASTLE.DXR,36,script,,,
1,Internal,CASTLE.DXR,37,bitmap,,,
1,Internal,CASTLE.DXR,38,bitmap,,,
1,Internal,CASTLE.DXR,39,bitmap,,,
1,Internal,CASTLE.DXR,40,bitmap,,,
1,Internal,CASTLE.DXR,41,bitmap,,,
1,Internal,CASTLE.DXR,42,bitmap,,,
1,Internal,CASTLE.DXR,43,bitmap,,,
1,Internal,CASTLE.DXR,44,bitmap,,,
1,Internal,CASTLE.DXR,45,bitmap,,,
1,Internal,CASTLE.DXR,46,bitmap,,,
1,Internal,CASTLE.DXR,47,bitmap,,,
1,Internal,CASTLE.DXR,48,bitmap,,,
1,Internal,CASTLE.DXR,49,bitmap,,,
1,Internal,CASTLE.DXR,50,bitmap,,,
1,Internal,CASTLE.DXR,51,bitmap,,,
1,Internal,CASTLE.DXR,52,filmLoop,play.01,,
1,Internal,CASTLE.DXR,53,bitmap,,,
1,Internal,CASTLE.DXR,54,bitmap,,,
1,Internal,CASTLE.DXR,55,bitmap,,,
1,Internal,CASTLE.DXR,56,bitmap,,,
1,Internal,CASTLE.DXR,57,bitmap,,,
1,Internal,CASTLE.DXR,58,bitmap,,,
1,Internal,CASTLE.DXR,59,bitmap,,,
1,Internal,CASTLE.DXR,60,bitmap,,,
1,Internal,CASTLE.DXR,61,bitmap,,,
1,Internal,CASTLE.DXR,62,bitmap,,,
1,Internal,CASTLE.DXR,63,bitmap,,,
1,Internal,CASTLE.DXR,64,bitmap,,,
1,Internal,CASTLE.DXR,65,bitmap,,,
1,Internal,CASTLE.DXR,66,bitmap,,,
