CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,BLUEGAME.DXR,1,script,,,
1,Internal,BLUEGAME.DXR,2,bitmap,,,
1,Internal,BLUEGAME.DXR,3,bitmap,,,
1,Internal,BLUEGAME.DXR,4,bitmap,,,
1,Internal,BLUEGAME.DXR,5,bitmap,,,
1,Internal,BLUEGAME.DXR,6,bitmap,,,
1,Internal,BLUEGAME.DXR,7,bitmap,,,
1,Internal,BLUEGAME.DXR,8,script,,,
1,Internal,BLUEGAME.DXR,9,script,,,
1,Internal,BLUEGAME.DXR,10,transition,,,
1,Internal,BLUEGAME.DXR,11,filmLoop,«ÆÔ€,,
1,Internal,BLUEGAME.DXR,12,bitmap,,,
1,Internal,BLUEGAME.DXR,13,bitmap,,,
1,Internal,BLUEGAME.DXR,14,bitmap,,,
1,Internal,BLUEGAME.DXR,15,bitmap,,,
1,Internal,BLUEGAME.DXR,16,bitmap,,,
1,Internal,BLUEGAME.DXR,17,bitmap,,,
1,Internal,BLUEGAME.DXR,18,bitmap,,,
1,Internal,BLUEGAME.DXR,19,bitmap,,,
1,Internal,BLUEGAME.DXR,20,bitmap,,,
1,Internal,BLUEGAME.DXR,21,bitmap,,,
1,Internal,BLUEGAME.DXR,22,bitmap,,,
1,Internal,BLUEGAME.DXR,23,bitmap,,,
1,Internal,BLUEGAME.DXR,24,bitmap,,,
1,Internal,BLUEGAME.DXR,25,bitmap,,,
1,Internal,BLUEGAME.DXR,26,bitmap,,,
1,Internal,BLUEGAME.DXR,27,bitmap,,,
1,Internal,BLUEGAME.DXR,28,bitmap,,,
1,Internal,BLUEGAME.DXR,29,bitmap,,,
1,Internal,BLUEGAME.DXR,30,bitmap,,,
1,Internal,BLUEGAME.DXR,31,bitmap,,,
1,Internal,BLUEGAME.DXR,32,bitmap,,,
1,Internal,BLUEGAME.DXR,33,bitmap,,,
1,Internal,BLUEGAME.DXR,34,bitmap,,,
1,Internal,BLUEGAME.DXR,35,bitmap,,,
1,Internal,BLUEGAME.DXR,36,bitmap,,,
1,Internal,BLUEGAME.DXR,37,bitmap,,,
1,Internal,BLUEGAME.DXR,38,bitmap,,,
1,Internal,BLUEGAME.DXR,39,bitmap,,,
1,Internal,BLUEGAME.DXR,40,bitmap,,,
1,Internal,BLUEGAME.DXR,41,bitmap,,,
1,Internal,BLUEGAME.DXR,42,bitmap,,,
1,Internal,BLUEGAME.DXR,43,bitmap,,,
1,Internal,BLUEGAME.DXR,44,bitmap,,,
1,Internal,BLUEGAME.DXR,45,bitmap,,,
1,Internal,BLUEGAME.DXR,46,bitmap,,,
1,Internal,BLUEGAME.DXR,47,bitmap,,,
1,Internal,BLUEGAME.DXR,48,bitmap,,,
1,Internal,BLUEGAME.DXR,49,bitmap,,,
1,Internal,BLUEGAME.DXR,50,bitmap,,,
1,Internal,BLUEGAME.DXR,51,bitmap,,,
1,Internal,BLUEGAME.DXR,52,bitmap,,,
1,Internal,BLUEGAME.DXR,53,bitmap,,,
1,Internal,BLUEGAME.DXR,54,bitmap,,,
1,Internal,BLUEGAME.DXR,55,script,,,
1,Internal,BLUEGAME.DXR,56,script,,,
1,Internal,BLUEGAME.DXR,57,filmLoop,Ô€‚“«»,,
1,Internal,BLUEGAME.DXR,58,bitmap,,,
1,Internal,BLUEGAME.DXR,59,bitmap,,,
1,Internal,BLUEGAME.DXR,60,bitmap,,,
1,Internal,BLUEGAME.DXR,61,bitmap,,,
1,Internal,BLUEGAME.DXR,62,bitmap,,,
1,Internal,BLUEGAME.DXR,63,bitmap,,,
1,Internal,BLUEGAME.DXR,64,bitmap,,,
1,Internal,BLUEGAME.DXR,65,bitmap,,,
1,Internal,BLUEGAME.DXR,66,bitmap,,,
1,Internal,BLUEGAME.DXR,67,bitmap,,,
1,Internal,BLUEGAME.DXR,68,bitmap,,,
1,Internal,BLUEGAME.DXR,69,bitmap,,,
1,Internal,BLUEGAME.DXR,70,bitmap,,,
1,Internal,BLUEGAME.DXR,71,bitmap,,,
1,Internal,BLUEGAME.DXR,72,bitmap,,,
1,Internal,BLUEGAME.DXR,73,bitmap,,,
1,Internal,BLUEGAME.DXR,74,bitmap,,,
1,Internal,BLUEGAME.DXR,75,bitmap,,,
1,Internal,BLUEGAME.DXR,76,bitmap,,,
1,Internal,BLUEGAME.DXR,77,bitmap,,,
1,Internal,BLUEGAME.DXR,78,bitmap,,,
1,Internal,BLUEGAME.DXR,79,bitmap,,,
1,Internal,BLUEGAME.DXR,80,bitmap,,,
1,Internal,BLUEGAME.DXR,81,bitmap,,,
1,Internal,BLUEGAME.DXR,82,bitmap,,,
1,Internal,BLUEGAME.DXR,83,bitmap,,,
1,Internal,BLUEGAME.DXR,84,bitmap,,,
1,Internal,BLUEGAME.DXR,85,bitmap,(Ï•ÂA.game)ending.flatt,,
1,Internal,BLUEGAME.DXR,86,script,,,
1,Internal,BLUEGAME.DXR,87,script,,,
1,Internal,BLUEGAME.DXR,88,script,,,
1,Internal,BLUEGAME.DXR,89,script,,,
1,Internal,BLUEGAME.DXR,90,script,,,
1,Internal,BLUEGAME.DXR,91,script,,,
1,Internal,BLUEGAME.DXR,92,script,,,
1,Internal,BLUEGAME.DXR,93,script,,,
1,Internal,BLUEGAME.DXR,94,script,,,
1,Internal,BLUEGAME.DXR,95,script,,,
1,Internal,BLUEGAME.DXR,96,script,,,
1,Internal,BLUEGAME.DXR,97,script,,,
1,Internal,BLUEGAME.DXR,98,script,,,
1,Internal,BLUEGAME.DXR,99,script,,,
1,Internal,BLUEGAME.DXR,100,script,,,
1,Internal,BLUEGAME.DXR,101,script,,,
1,Internal,BLUEGAME.DXR,102,script,,,
1,Internal,BLUEGAME.DXR,103,script,,,
1,Internal,BLUEGAME.DXR,104,script,,,
1,Internal,BLUEGAME.DXR,105,script,,,
1,Internal,BLUEGAME.DXR,106,script,,,
1,Internal,BLUEGAME.DXR,107,script,,,
1,Internal,BLUEGAME.DXR,108,script,,,
1,Internal,BLUEGAME.DXR,109,script,,,
1,Internal,BLUEGAME.DXR,110,script,,,
1,Internal,BLUEGAME.DXR,111,script,,,
1,Internal,BLUEGAME.DXR,112,script,,,
1,Internal,BLUEGAME.DXR,113,script,,,
1,Internal,BLUEGAME.DXR,114,script,,,
1,Internal,BLUEGAME.DXR,115,script,,,
1,Internal,BLUEGAME.DXR,116,script,,,
1,Internal,BLUEGAME.DXR,117,script,,,
1,Internal,BLUEGAME.DXR,118,script,,,
1,Internal,BLUEGAME.DXR,119,script,,,
1,Internal,BLUEGAME.DXR,120,script,,,
1,Internal,BLUEGAME.DXR,121,script,,,
1,Internal,BLUEGAME.DXR,122,script,,,
1,Internal,BLUEGAME.DXR,123,script,,,
1,Internal,BLUEGAME.DXR,124,script,,,
1,Internal,BLUEGAME.DXR,125,script,,,
1,Internal,BLUEGAME.DXR,126,script,,,
1,Internal,BLUEGAME.DXR,127,script,,,
1,Internal,BLUEGAME.DXR,128,script,,,
1,Internal,BLUEGAME.DXR,129,script,,,
1,Internal,BLUEGAME.DXR,130,script,,,
1,Internal,BLUEGAME.DXR,131,script,,,
1,Internal,BLUEGAME.DXR,132,script,,,
1,Internal,BLUEGAME.DXR,133,script,,,
1,Internal,BLUEGAME.DXR,134,script,,,
1,Internal,BLUEGAME.DXR,135,script,,,
1,Internal,BLUEGAME.DXR,136,script,,,
1,Internal,BLUEGAME.DXR,137,script,,,
1,Internal,BLUEGAME.DXR,138,script,,,
1,Internal,BLUEGAME.DXR,139,script,,,
1,Internal,BLUEGAME.DXR,140,script,,,
1,Internal,BLUEGAME.DXR,141,script,,,
1,Internal,BLUEGAME.DXR,142,script,,,
1,Internal,BLUEGAME.DXR,143,script,,,
1,Internal,BLUEGAME.DXR,144,script,,,
1,Internal,BLUEGAME.DXR,145,script,,,
1,Internal,BLUEGAME.DXR,146,script,,,
1,Internal,BLUEGAME.DXR,147,script,,,
1,Internal,BLUEGAME.DXR,148,script,,,
1,Internal,BLUEGAME.DXR,149,script,,,
1,Internal,BLUEGAME.DXR,150,script,,,
1,Internal,BLUEGAME.DXR,151,script,,,
1,Internal,BLUEGAME.DXR,152,script,,,
1,Internal,BLUEGAME.DXR,153,script,,,
1,Internal,BLUEGAME.DXR,154,script,,,
1,Internal,BLUEGAME.DXR,155,script,,,
1,Internal,BLUEGAME.DXR,156,script,,,
1,Internal,BLUEGAME.DXR,157,script,,,
1,Internal,BLUEGAME.DXR,158,sound,130B_1.AIF,,
1,Internal,BLUEGAME.DXR,159,script,,,
1,Internal,BLUEGAME.DXR,160,sound,158,,
1,Internal,BLUEGAME.DXR,161,sound,302,,
1,Internal,BLUEGAME.DXR,162,script,,,
1,Internal,BLUEGAME.DXR,163,bitmap,,,
1,Internal,BLUEGAME.DXR,164,sound,Sound 164,,
1,Internal,BLUEGAME.DXR,165,script,,,
1,Internal,BLUEGAME.DXR,166,script,,,
1,Internal,BLUEGAME.DXR,167,script,,,
1,Internal,BLUEGAME.DXR,168,script,,,
1,Internal,BLUEGAME.DXR,169,script,,,
1,Internal,BLUEGAME.DXR,170,script,,,
1,Internal,BLUEGAME.DXR,171,script,,,
1,Internal,BLUEGAME.DXR,172,script,,,
1,Internal,BLUEGAME.DXR,173,script,,,
2,Pon.Cst,Pon.cxt,1,script,,,
2,Pon.Cst,Pon.cxt,2,bitmap,,,
2,Pon.Cst,Pon.cxt,3,bitmap,,,
2,Pon.Cst,Pon.cxt,4,bitmap,,,
2,Pon.Cst,Pon.cxt,5,bitmap,,,
2,Pon.Cst,Pon.cxt,6,bitmap,,,
2,Pon.Cst,Pon.cxt,7,bitmap,,,
2,Pon.Cst,Pon.cxt,8,bitmap,,,
2,Pon.Cst,Pon.cxt,9,bitmap,,,
2,Pon.Cst,Pon.cxt,10,bitmap,,,
2,Pon.Cst,Pon.cxt,11,filmLoop,PonRunF,,
2,Pon.Cst,Pon.cxt,12,bitmap,,,
2,Pon.Cst,Pon.cxt,13,bitmap,,,
2,Pon.Cst,Pon.cxt,14,bitmap,ponStopB,,
2,Pon.Cst,Pon.cxt,15,bitmap,,,
2,Pon.Cst,Pon.cxt,16,bitmap,,,
2,Pon.Cst,Pon.cxt,17,bitmap,,,
2,Pon.Cst,Pon.cxt,18,bitmap,,,
2,Pon.Cst,Pon.cxt,19,bitmap,,,
2,Pon.Cst,Pon.cxt,20,bitmap,,,
2,Pon.Cst,Pon.cxt,21,filmLoop,PonRunB,,
2,Pon.Cst,Pon.cxt,22,bitmap,,,
2,Pon.Cst,Pon.cxt,23,bitmap,,,
2,Pon.Cst,Pon.cxt,24,bitmap,,,
2,Pon.Cst,Pon.cxt,25,bitmap,,,
2,Pon.Cst,Pon.cxt,26,bitmap,,,
2,Pon.Cst,Pon.cxt,27,bitmap,,,
2,Pon.Cst,Pon.cxt,28,bitmap,,,
2,Pon.Cst,Pon.cxt,29,bitmap,,,
2,Pon.Cst,Pon.cxt,30,bitmap,,,
2,Pon.Cst,Pon.cxt,31,filmLoop,PonRunL,,
2,Pon.Cst,Pon.cxt,32,filmLoop,PonRunR,,
2,Pon.Cst,Pon.cxt,33,bitmap,,,
2,Pon.Cst,Pon.cxt,34,bitmap,,,
2,Pon.Cst,Pon.cxt,35,bitmap,,,
2,Pon.Cst,Pon.cxt,36,bitmap,PonL,,
2,Pon.Cst,Pon.cxt,37,bitmap,,,
2,Pon.Cst,Pon.cxt,38,bitmap,,,
2,Pon.Cst,Pon.cxt,39,bitmap,,,
2,Pon.Cst,Pon.cxt,40,bitmap,,,
2,Pon.Cst,Pon.cxt,41,bitmap,,,
2,Pon.Cst,Pon.cxt,42,bitmap,,,
2,Pon.Cst,Pon.cxt,43,bitmap,,,
2,Pon.Cst,Pon.cxt,44,bitmap,,,
2,Pon.Cst,Pon.cxt,45,bitmap,,,
2,Pon.Cst,Pon.cxt,46,bitmap,,,
2,Pon.Cst,Pon.cxt,47,bitmap,,,
2,Pon.Cst,Pon.cxt,48,bitmap,,,
2,Pon.Cst,Pon.cxt,49,bitmap,,,
2,Pon.Cst,Pon.cxt,50,filmLoop,PonTalkR,,
2,Pon.Cst,Pon.cxt,51,bitmap,,,
2,Pon.Cst,Pon.cxt,52,bitmap,,,
2,Pon.Cst,Pon.cxt,53,bitmap,,,
2,Pon.Cst,Pon.cxt,54,bitmap,,,
2,Pon.Cst,Pon.cxt,55,bitmap,,,
2,Pon.Cst,Pon.cxt,56,bitmap,,,
2,Pon.Cst,Pon.cxt,57,bitmap,,,
2,Pon.Cst,Pon.cxt,58,bitmap,,,
2,Pon.Cst,Pon.cxt,59,filmLoop,PonTalkL,,
2,Pon.Cst,Pon.cxt,60,bitmap,PonStopL,,
2,Pon.Cst,Pon.cxt,61,bitmap,PonStopR,,
2,Pon.Cst,Pon.cxt,62,bitmap,PonStopRR,,
2,Pon.Cst,Pon.cxt,63,bitmap,,,
2,Pon.Cst,Pon.cxt,64,bitmap,,,
2,Pon.Cst,Pon.cxt,65,bitmap,,,
2,Pon.Cst,Pon.cxt,66,filmLoop,PonGetR,,
2,Pon.Cst,Pon.cxt,67,bitmap,PonStopLL,,
2,Pon.Cst,Pon.cxt,68,bitmap,,,
2,Pon.Cst,Pon.cxt,69,bitmap,,,
2,Pon.Cst,Pon.cxt,70,bitmap,,,
2,Pon.Cst,Pon.cxt,71,bitmap,,,
2,Pon.Cst,Pon.cxt,72,bitmap,,,
2,Pon.Cst,Pon.cxt,73,bitmap,,,
2,Pon.Cst,Pon.cxt,74,bitmap,,,
2,Pon.Cst,Pon.cxt,75,filmLoop,PonGetL,,
2,Pon.Cst,Pon.cxt,76,filmLoop,PonPunchL,,
2,Pon.Cst,Pon.cxt,77,bitmap,,,
2,Pon.Cst,Pon.cxt,78,bitmap,,,
2,Pon.Cst,Pon.cxt,79,bitmap,,,
2,Pon.Cst,Pon.cxt,80,bitmap,,,
2,Pon.Cst,Pon.cxt,81,filmLoop,PonPunchR,,
2,Pon.Cst,Pon.cxt,82,bitmap,,,
2,Pon.Cst,Pon.cxt,83,bitmap,,,
2,Pon.Cst,Pon.cxt,84,bitmap,,,
2,Pon.Cst,Pon.cxt,85,bitmap,,,
2,Pon.Cst,Pon.cxt,86,bitmap,,,
2,Pon.Cst,Pon.cxt,87,bitmap,,,
2,Pon.Cst,Pon.cxt,88,bitmap,,,
2,Pon.Cst,Pon.cxt,89,bitmap,,,
2,Pon.Cst,Pon.cxt,90,bitmap,,,
2,Pon.Cst,Pon.cxt,91,bitmap,,,
2,Pon.Cst,Pon.cxt,92,bitmap,,,
2,Pon.Cst,Pon.cxt,93,bitmap,,,
2,Pon.Cst,Pon.cxt,94,bitmap,,,
2,Pon.Cst,Pon.cxt,95,bitmap,,,
