CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,TOWN.DXR,1,script,,,
1,Internal,TOWN.DXR,2,bitmap,,,
1,Internal,TOWN.DXR,3,bitmap,,,
1,Internal,TOWN.DXR,4,bitmap,,,
1,Internal,TOWN.DXR,5,filmLoop,Ïo«»,,
1,Internal,TOWN.DXR,6,bitmap,,,
1,Internal,TOWN.DXR,7,bitmap,,,
1,Internal,TOWN.DXR,8,bitmap,,,
1,Internal,TOWN.DXR,9,bitmap,,,
1,Internal,TOWN.DXR,10,bitmap,,,
1,Internal,TOWN.DXR,11,bitmap,,,
1,Internal,TOWN.DXR,12,bitmap,,,
1,Internal,TOWN.DXR,13,bitmap,,,
1,Internal,TOWN.DXR,14,filmLoop,Ïn«»,,
1,Internal,TOWN.DXR,15,bitmap,,,
1,Internal,TOWN.DXR,16,bitmap,,,
1,Internal,TOWN.DXR,17,bitmap,,,
1,Internal,TOWN.DXR,18,bitmap,,,
1,Internal,TOWN.DXR,19,bitmap,,,
1,Internal,TOWN.DXR,20,bitmap,,,
1,Internal,TOWN.DXR,21,bitmap,,,
1,Internal,TOWN.DXR,22,bitmap,,,
1,Internal,TOWN.DXR,23,filmLoop,È˘«°«É„A«»,,
1,Internal,TOWN.DXR,24,bitmap,,,
1,Internal,TOWN.DXR,25,bitmap,,,
1,Internal,TOWN.DXR,26,bitmap,,,
1,Internal,TOWN.DXR,27,bitmap,,,
1,Internal,TOWN.DXR,28,bitmap,,,
1,Internal,TOWN.DXR,29,bitmap,,,
1,Internal,TOWN.DXR,30,bitmap,,,
1,Internal,TOWN.DXR,31,bitmap,,,
1,Internal,TOWN.DXR,32,filmLoop,È˘«°«ÉÁ~«À«»,,
1,Internal,TOWN.DXR,33,bitmap,,,
1,Internal,TOWN.DXR,34,bitmap,,,
1,Internal,TOWN.DXR,35,bitmap,,,
1,Internal,TOWN.DXR,36,bitmap,,,
1,Internal,TOWN.DXR,37,bitmap,,,
1,Internal,TOWN.DXR,38,bitmap,,,
1,Internal,TOWN.DXR,39,bitmap,,,
1,Internal,TOWN.DXR,40,bitmap,,,
1,Internal,TOWN.DXR,41,bitmap,,,
1,Internal,TOWN.DXR,42,bitmap,,,
1,Internal,TOWN.DXR,43,bitmap,,,
1,Internal,TOWN.DXR,44,bitmap,,,
1,Internal,TOWN.DXR,45,bitmap,,,
1,Internal,TOWN.DXR,46,bitmap,,,
1,Internal,TOWN.DXR,47,bitmap,,,
1,Internal,TOWN.DXR,48,bitmap,,,
1,Internal,TOWN.DXR,49,bitmap,,,
1,Internal,TOWN.DXR,50,bitmap,,,
1,Internal,TOWN.DXR,51,bitmap,,,
1,Internal,TOWN.DXR,52,bitmap,,,
1,Internal,TOWN.DXR,53,bitmap,,,
1,Internal,TOWN.DXR,54,bitmap,,,
1,Internal,TOWN.DXR,55,bitmap,,,
1,Internal,TOWN.DXR,56,bitmap,,,
1,Internal,TOWN.DXR,57,bitmap,,,
1,Internal,TOWN.DXR,58,bitmap,,,
1,Internal,TOWN.DXR,59,bitmap,,,
1,Internal,TOWN.DXR,60,bitmap,,,
1,Internal,TOWN.DXR,61,bitmap,,,
1,Internal,TOWN.DXR,62,bitmap,,,
1,Internal,TOWN.DXR,63,bitmap,,,
1,Internal,TOWN.DXR,64,bitmap,,,
1,Internal,TOWN.DXR,65,bitmap,,,
1,Internal,TOWN.DXR,66,bitmap,,,
1,Internal,TOWN.DXR,67,bitmap,,,
1,Internal,TOWN.DXR,68,bitmap,,,
1,Internal,TOWN.DXR,69,bitmap,,,
1,Internal,TOWN.DXR,70,bitmap,,,
1,Internal,TOWN.DXR,71,bitmap,,,
1,Internal,TOWN.DXR,72,bitmap,,,
1,Internal,TOWN.DXR,73,bitmap,,,
1,Internal,TOWN.DXR,74,bitmap,,,
1,Internal,TOWN.DXR,75,bitmap,,,
1,Internal,TOWN.DXR,76,bitmap,,,
1,Internal,TOWN.DXR,77,bitmap,,,
1,Internal,TOWN.DXR,78,bitmap,,,
1,Internal,TOWN.DXR,79,bitmap,,,
1,Internal,TOWN.DXR,80,bitmap,,,
1,Internal,TOWN.DXR,81,bitmap,…s…U.cast,,
1,Internal,TOWN.DXR,82,bitmap,,,
1,Internal,TOWN.DXR,83,bitmap,,,
1,Internal,TOWN.DXR,84,bitmap,,,
1,Internal,TOWN.DXR,85,bitmap,,,
1,Internal,TOWN.DXR,86,bitmap,,,
1,Internal,TOWN.DXR,87,bitmap,,,
1,Internal,TOWN.DXR,88,bitmap,,,
1,Internal,TOWN.DXR,89,bitmap,,,
1,Internal,TOWN.DXR,90,bitmap,,,
1,Internal,TOWN.DXR,91,bitmap,,,
1,Internal,TOWN.DXR,92,bitmap,,,
1,Internal,TOWN.DXR,93,bitmap,,,
1,Internal,TOWN.DXR,94,bitmap,,,
1,Internal,TOWN.DXR,95,bitmap,,,
1,Internal,TOWN.DXR,96,bitmap,,,
1,Internal,TOWN.DXR,97,bitmap,,,
1,Internal,TOWN.DXR,98,script,,,
1,Internal,TOWN.DXR,99,script,,,
1,Internal,TOWN.DXR,100,script,,,
1,Internal,TOWN.DXR,101,script,,,
1,Internal,TOWN.DXR,102,script,,,
1,Internal,TOWN.DXR,103,bitmap,,,
1,Internal,TOWN.DXR,104,script,dly60,,
1,Internal,TOWN.DXR,105,script,,,
1,Internal,TOWN.DXR,106,transition,,,
1,Internal,TOWN.DXR,107,sound,ÓgÈ~ËÕ,,
2,Fer.Cst,Fer.cxt,1,filmLoop,feretAct.dir,,
2,Fer.Cst,Fer.cxt,2,filmLoop,ferRunL,,
2,Fer.Cst,Fer.cxt,3,bitmap,,,
2,Fer.Cst,Fer.cxt,4,bitmap,,,
2,Fer.Cst,Fer.cxt,5,bitmap,,,
2,Fer.Cst,Fer.cxt,6,bitmap,,,
2,Fer.Cst,Fer.cxt,7,bitmap,,,
2,Fer.Cst,Fer.cxt,8,bitmap,,,
2,Fer.Cst,Fer.cxt,9,bitmap,,,
2,Fer.Cst,Fer.cxt,10,filmLoop,ferRunR,,
2,Fer.Cst,Fer.cxt,11,bitmap,,,
2,Fer.Cst,Fer.cxt,12,bitmap,,,
2,Fer.Cst,Fer.cxt,13,bitmap,,,
2,Fer.Cst,Fer.cxt,14,bitmap,,,
2,Fer.Cst,Fer.cxt,15,bitmap,,,
2,Fer.Cst,Fer.cxt,16,bitmap,,,
2,Fer.Cst,Fer.cxt,17,bitmap,,,
2,Fer.Cst,Fer.cxt,18,filmLoop,ferRunF,,
2,Fer.Cst,Fer.cxt,19,bitmap,,,
2,Fer.Cst,Fer.cxt,20,bitmap,,,
2,Fer.Cst,Fer.cxt,21,bitmap,,,
2,Fer.Cst,Fer.cxt,22,bitmap,,,
2,Fer.Cst,Fer.cxt,23,bitmap,,,
2,Fer.Cst,Fer.cxt,24,bitmap,,,
2,Fer.Cst,Fer.cxt,25,bitmap,,,
2,Fer.Cst,Fer.cxt,26,filmLoop,ferRunB,,
2,Fer.Cst,Fer.cxt,27,bitmap,,,
2,Fer.Cst,Fer.cxt,28,bitmap,,,
2,Fer.Cst,Fer.cxt,29,bitmap,,,
2,Fer.Cst,Fer.cxt,30,bitmap,,,
2,Fer.Cst,Fer.cxt,31,bitmap,,,
2,Fer.Cst,Fer.cxt,32,bitmap,,,
