CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,VLGIN.DXR,1,bitmap,,,
1,Internal,VLGIN.DXR,2,bitmap,,,
1,Internal,VLGIN.DXR,3,filmLoop,talk,,
1,Internal,VLGIN.DXR,4,bitmap,,,
1,Internal,VLGIN.DXR,5,bitmap,,,
1,Internal,VLGIN.DXR,6,bitmap,,,
1,Internal,VLGIN.DXR,7,bitmap,,,
1,Internal,VLGIN.DXR,8,bitmap,,,
1,Internal,VLGIN.DXR,9,bitmap,,,
1,Internal,VLGIN.DXR,10,bitmap,,,
1,Internal,VLGIN.DXR,11,bitmap,,,
1,Internal,VLGIN.DXR,12,bitmap,,,
1,Internal,VLGIN.DXR,13,filmLoop,È€«ÿÈ «»,,
1,Internal,VLGIN.DXR,14,bitmap,,,
1,Internal,VLGIN.DXR,15,bitmap,,,
1,Internal,VLGIN.DXR,16,bitmap,,,
1,Internal,VLGIN.DXR,17,bitmap,,,
1,Internal,VLGIN.DXR,18,bitmap,,,
1,Internal,VLGIN.DXR,19,bitmap,,,
1,Internal,VLGIN.DXR,20,bitmap,,,
1,Internal,VLGIN.DXR,21,bitmap,,,
1,Internal,VLGIN.DXR,22,bitmap,,,
1,Internal,VLGIN.DXR,23,bitmap,,,
1,Internal,VLGIN.DXR,24,bitmap,,,
1,Internal,VLGIN.DXR,25,bitmap,,,
1,Internal,VLGIN.DXR,26,bitmap,,,
1,Internal,VLGIN.DXR,27,bitmap,,,
1,Internal,VLGIN.DXR,28,bitmap,,,
1,Internal,VLGIN.DXR,29,bitmap,,,
1,Internal,VLGIN.DXR,30,filmLoop,ÓR«∂«»,,
1,Internal,VLGIN.DXR,31,bitmap,,,
1,Internal,VLGIN.DXR,32,bitmap,,,
1,Internal,VLGIN.DXR,33,bitmap,…\…‰.ride,,
1,Internal,VLGIN.DXR,34,filmLoop,…\…‰.run,,
1,Internal,VLGIN.DXR,35,bitmap,,,
1,Internal,VLGIN.DXR,36,bitmap,,,
1,Internal,VLGIN.DXR,37,bitmap,,,
1,Internal,VLGIN.DXR,38,bitmap,,,
1,Internal,VLGIN.DXR,39,bitmap,,,
1,Internal,VLGIN.DXR,40,bitmap,,,
1,Internal,VLGIN.DXR,41,bitmap,,,
1,Internal,VLGIN.DXR,42,bitmap,,,
1,Internal,VLGIN.DXR,43,bitmap,…E…H…b…Jcast,,
1,Internal,VLGIN.DXR,44,filmLoop,walk.r,,
1,Internal,VLGIN.DXR,45,bitmap,,,
1,Internal,VLGIN.DXR,46,bitmap,,,
1,Internal,VLGIN.DXR,47,bitmap,,,
1,Internal,VLGIN.DXR,48,bitmap,,,
1,Internal,VLGIN.DXR,49,bitmap,,,
1,Internal,VLGIN.DXR,50,bitmap,,,
1,Internal,VLGIN.DXR,51,bitmap,,,
1,Internal,VLGIN.DXR,52,bitmap,,,
1,Internal,VLGIN.DXR,53,bitmap,,,
1,Internal,VLGIN.DXR,54,filmLoop,…\…‰.talk ,,
