CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,OXGAME.DXR,1,script,,,
1,Internal,OXGAME.DXR,2,bitmap,,,
1,Internal,OXGAME.DXR,3,bitmap,,,
1,Internal,OXGAME.DXR,4,filmLoop,Ï¿Íi,,
1,Internal,OXGAME.DXR,5,bitmap,,,
1,Internal,OXGAME.DXR,6,bitmap,,,
1,Internal,OXGAME.DXR,7,bitmap,,,
1,Internal,OXGAME.DXR,8,bitmap,,,
1,Internal,OXGAME.DXR,9,bitmap,,,
1,Internal,OXGAME.DXR,10,bitmap,,,
1,Internal,OXGAME.DXR,11,bitmap,,,
1,Internal,OXGAME.DXR,12,bitmap,,,
1,Internal,OXGAME.DXR,13,bitmap,,,
1,Internal,OXGAME.DXR,14,bitmap,,,
1,Internal,OXGAME.DXR,15,bitmap,,,
1,Internal,OXGAME.DXR,16,filmLoop,Ï¿Íi.L,,
1,Internal,OXGAME.DXR,17,bitmap,,,
1,Internal,OXGAME.DXR,18,bitmap,,,
1,Internal,OXGAME.DXR,19,bitmap,,,
1,Internal,OXGAME.DXR,20,bitmap,,,
1,Internal,OXGAME.DXR,21,bitmap,,,
1,Internal,OXGAME.DXR,22,bitmap,,,
1,Internal,OXGAME.DXR,23,bitmap,,,
1,Internal,OXGAME.DXR,24,bitmap,,,
1,Internal,OXGAME.DXR,25,bitmap,,,
1,Internal,OXGAME.DXR,26,bitmap,,,
1,Internal,OXGAME.DXR,27,bitmap,,,
1,Internal,OXGAME.DXR,28,filmLoop,Ï¿Íi.R,,
1,Internal,OXGAME.DXR,29,bitmap,,,
1,Internal,OXGAME.DXR,30,bitmap,,,
1,Internal,OXGAME.DXR,31,bitmap,,,
1,Internal,OXGAME.DXR,32,bitmap,,,
1,Internal,OXGAME.DXR,33,bitmap,,,
1,Internal,OXGAME.DXR,34,bitmap,,,
1,Internal,OXGAME.DXR,35,bitmap,,,
1,Internal,OXGAME.DXR,36,bitmap,,,
1,Internal,OXGAME.DXR,37,bitmap,,,
1,Internal,OXGAME.DXR,38,bitmap,,,
1,Internal,OXGAME.DXR,39,bitmap,,,
1,Internal,OXGAME.DXR,40,filmLoop,wait,,
1,Internal,OXGAME.DXR,41,bitmap,,,
1,Internal,OXGAME.DXR,42,bitmap,,,
1,Internal,OXGAME.DXR,43,bitmap,,,
1,Internal,OXGAME.DXR,44,bitmap,,,
1,Internal,OXGAME.DXR,45,bitmap,,,
1,Internal,OXGAME.DXR,46,bitmap,,,
1,Internal,OXGAME.DXR,47,bitmap,,,
1,Internal,OXGAME.DXR,48,bitmap,,,
1,Internal,OXGAME.DXR,49,bitmap,,,
1,Internal,OXGAME.DXR,50,bitmap,,,
1,Internal,OXGAME.DXR,51,bitmap,,,
1,Internal,OXGAME.DXR,52,bitmap,,,
1,Internal,OXGAME.DXR,53,filmLoop,PonCRunL,,
1,Internal,OXGAME.DXR,54,bitmap,,,
1,Internal,OXGAME.DXR,55,bitmap,,,
1,Internal,OXGAME.DXR,56,bitmap,,,
1,Internal,OXGAME.DXR,57,bitmap,,,
1,Internal,OXGAME.DXR,58,bitmap,,,
1,Internal,OXGAME.DXR,59,bitmap,,,
1,Internal,OXGAME.DXR,60,bitmap,,,
1,Internal,OXGAME.DXR,61,bitmap,,,
1,Internal,OXGAME.DXR,62,bitmap,,,
1,Internal,OXGAME.DXR,63,bitmap,,,
1,Internal,OXGAME.DXR,64,bitmap,,,
1,Internal,OXGAME.DXR,65,bitmap,,,
1,Internal,OXGAME.DXR,66,bitmap,,,
1,Internal,OXGAME.DXR,67,bitmap,,,
1,Internal,OXGAME.DXR,68,bitmap,,,
1,Internal,OXGAME.DXR,69,bitmap,,,
1,Internal,OXGAME.DXR,70,bitmap,,,
1,Internal,OXGAME.DXR,71,bitmap,,,
1,Internal,OXGAME.DXR,72,bitmap,,,
1,Internal,OXGAME.DXR,73,bitmap,,,
1,Internal,OXGAME.DXR,74,bitmap,,,
1,Internal,OXGAME.DXR,75,bitmap,,,
1,Internal,OXGAME.DXR,76,bitmap,,,
1,Internal,OXGAME.DXR,77,bitmap,,,
1,Internal,OXGAME.DXR,78,bitmap,,,
1,Internal,OXGAME.DXR,79,filmLoop,game,,
1,Internal,OXGAME.DXR,80,bitmap,,,
1,Internal,OXGAME.DXR,81,bitmap,,,
1,Internal,OXGAME.DXR,82,bitmap,,,
1,Internal,OXGAME.DXR,83,filmLoop,ÍaÈmwalk.l,,
1,Internal,OXGAME.DXR,84,bitmap,,,
1,Internal,OXGAME.DXR,85,bitmap,,,
1,Internal,OXGAME.DXR,86,bitmap,,,
1,Internal,OXGAME.DXR,87,bitmap,,,
1,Internal,OXGAME.DXR,88,bitmap,,,
1,Internal,OXGAME.DXR,89,bitmap,,,
1,Internal,OXGAME.DXR,90,bitmap,,,
1,Internal,OXGAME.DXR,91,bitmap,,,
1,Internal,OXGAME.DXR,92,bitmap,,,
1,Internal,OXGAME.DXR,93,bitmap,,,
1,Internal,OXGAME.DXR,94,bitmap,,,
1,Internal,OXGAME.DXR,95,bitmap,,,
1,Internal,OXGAME.DXR,96,bitmap,,,
1,Internal,OXGAME.DXR,97,bitmap,,,
1,Internal,OXGAME.DXR,98,bitmap,,,
1,Internal,OXGAME.DXR,99,bitmap,,,
1,Internal,OXGAME.DXR,100,filmLoop,ÍaÈmtalk,,
1,Internal,OXGAME.DXR,101,bitmap,,,
1,Internal,OXGAME.DXR,102,bitmap,,,
1,Internal,OXGAME.DXR,103,bitmap,,,
1,Internal,OXGAME.DXR,104,bitmap,,,
1,Internal,OXGAME.DXR,105,bitmap,,,
1,Internal,OXGAME.DXR,106,bitmap,,,
1,Internal,OXGAME.DXR,107,bitmap,,,
1,Internal,OXGAME.DXR,108,bitmap,,,
1,Internal,OXGAME.DXR,109,bitmap,,,
1,Internal,OXGAME.DXR,110,bitmap,,,
1,Internal,OXGAME.DXR,111,bitmap,,,
1,Internal,OXGAME.DXR,112,bitmap,,,
1,Internal,OXGAME.DXR,113,bitmap,,,
1,Internal,OXGAME.DXR,114,bitmap,,,
1,Internal,OXGAME.DXR,115,bitmap,,,
1,Internal,OXGAME.DXR,116,bitmap,,,
1,Internal,OXGAME.DXR,117,bitmap,,,
1,Internal,OXGAME.DXR,118,bitmap,,,
1,Internal,OXGAME.DXR,119,bitmap,,,
1,Internal,OXGAME.DXR,120,bitmap,,,
1,Internal,OXGAME.DXR,121,bitmap,,,
1,Internal,OXGAME.DXR,122,bitmap,,,
1,Internal,OXGAME.DXR,123,bitmap,,,
1,Internal,OXGAME.DXR,124,bitmap,,,
1,Internal,OXGAME.DXR,125,bitmap,…M…^≈[,,
1,Internal,OXGAME.DXR,126,script,,,
1,Internal,OXGAME.DXR,127,bitmap,,,
1,Internal,OXGAME.DXR,128,bitmap,,,
1,Internal,OXGAME.DXR,129,bitmap,,,
1,Internal,OXGAME.DXR,130,bitmap,,,
1,Internal,OXGAME.DXR,131,bitmap,,,
1,Internal,OXGAME.DXR,132,bitmap,,,
1,Internal,OXGAME.DXR,133,script,,,
1,Internal,OXGAME.DXR,134,script,,,
1,Internal,OXGAME.DXR,135,filmLoop,PonCRunR,,
1,Internal,OXGAME.DXR,136,script,,,
1,Internal,OXGAME.DXR,137,script,,,
1,Internal,OXGAME.DXR,138,filmLoop,PonCRunB,,
1,Internal,OXGAME.DXR,139,filmLoop,PonCStopR,,
1,Internal,OXGAME.DXR,140,filmLoop,PonCRunF,,
1,Internal,OXGAME.DXR,141,filmLoop,PonCStopL,,
1,Internal,OXGAME.DXR,142,bitmap,FlashPonC,,
1,Internal,OXGAME.DXR,143,bitmap,PonC,,
1,Internal,OXGAME.DXR,144,filmLoop,Kawasu,,
1,Internal,OXGAME.DXR,145,filmLoop,Ataru,,
1,Internal,OXGAME.DXR,146,script,,,
1,Internal,OXGAME.DXR,147,script,,,
1,Internal,OXGAME.DXR,148,script,,,
1,Internal,OXGAME.DXR,149,script,,,
1,Internal,OXGAME.DXR,150,script,,,
1,Internal,OXGAME.DXR,151,script,,,
1,Internal,OXGAME.DXR,152,script,,,
1,Internal,OXGAME.DXR,153,script,,,
1,Internal,OXGAME.DXR,154,script,,,
1,Internal,OXGAME.DXR,155,script,,,
1,Internal,OXGAME.DXR,156,transition,,,
1,Internal,OXGAME.DXR,157,script,,,
1,Internal,OXGAME.DXR,158,script,,,
1,Internal,OXGAME.DXR,159,sound,Ï®„Á…Q≈[…ƒ„ª,,
1,Internal,OXGAME.DXR,160,sound,cow,,
1,Internal,OXGAME.DXR,161,sound,yoshi,,
1,Internal,OXGAME.DXR,162,script,,,
1,Internal,OXGAME.DXR,163,sound,COWS.AIF,,
1,Internal,OXGAME.DXR,164,script,,,
1,Internal,OXGAME.DXR,165,script,,,
1,Internal,OXGAME.DXR,166,script,,,
1,Internal,OXGAME.DXR,167,sound,are,,
1,Internal,OXGAME.DXR,168,script,,,
2,Pon.Cst,Pon.cxt,1,script,,,
2,Pon.Cst,Pon.cxt,2,bitmap,,,
2,Pon.Cst,Pon.cxt,3,bitmap,,,
2,Pon.Cst,Pon.cxt,4,bitmap,,,
2,Pon.Cst,Pon.cxt,5,bitmap,,,
2,Pon.Cst,Pon.cxt,6,bitmap,,,
2,Pon.Cst,Pon.cxt,7,bitmap,,,
2,Pon.Cst,Pon.cxt,8,bitmap,,,
2,Pon.Cst,Pon.cxt,9,bitmap,,,
2,Pon.Cst,Pon.cxt,10,bitmap,,,
2,Pon.Cst,Pon.cxt,11,filmLoop,PonRunF,,
2,Pon.Cst,Pon.cxt,12,bitmap,,,
2,Pon.Cst,Pon.cxt,13,bitmap,,,
2,Pon.Cst,Pon.cxt,14,bitmap,ponStopB,,
