CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,POPUP.DCR,1,bitmap,,,
1,Internal,POPUP.DCR,2,bitmap,,,
1,Internal,POPUP.DCR,3,script,,,
1,Internal,POPUP.DCR,4,script,,,
1,Internal,POPUP.DCR,5,script,,,
1,Internal,POPUP.DCR,6,script,,,
1,Internal,POPUP.DCR,8,script,,,
1,Internal,POPUP.DCR,9,script,,,
1,Internal,POPUP.DCR,10,script,,,
1,Internal,POPUP.DCR,11,script,,,
1,Internal,POPUP.DCR,12,script,,,
1,Internal,POPUP.DCR,13,script,,,
1,Internal,POPUP.DCR,14,script,,,
1,Internal,POPUP.DCR,15,bitmap,,,
1,Internal,POPUP.DCR,16,bitmap,,,
1,Internal,POPUP.DCR,17,script,,,
1,Internal,POPUP.DCR,18,script,,,
1,Internal,POPUP.DCR,19,script,,,
1,Internal,POPUP.DCR,20,script,,,
1,Internal,POPUP.DCR,21,script,,,
1,Internal,POPUP.DCR,22,script,,,
1,Internal,POPUP.DCR,23,script,,,
1,Internal,POPUP.DCR,24,script,,,
1,Internal,POPUP.DCR,25,transition,,,
1,Internal,POPUP.DCR,26,bitmap,,,
1,Internal,POPUP.DCR,27,bitmap,,,
1,Internal,POPUP.DCR,28,bitmap,,,
1,Internal,POPUP.DCR,29,bitmap,,,
1,Internal,POPUP.DCR,30,bitmap,,,
1,Internal,POPUP.DCR,31,filmLoop,PonRunL,,
1,Internal,POPUP.DCR,32,filmLoop,PonRunR,,
1,Internal,POPUP.DCR,33,bitmap,,,
1,Internal,POPUP.DCR,34,bitmap,,,
1,Internal,POPUP.DCR,35,bitmap,,,
1,Internal,POPUP.DCR,36,bitmap,PonL,,
1,Internal,POPUP.DCR,37,bitmap,,,
1,Internal,POPUP.DCR,38,bitmap,,,
1,Internal,POPUP.DCR,39,bitmap,,,
1,Internal,POPUP.DCR,40,bitmap,,,
1,Internal,POPUP.DCR,41,bitmap,,,
1,Internal,POPUP.DCR,42,bitmap,,,
1,Internal,POPUP.DCR,43,bitmap,,,
1,Internal,POPUP.DCR,44,bitmap,,,
1,Internal,POPUP.DCR,45,bitmap,,,
1,Internal,POPUP.DCR,46,bitmap,,,
