CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,KYOTOIN.DXR,1,script,,,
1,Internal,KYOTOIN.DXR,2,bitmap,,,
1,Internal,KYOTOIN.DXR,3,filmLoop,ËCÁsÌ‹,,
1,Internal,KYOTOIN.DXR,4,bitmap,,,
1,Internal,KYOTOIN.DXR,5,bitmap,,,
1,Internal,KYOTOIN.DXR,6,bitmap,,,
1,Internal,KYOTOIN.DXR,7,bitmap,,,
1,Internal,KYOTOIN.DXR,8,bitmap,,,
1,Internal,KYOTOIN.DXR,9,bitmap,,,
1,Internal,KYOTOIN.DXR,10,bitmap,,,
1,Internal,KYOTOIN.DXR,11,bitmap,,,
1,Internal,KYOTOIN.DXR,12,bitmap,,,
1,Internal,KYOTOIN.DXR,13,bitmap,,,
1,Internal,KYOTOIN.DXR,14,bitmap,,,
1,Internal,KYOTOIN.DXR,15,bitmap,,,
1,Internal,KYOTOIN.DXR,16,bitmap,,,
1,Internal,KYOTOIN.DXR,17,bitmap,,,
1,Internal,KYOTOIN.DXR,18,bitmap,,,
1,Internal,KYOTOIN.DXR,19,bitmap,,,
1,Internal,KYOTOIN.DXR,20,bitmap,,,
1,Internal,KYOTOIN.DXR,21,bitmap,,,
1,Internal,KYOTOIN.DXR,22,bitmap,,,
1,Internal,KYOTOIN.DXR,23,bitmap,,,
1,Internal,KYOTOIN.DXR,24,bitmap,,,
1,Internal,KYOTOIN.DXR,25,bitmap,,,
1,Internal,KYOTOIN.DXR,26,bitmap,,,
1,Internal,KYOTOIN.DXR,27,bitmap,,,
1,Internal,KYOTOIN.DXR,28,bitmap,,,
1,Internal,KYOTOIN.DXR,29,bitmap,,,
1,Internal,KYOTOIN.DXR,30,bitmap,,,
1,Internal,KYOTOIN.DXR,31,bitmap,,,
1,Internal,KYOTOIN.DXR,32,bitmap,,,
1,Internal,KYOTOIN.DXR,33,bitmap,,,
1,Internal,KYOTOIN.DXR,34,bitmap,,,
1,Internal,KYOTOIN.DXR,35,bitmap,,,
1,Internal,KYOTOIN.DXR,36,bitmap,game ‚ Ò†flatt,,
1,Internal,KYOTOIN.DXR,37,filmLoop,leaf drop1,,
1,Internal,KYOTOIN.DXR,38,bitmap,,,
1,Internal,KYOTOIN.DXR,39,bitmap,,,
1,Internal,KYOTOIN.DXR,40,bitmap,,,
1,Internal,KYOTOIN.DXR,41,bitmap,,,
1,Internal,KYOTOIN.DXR,42,bitmap,,,
1,Internal,KYOTOIN.DXR,43,bitmap,,,
1,Internal,KYOTOIN.DXR,44,bitmap,,,
1,Internal,KYOTOIN.DXR,45,bitmap,,,
1,Internal,KYOTOIN.DXR,46,bitmap,,,
1,Internal,KYOTOIN.DXR,47,shape,,,
1,Internal,KYOTOIN.DXR,48,shape,,,
1,Internal,KYOTOIN.DXR,49,filmLoop,talk.bu,,
1,Internal,KYOTOIN.DXR,50,bitmap,,,
1,Internal,KYOTOIN.DXR,51,bitmap,,,
1,Internal,KYOTOIN.DXR,52,bitmap,,,
1,Internal,KYOTOIN.DXR,53,bitmap,,,
1,Internal,KYOTOIN.DXR,54,bitmap,,,
1,Internal,KYOTOIN.DXR,55,bitmap,,,
1,Internal,KYOTOIN.DXR,56,bitmap,,,
1,Internal,KYOTOIN.DXR,57,bitmap,,,
1,Internal,KYOTOIN.DXR,58,transition,,,
1,Internal,KYOTOIN.DXR,59,script,,,
1,Internal,KYOTOIN.DXR,60,script,,,
1,Internal,KYOTOIN.DXR,61,script,,,
1,Internal,KYOTOIN.DXR,62,script,,,
1,Internal,KYOTOIN.DXR,63,script,,,
1,Internal,KYOTOIN.DXR,64,script,,,
1,Internal,KYOTOIN.DXR,65,script,,,
1,Internal,KYOTOIN.DXR,66,script,,,
1,Internal,KYOTOIN.DXR,67,richText,,,
1,Internal,KYOTOIN.DXR,68,script,,,
1,Internal,KYOTOIN.DXR,69,script,,,
1,Internal,KYOTOIN.DXR,70,script,,,
1,Internal,KYOTOIN.DXR,71,script,HaParents,,
1,Internal,KYOTOIN.DXR,72,script,,,
1,Internal,KYOTOIN.DXR,73,script,,,
1,Internal,KYOTOIN.DXR,74,filmLoop,leaf drop3,,
1,Internal,KYOTOIN.DXR,75,script,,,
1,Internal,KYOTOIN.DXR,76,script,,,
1,Internal,KYOTOIN.DXR,77,script,,,
1,Internal,KYOTOIN.DXR,78,script,,,
1,Internal,KYOTOIN.DXR,79,script,,,
1,Internal,KYOTOIN.DXR,80,script,,,
1,Internal,KYOTOIN.DXR,81,filmLoop,leaf drop2,,
1,Internal,KYOTOIN.DXR,82,script,,,
1,Internal,KYOTOIN.DXR,83,script,,,
1,Internal,KYOTOIN.DXR,84,script,,,
1,Internal,KYOTOIN.DXR,85,script,,,
1,Internal,KYOTOIN.DXR,86,script,,,
1,Internal,KYOTOIN.DXR,87,script,,,
1,Internal,KYOTOIN.DXR,88,script,,,
1,Internal,KYOTOIN.DXR,89,transition,,,
1,Internal,KYOTOIN.DXR,90,script,,,
1,Internal,KYOTOIN.DXR,91,script,,,
1,Internal,KYOTOIN.DXR,92,script,,,
1,Internal,KYOTOIN.DXR,93,transition,,,
1,Internal,KYOTOIN.DXR,94,sound,bgm-1,,
1,Internal,KYOTOIN.DXR,95,sound,a-cho4,,
1,Internal,KYOTOIN.DXR,96,sound,Sound 96,,
1,Internal,KYOTOIN.DXR,97,sound,minigame4 loop,,
1,Internal,KYOTOIN.DXR,98,sound,ÚAÎ±…p…Ï…`,,
1,Internal,KYOTOIN.DXR,99,sound,a-cho2,,
1,Internal,KYOTOIN.DXR,100,bitmap,JAPAN/Kyoto/kyotoIn.dir,,
2,Pon.Cst,Pon.cxt,1,script,,,
2,Pon.Cst,Pon.cxt,2,bitmap,,,
2,Pon.Cst,Pon.cxt,3,bitmap,,,
2,Pon.Cst,Pon.cxt,4,bitmap,,,
2,Pon.Cst,Pon.cxt,5,bitmap,,,
2,Pon.Cst,Pon.cxt,6,bitmap,,,
2,Pon.Cst,Pon.cxt,7,bitmap,,,
2,Pon.Cst,Pon.cxt,8,bitmap,,,
2,Pon.Cst,Pon.cxt,9,bitmap,,,
2,Pon.Cst,Pon.cxt,10,bitmap,,,
2,Pon.Cst,Pon.cxt,11,filmLoop,PonRunF,,
2,Pon.Cst,Pon.cxt,12,bitmap,,,
2,Pon.Cst,Pon.cxt,13,bitmap,,,
2,Pon.Cst,Pon.cxt,14,bitmap,ponStopB,,
2,Pon.Cst,Pon.cxt,15,bitmap,,,
2,Pon.Cst,Pon.cxt,16,bitmap,,,
2,Pon.Cst,Pon.cxt,17,bitmap,,,
2,Pon.Cst,Pon.cxt,18,bitmap,,,
2,Pon.Cst,Pon.cxt,19,bitmap,,,
2,Pon.Cst,Pon.cxt,20,bitmap,,,
2,Pon.Cst,Pon.cxt,21,filmLoop,PonRunB,,
2,Pon.Cst,Pon.cxt,22,bitmap,,,
2,Pon.Cst,Pon.cxt,23,bitmap,,,
2,Pon.Cst,Pon.cxt,24,bitmap,,,
2,Pon.Cst,Pon.cxt,25,bitmap,,,
2,Pon.Cst,Pon.cxt,26,bitmap,,,
2,Pon.Cst,Pon.cxt,27,bitmap,,,
2,Pon.Cst,Pon.cxt,28,bitmap,,,
2,Pon.Cst,Pon.cxt,29,bitmap,,,
2,Pon.Cst,Pon.cxt,30,bitmap,,,
2,Pon.Cst,Pon.cxt,31,filmLoop,PonRunL,,
2,Pon.Cst,Pon.cxt,32,filmLoop,PonRunR,,
2,Pon.Cst,Pon.cxt,33,bitmap,,,
2,Pon.Cst,Pon.cxt,34,bitmap,,,
2,Pon.Cst,Pon.cxt,35,bitmap,,,
2,Pon.Cst,Pon.cxt,36,bitmap,PonL,,
2,Pon.Cst,Pon.cxt,37,bitmap,,,
2,Pon.Cst,Pon.cxt,38,bitmap,,,
2,Pon.Cst,Pon.cxt,39,bitmap,,,
2,Pon.Cst,Pon.cxt,40,bitmap,,,
2,Pon.Cst,Pon.cxt,41,bitmap,,,
2,Pon.Cst,Pon.cxt,42,bitmap,,,
2,Pon.Cst,Pon.cxt,43,bitmap,,,
2,Pon.Cst,Pon.cxt,44,bitmap,,,
2,Pon.Cst,Pon.cxt,45,bitmap,,,
2,Pon.Cst,Pon.cxt,46,bitmap,,,
2,Pon.Cst,Pon.cxt,47,bitmap,,,
2,Pon.Cst,Pon.cxt,48,bitmap,,,
2,Pon.Cst,Pon.cxt,49,bitmap,,,
2,Pon.Cst,Pon.cxt,50,filmLoop,PonTalkR,,
2,Pon.Cst,Pon.cxt,51,bitmap,,,
2,Pon.Cst,Pon.cxt,52,bitmap,,,
2,Pon.Cst,Pon.cxt,53,bitmap,,,
2,Pon.Cst,Pon.cxt,54,bitmap,,,
2,Pon.Cst,Pon.cxt,55,bitmap,,,
2,Pon.Cst,Pon.cxt,56,bitmap,,,
2,Pon.Cst,Pon.cxt,57,bitmap,,,
2,Pon.Cst,Pon.cxt,58,bitmap,,,
2,Pon.Cst,Pon.cxt,59,filmLoop,PonTalkL,,
2,Pon.Cst,Pon.cxt,60,bitmap,PonStopL,,
2,Pon.Cst,Pon.cxt,61,bitmap,PonStopR,,
2,Pon.Cst,Pon.cxt,62,bitmap,PonStopRR,,
2,Pon.Cst,Pon.cxt,63,bitmap,,,
2,Pon.Cst,Pon.cxt,64,bitmap,,,
2,Pon.Cst,Pon.cxt,65,bitmap,,,
2,Pon.Cst,Pon.cxt,66,filmLoop,PonGetR,,
2,Pon.Cst,Pon.cxt,67,bitmap,PonStopLL,,
2,Pon.Cst,Pon.cxt,68,bitmap,,,
2,Pon.Cst,Pon.cxt,69,bitmap,,,
2,Pon.Cst,Pon.cxt,70,bitmap,,,
2,Pon.Cst,Pon.cxt,71,bitmap,,,
2,Pon.Cst,Pon.cxt,72,bitmap,,,
2,Pon.Cst,Pon.cxt,73,bitmap,,,
