CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,PONGI.DXR,1,bitmap,,,
1,Internal,PONGI.DXR,2,transition,,,
1,Internal,PONGI.DXR,3,bitmap,,,
1,Internal,PONGI.DXR,4,bitmap,,,
1,Internal,PONGI.DXR,5,bitmap,,,
1,Internal,PONGI.DXR,6,bitmap,,,
1,Internal,PONGI.DXR,7,bitmap,,,
1,Internal,PONGI.DXR,8,bitmap,,,
1,Internal,PONGI.DXR,9,bitmap,,,
1,Internal,PONGI.DXR,10,script,,,
1,Internal,PONGI.DXR,11,bitmap,,,
1,Internal,PONGI.DXR,12,bitmap,,,
1,Internal,PONGI.DXR,13,bitmap,,,
1,Internal,PONGI.DXR,14,script,,,
1,Internal,PONGI.DXR,15,transition,,,
1,Internal,PONGI.DXR,16,filmLoop,ratL,,
1,Internal,PONGI.DXR,17,bitmap,,,
1,Internal,PONGI.DXR,18,bitmap,,,
1,Internal,PONGI.DXR,19,bitmap,,,
1,Internal,PONGI.DXR,20,bitmap,,,
1,Internal,PONGI.DXR,21,bitmap,,,
1,Internal,PONGI.DXR,22,bitmap,,,
1,Internal,PONGI.DXR,23,filmLoop,ratR,,
1,Internal,PONGI.DXR,24,bitmap,,,
1,Internal,PONGI.DXR,25,bitmap,,,
1,Internal,PONGI.DXR,26,bitmap,,,
1,Internal,PONGI.DXR,27,bitmap,,,
1,Internal,PONGI.DXR,28,bitmap,,,
1,Internal,PONGI.DXR,29,bitmap,,,
1,Internal,PONGI.DXR,30,filmLoop,ratF,,
1,Internal,PONGI.DXR,31,bitmap,,,
1,Internal,PONGI.DXR,32,bitmap,,,
1,Internal,PONGI.DXR,33,bitmap,,,
1,Internal,PONGI.DXR,34,bitmap,,,
1,Internal,PONGI.DXR,35,bitmap,,,
1,Internal,PONGI.DXR,36,bitmap,,,
1,Internal,PONGI.DXR,37,filmLoop,ratB,,
1,Internal,PONGI.DXR,38,bitmap,,,
1,Internal,PONGI.DXR,39,bitmap,,,
1,Internal,PONGI.DXR,40,bitmap,,,
1,Internal,PONGI.DXR,41,bitmap,,,
1,Internal,PONGI.DXR,42,bitmap,,,
1,Internal,PONGI.DXR,43,bitmap,,,
1,Internal,PONGI.DXR,44,filmLoop,ratStand.pics,,
1,Internal,PONGI.DXR,45,bitmap,,,
1,Internal,PONGI.DXR,46,bitmap,,,
1,Internal,PONGI.DXR,47,bitmap,,,
1,Internal,PONGI.DXR,48,bitmap,,,
1,Internal,PONGI.DXR,49,bitmap,,,
1,Internal,PONGI.DXR,50,bitmap,,,
1,Internal,PONGI.DXR,51,bitmap,,,
1,Internal,PONGI.DXR,52,bitmap,,,
1,Internal,PONGI.DXR,53,script,,,
1,Internal,PONGI.DXR,54,shape,,,
1,Internal,PONGI.DXR,55,filmLoop,AkikoJump,,
1,Internal,PONGI.DXR,56,bitmap,,,
1,Internal,PONGI.DXR,57,bitmap,,,
1,Internal,PONGI.DXR,58,bitmap,,,
1,Internal,PONGI.DXR,59,bitmap,,,
1,Internal,PONGI.DXR,60,bitmap,,,
1,Internal,PONGI.DXR,61,bitmap,,,
1,Internal,PONGI.DXR,62,bitmap,,,
1,Internal,PONGI.DXR,63,bitmap,,,
1,Internal,PONGI.DXR,64,filmLoop,ratL1.pics,,
1,Internal,PONGI.DXR,65,bitmap,,,
1,Internal,PONGI.DXR,66,bitmap,,,
1,Internal,PONGI.DXR,67,bitmap,,,
1,Internal,PONGI.DXR,68,bitmap,,,
1,Internal,PONGI.DXR,69,bitmap,,,
1,Internal,PONGI.DXR,70,bitmap,,,
1,Internal,PONGI.DXR,71,bitmap,,,
1,Internal,PONGI.DXR,72,bitmap,,,
1,Internal,PONGI.DXR,73,bitmap,,,
1,Internal,PONGI.DXR,74,bitmap,,,
1,Internal,PONGI.DXR,75,bitmap,,,
1,Internal,PONGI.DXR,76,filmLoop,ratL2.pics,,
1,Internal,PONGI.DXR,77,bitmap,,,
1,Internal,PONGI.DXR,78,bitmap,,,
1,Internal,PONGI.DXR,79,bitmap,,,
1,Internal,PONGI.DXR,80,bitmap,,,
1,Internal,PONGI.DXR,81,bitmap,,,
1,Internal,PONGI.DXR,82,bitmap,,,
1,Internal,PONGI.DXR,83,bitmap,,,
1,Internal,PONGI.DXR,84,bitmap,,,
1,Internal,PONGI.DXR,85,bitmap,,,
1,Internal,PONGI.DXR,86,bitmap,,,
1,Internal,PONGI.DXR,87,bitmap,,,
1,Internal,PONGI.DXR,88,bitmap,,,
1,Internal,PONGI.DXR,89,bitmap,,,
1,Internal,PONGI.DXR,90,bitmap,,,
1,Internal,PONGI.DXR,91,filmLoop,ratL3.pics,,
1,Internal,PONGI.DXR,92,bitmap,,,
1,Internal,PONGI.DXR,93,bitmap,,,
1,Internal,PONGI.DXR,94,bitmap,,,
1,Internal,PONGI.DXR,95,bitmap,,,
1,Internal,PONGI.DXR,96,bitmap,,,
1,Internal,PONGI.DXR,97,bitmap,,,
1,Internal,PONGI.DXR,98,bitmap,,,
1,Internal,PONGI.DXR,99,bitmap,,,
1,Internal,PONGI.DXR,100,bitmap,,,
1,Internal,PONGI.DXR,101,bitmap,,,
1,Internal,PONGI.DXR,102,bitmap,,,
1,Internal,PONGI.DXR,103,bitmap,,,
1,Internal,PONGI.DXR,104,bitmap,,,
1,Internal,PONGI.DXR,105,bitmap,,,
1,Internal,PONGI.DXR,106,filmLoop,ratL4.pics,,
1,Internal,PONGI.DXR,107,bitmap,,,
1,Internal,PONGI.DXR,108,bitmap,,,
1,Internal,PONGI.DXR,109,bitmap,,,
1,Internal,PONGI.DXR,110,bitmap,,,
1,Internal,PONGI.DXR,111,bitmap,,,
1,Internal,PONGI.DXR,112,bitmap,,,
1,Internal,PONGI.DXR,113,bitmap,,,
1,Internal,PONGI.DXR,114,bitmap,,,
1,Internal,PONGI.DXR,115,bitmap,,,
1,Internal,PONGI.DXR,116,bitmap,,,
1,Internal,PONGI.DXR,117,bitmap,,,
1,Internal,PONGI.DXR,118,bitmap,,,
1,Internal,PONGI.DXR,119,bitmap,,,
1,Internal,PONGI.DXR,120,bitmap,,,
1,Internal,PONGI.DXR,121,filmLoop,ratDown.pics,,
1,Internal,PONGI.DXR,122,bitmap,,,
1,Internal,PONGI.DXR,123,bitmap,,,
1,Internal,PONGI.DXR,124,bitmap,,,
1,Internal,PONGI.DXR,125,bitmap,,,
1,Internal,PONGI.DXR,126,bitmap,,,
1,Internal,PONGI.DXR,127,bitmap,,,
1,Internal,PONGI.DXR,128,bitmap,,,
1,Internal,PONGI.DXR,129,bitmap,RatDeath,,
1,Internal,PONGI.DXR,130,bitmap,,,
1,Internal,PONGI.DXR,131,script,,,
1,Internal,PONGI.DXR,132,script,,,
1,Internal,PONGI.DXR,133,script,,,
1,Internal,PONGI.DXR,134,script,,,
1,Internal,PONGI.DXR,135,script,,,
1,Internal,PONGI.DXR,136,sound,‰X«√ÔÛÂi≈iÈëÌ†«À«√Î˝«¢Ï˛≈j,,
1,Internal,PONGI.DXR,137,script,,,
1,Internal,PONGI.DXR,138,transition,,,
1,Internal,PONGI.DXR,139,script,,,
1,Internal,PONGI.DXR,140,script,,,
1,Internal,PONGI.DXR,141,bitmap,,,
1,Internal,PONGI.DXR,142,bitmap,,,
1,Internal,PONGI.DXR,143,script,,,
1,Internal,PONGI.DXR,144,filmLoop,ponBanzai,,
1,Internal,PONGI.DXR,145,bitmap,,,
1,Internal,PONGI.DXR,146,bitmap,,,
1,Internal,PONGI.DXR,147,bitmap,,,
1,Internal,PONGI.DXR,148,bitmap,,,
1,Internal,PONGI.DXR,149,bitmap,,,
1,Internal,PONGI.DXR,150,bitmap,,,
1,Internal,PONGI.DXR,151,filmLoop,AkikoBanzai,,
1,Internal,PONGI.DXR,152,filmLoop,AkikoSPK,,
