CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,CITY.DXR,1,bitmap,,,
1,Internal,CITY.DXR,2,transition,,,
1,Internal,CITY.DXR,3,script,dly60,,
1,Internal,CITY.DXR,4,script,,,
1,Internal,CITY.DXR,5,script,,,
1,Internal,CITY.DXR,6,bitmap,,,
1,Internal,CITY.DXR,7,script,,,
1,Internal,CITY.DXR,8,script,,,
1,Internal,CITY.DXR,9,script,,,
1,Internal,CITY.DXR,10,script,,,
1,Internal,CITY.DXR,11,script,,,
1,Internal,CITY.DXR,12,script,,,
1,Internal,CITY.DXR,13,script,,,
1,Internal,CITY.DXR,14,script,church,,
1,Internal,CITY.DXR,15,script,,,
1,Internal,CITY.DXR,16,script,,,
1,Internal,CITY.DXR,17,shape,Charch,,
1,Internal,CITY.DXR,18,sound,…g…‚…t…B…b…N,,
1,Internal,CITY.DXR,19,script,,,
2,Fox.Cst,Fox.cxt,1,filmLoop,FOXWALK.DIR,,
2,Fox.Cst,Fox.cxt,2,sound,choVoice,,
2,Fox.Cst,Fox.cxt,3,bitmap,,,
2,Fox.Cst,Fox.cxt,4,bitmap,,,
2,Fox.Cst,Fox.cxt,5,bitmap,,,
2,Fox.Cst,Fox.cxt,6,bitmap,,,
2,Fox.Cst,Fox.cxt,7,bitmap,,,
2,Fox.Cst,Fox.cxt,8,bitmap,,,
2,Fox.Cst,Fox.cxt,9,bitmap,,,
2,Fox.Cst,Fox.cxt,10,bitmap,,,
2,Fox.Cst,Fox.cxt,11,bitmap,,,
2,Fox.Cst,Fox.cxt,13,script,,,
2,Fox.Cst,Fox.cxt,14,filmLoop,ChoRunF,,
2,Fox.Cst,Fox.cxt,15,bitmap,,,
2,Fox.Cst,Fox.cxt,16,bitmap,,,
2,Fox.Cst,Fox.cxt,17,bitmap,,,
2,Fox.Cst,Fox.cxt,18,bitmap,,,
2,Fox.Cst,Fox.cxt,19,bitmap,,,
2,Fox.Cst,Fox.cxt,20,bitmap,,,
2,Fox.Cst,Fox.cxt,21,bitmap,,,
2,Fox.Cst,Fox.cxt,22,bitmap,,,
2,Fox.Cst,Fox.cxt,23,bitmap,,,
2,Fox.Cst,Fox.cxt,24,filmLoop,ChoRunB,,
2,Fox.Cst,Fox.cxt,25,bitmap,,,
2,Fox.Cst,Fox.cxt,26,bitmap,,,
2,Fox.Cst,Fox.cxt,27,bitmap,,,
2,Fox.Cst,Fox.cxt,28,bitmap,,,
