CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,FRSTMAP.DXR,1,bitmap,D6f,,
1,Internal,FRSTMAP.DXR,2,bitmap,A1bA5bB6bD2rD6rE1bE5bF2bF4r,,
1,Internal,FRSTMAP.DXR,3,bitmap,,,
1,Internal,FRSTMAP.DXR,4,bitmap,A3l/D2l/D6l/F4f,,
1,Internal,FRSTMAP.DXR,5,bitmap,D1l/D5f/C4l,,
1,Internal,FRSTMAP.DXR,6,bitmap,D5r,,
1,Internal,FRSTMAP.DXR,7,bitmap,D5b,,
1,Internal,FRSTMAP.DXR,8,bitmap,D5l,,
1,Internal,FRSTMAP.DXR,9,bitmap,D3f,,
1,Internal,FRSTMAP.DXR,10,bitmap,A4r/B1r/B3b/D3r/F1r/F5r,,
1,Internal,FRSTMAP.DXR,11,bitmap,C4r/D3b/F5b,,
1,Internal,FRSTMAP.DXR,12,bitmap,D3l,,
1,Internal,FRSTMAP.DXR,13,bitmap,D2f,,
1,Internal,FRSTMAP.DXR,14,bitmap,D2b,,
1,Internal,FRSTMAP.DXR,15,bitmap,D1f,,
1,Internal,FRSTMAP.DXR,16,bitmap,D1r,,
1,Internal,FRSTMAP.DXR,17,bitmap,D1b,,
1,Internal,FRSTMAP.DXR,18,bitmap,A5f,,
1,Internal,FRSTMAP.DXR,19,bitmap,A5r,,
1,Internal,FRSTMAP.DXR,20,bitmap,A1l/A5l/B2l/B6l/C3f/E1f/E5f/F2l,,
1,Internal,FRSTMAP.DXR,21,bitmap,A4f,,
1,Internal,FRSTMAP.DXR,22,bitmap,A4b,,
1,Internal,FRSTMAP.DXR,23,bitmap,A4l/B1f/B5f/F1f,,
1,Internal,FRSTMAP.DXR,24,bitmap,A3f,,
1,Internal,FRSTMAP.DXR,25,bitmap,A3r,,
1,Internal,FRSTMAP.DXR,26,bitmap,A3b,,
1,Internal,FRSTMAP.DXR,27,bitmap,A1f,,
1,Internal,FRSTMAP.DXR,28,bitmap,A1r,,
1,Internal,FRSTMAP.DXR,29,bitmap,B6f,,
1,Internal,FRSTMAP.DXR,30,bitmap,B2r/B6r/C5b/F2r,,
1,Internal,FRSTMAP.DXR,31,bitmap,B5r,,
1,Internal,FRSTMAP.DXR,32,bitmap,B5b,,
1,Internal,FRSTMAP.DXR,33,bitmap,B5l,,
1,Internal,FRSTMAP.DXR,34,bitmap,B3f,,
1,Internal,FRSTMAP.DXR,35,bitmap,B3r,,
1,Internal,FRSTMAP.DXR,36,bitmap,B3l,,
1,Internal,FRSTMAP.DXR,37,bitmap,B2f,,
1,Internal,FRSTMAP.DXR,38,bitmap,B2b,,
1,Internal,FRSTMAP.DXR,39,bitmap,B1b,,
1,Internal,FRSTMAP.DXR,40,bitmap,B1l,,
1,Internal,FRSTMAP.DXR,41,bitmap,C5f,,
1,Internal,FRSTMAP.DXR,42,bitmap,C5r,,
1,Internal,FRSTMAP.DXR,43,bitmap,C5l,,
1,Internal,FRSTMAP.DXR,44,bitmap,C4f,,
1,Internal,FRSTMAP.DXR,45,bitmap,C4b,,
1,Internal,FRSTMAP.DXR,46,bitmap,C3r,,
1,Internal,FRSTMAP.DXR,47,bitmap,C3b,,
1,Internal,FRSTMAP.DXR,48,bitmap,C3l,,
1,Internal,FRSTMAP.DXR,49,bitmap,E5r,,
1,Internal,FRSTMAP.DXR,50,bitmap,E5l,,
1,Internal,FRSTMAP.DXR,51,bitmap,E1r,,
1,Internal,FRSTMAP.DXR,52,bitmap,E1l,,
1,Internal,FRSTMAP.DXR,53,bitmap,F5f,,
1,Internal,FRSTMAP.DXR,54,bitmap,F5l,,
1,Internal,FRSTMAP.DXR,55,bitmap,F4b,,
1,Internal,FRSTMAP.DXR,56,bitmap,F4l,,
1,Internal,FRSTMAP.DXR,57,bitmap,f2f,,
1,Internal,FRSTMAP.DXR,58,bitmap,F2bRe02.pict,,
1,Internal,FRSTMAP.DXR,59,bitmap,F2bRe.pict,,
1,Internal,FRSTMAP.DXR,60,bitmap,F1bRe.pict,,
1,Internal,FRSTMAP.DXR,61,bitmap,F1l,,
1,Internal,FRSTMAP.DXR,62,bitmap,,,
1,Internal,FRSTMAP.DXR,63,bitmap,,,
1,Internal,FRSTMAP.DXR,64,script,,,
1,Internal,FRSTMAP.DXR,65,bitmap,ponNata f00001,,
1,Internal,FRSTMAP.DXR,66,bitmap,ponNata f00002,,
1,Internal,FRSTMAP.DXR,67,bitmap,ponNata f00003,,
1,Internal,FRSTMAP.DXR,68,bitmap,ponNata f00004,,
1,Internal,FRSTMAP.DXR,69,bitmap,ponNata f00005,,
1,Internal,FRSTMAP.DXR,70,transition,,,
1,Internal,FRSTMAP.DXR,71,bitmap,ferestAct f00001,,
1,Internal,FRSTMAP.DXR,72,bitmap,ferestAct f00002,,
1,Internal,FRSTMAP.DXR,73,bitmap,ferestAct f00003,,
1,Internal,FRSTMAP.DXR,74,bitmap,ferestAct f00004,,
1,Internal,FRSTMAP.DXR,75,bitmap,ferestAct f00005,,
1,Internal,FRSTMAP.DXR,76,bitmap,ferestAct f00006,,
1,Internal,FRSTMAP.DXR,77,bitmap,ferestAct f00007,,
1,Internal,FRSTMAP.DXR,78,bitmap,ä±◊02.pict.,,
1,Internal,FRSTMAP.DXR,79,bitmap,ferestTurn f00002,,
1,Internal,FRSTMAP.DXR,80,bitmap,ferestTurn f00003,,
1,Internal,FRSTMAP.DXR,81,bitmap,ferestTurn f00004,,
1,Internal,FRSTMAP.DXR,82,bitmap,ferestTurn f00005,,
1,Internal,FRSTMAP.DXR,83,bitmap,ferestTurn f00006,,
1,Internal,FRSTMAP.DXR,84,script,,,
1,Internal,FRSTMAP.DXR,85,bitmap,ponNata f00001,,
1,Internal,FRSTMAP.DXR,86,bitmap,ponNata f00002,,
1,Internal,FRSTMAP.DXR,87,bitmap,ponNata f00003,,
1,Internal,FRSTMAP.DXR,88,bitmap,ponNata f00004,,
1,Internal,FRSTMAP.DXR,89,bitmap,ponNata f00005,,
1,Internal,FRSTMAP.DXR,90,bitmap,íêˇ«√Ût.pict,,
1,Internal,FRSTMAP.DXR,91,bitmap,forestEat f00005,,
1,Internal,FRSTMAP.DXR,92,bitmap,forestEat f00006,,
1,Internal,FRSTMAP.DXR,93,bitmap,forestEat f00007,,
1,Internal,FRSTMAP.DXR,94,bitmap,forestEat f00008,,
1,Internal,FRSTMAP.DXR,95,bitmap,forestEat f00009,,
