CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,KANGHUSE.DXR,1,bitmap,,,
1,Internal,KANGHUSE.DXR,2,bitmap,,,
1,Internal,KANGHUSE.DXR,3,bitmap,,,
1,Internal,KANGHUSE.DXR,4,bitmap,,,
1,Internal,KANGHUSE.DXR,5,bitmap,,,
1,Internal,KANGHUSE.DXR,6,bitmap,,,
1,Internal,KANGHUSE.DXR,7,bitmap,,,
1,Internal,KANGHUSE.DXR,8,bitmap,,,
1,Internal,KANGHUSE.DXR,9,bitmap,,,
1,Internal,KANGHUSE.DXR,10,bitmap,,,
1,Internal,KANGHUSE.DXR,11,bitmap,,,
1,Internal,KANGHUSE.DXR,12,bitmap,,,
1,Internal,KANGHUSE.DXR,13,bitmap,,,
1,Internal,KANGHUSE.DXR,14,bitmap,,,
1,Internal,KANGHUSE.DXR,15,bitmap,,,
1,Internal,KANGHUSE.DXR,16,bitmap,,,
1,Internal,KANGHUSE.DXR,17,bitmap,,,
1,Internal,KANGHUSE.DXR,18,bitmap,,,
1,Internal,KANGHUSE.DXR,19,bitmap,,,
1,Internal,KANGHUSE.DXR,20,bitmap,,,
1,Internal,KANGHUSE.DXR,21,bitmap,,,
1,Internal,KANGHUSE.DXR,22,bitmap,,,
1,Internal,KANGHUSE.DXR,23,bitmap,,,
1,Internal,KANGHUSE.DXR,24,bitmap,,,
1,Internal,KANGHUSE.DXR,25,filmLoop,kang(S)WalkLoop,,
1,Internal,KANGHUSE.DXR,26,bitmap,test f00001,,
1,Internal,KANGHUSE.DXR,27,filmLoop,kang(L)WalkLoop,,
1,Internal,KANGHUSE.DXR,28,bitmap,,,
1,Internal,KANGHUSE.DXR,29,bitmap,,,
1,Internal,KANGHUSE.DXR,30,bitmap,,,
1,Internal,KANGHUSE.DXR,31,bitmap,,,
1,Internal,KANGHUSE.DXR,32,bitmap,,,
1,Internal,KANGHUSE.DXR,33,bitmap,,,
1,Internal,KANGHUSE.DXR,34,bitmap,,,
1,Internal,KANGHUSE.DXR,35,bitmap,,,
1,Internal,KANGHUSE.DXR,36,bitmap,,,
1,Internal,KANGHUSE.DXR,37,bitmap,,,
1,Internal,KANGHUSE.DXR,38,bitmap,,,
1,Internal,KANGHUSE.DXR,39,bitmap,,,
1,Internal,KANGHUSE.DXR,40,bitmap,,,
1,Internal,KANGHUSE.DXR,41,bitmap,,,
1,Internal,KANGHUSE.DXR,42,bitmap,,,
1,Internal,KANGHUSE.DXR,43,bitmap,,,
1,Internal,KANGHUSE.DXR,44,bitmap,,,
1,Internal,KANGHUSE.DXR,45,bitmap,,,
1,Internal,KANGHUSE.DXR,46,bitmap,,,
1,Internal,KANGHUSE.DXR,47,bitmap,,,
1,Internal,KANGHUSE.DXR,48,bitmap,,,
1,Internal,KANGHUSE.DXR,49,bitmap,,,
1,Internal,KANGHUSE.DXR,50,filmLoop,kang(L)2WalkLoop,,
1,Internal,KANGHUSE.DXR,51,bitmap,,,
1,Internal,KANGHUSE.DXR,52,bitmap,,,
1,Internal,KANGHUSE.DXR,53,bitmap,,,
1,Internal,KANGHUSE.DXR,54,bitmap,,,
1,Internal,KANGHUSE.DXR,55,bitmap,,,
1,Internal,KANGHUSE.DXR,56,bitmap,,,
1,Internal,KANGHUSE.DXR,57,bitmap,,,
1,Internal,KANGHUSE.DXR,58,script,,,
1,Internal,KANGHUSE.DXR,59,bitmap,,,
1,Internal,KANGHUSE.DXR,60,bitmap,,,
1,Internal,KANGHUSE.DXR,61,bitmap,,,
1,Internal,KANGHUSE.DXR,62,bitmap,,,
1,Internal,KANGHUSE.DXR,63,bitmap,,,
1,Internal,KANGHUSE.DXR,64,bitmap,,,
1,Internal,KANGHUSE.DXR,65,bitmap,,,
1,Internal,KANGHUSE.DXR,66,bitmap,,,
1,Internal,KANGHUSE.DXR,67,bitmap,,,
1,Internal,KANGHUSE.DXR,68,bitmap,ki.pict f00005,,
1,Internal,KANGHUSE.DXR,69,bitmap,ki02 f00005,,
1,Internal,KANGHUSE.DXR,70,bitmap,base.pict,,
1,Internal,KANGHUSE.DXR,71,bitmap,,,
1,Internal,KANGHUSE.DXR,72,bitmap,,,
1,Internal,KANGHUSE.DXR,73,bitmap,,,
1,Internal,KANGHUSE.DXR,74,transition,,,
1,Internal,KANGHUSE.DXR,75,bitmap,,,
1,Internal,KANGHUSE.DXR,76,bitmap,,,
1,Internal,KANGHUSE.DXR,77,script,,,
1,Internal,KANGHUSE.DXR,78,script,,,
1,Internal,KANGHUSE.DXR,79,script,,,
1,Internal,KANGHUSE.DXR,80,script,,,
1,Internal,KANGHUSE.DXR,81,script,,,
1,Internal,KANGHUSE.DXR,82,script,,,
1,Internal,KANGHUSE.DXR,83,script,,,
1,Internal,KANGHUSE.DXR,84,script,,,
1,Internal,KANGHUSE.DXR,85,script,,,
1,Internal,KANGHUSE.DXR,86,script,,,
1,Internal,KANGHUSE.DXR,87,sound,010,,
1,Internal,KANGHUSE.DXR,88,transition,,,
1,Internal,KANGHUSE.DXR,89,transition,,,
1,Internal,KANGHUSE.DXR,90,sound,Untitled-9,,
1,Internal,KANGHUSE.DXR,91,sound,*drum03,,
2,AustMes.Cst,CityMes.cxt,1,richText,,,
2,AustMes.Cst,CityMes.cxt,2,bitmap,City_da,,
2,AustMes.Cst,CityMes.cxt,3,bitmap,dare-mo-inai,,
2,AustMes.Cst,CityMes.cxt,4,bitmap,nani-wo-suru,,
2,AustMes.Cst,CityMes.cxt,5,bitmap,ana-ga,,
2,AustMes.Cst,CityMes.cxt,6,bitmap,takarakuji-ha,,
2,AustMes.Cst,CityMes.cxt,7,bitmap,shohin-ha,,
2,AustMes.Cst,CityMes.cxt,8,bitmap,kosutte,,
2,AustMes.Cst,CityMes.cxt,9,bitmap,atari-yo,,
2,AustMes.Cst,CityMes.cxt,10,bitmap,syo-hin-wo-ageru-wa,,
2,AustMes.Cst,CityMes.cxt,11,bitmap,zannnenn-hazure,,
2,AustMes.Cst,CityMes.cxt,12,bitmap,yatta-gekijyo-ni,,
2,AustMes.Cst,CityMes.cxt,13,bitmap,nanika-kuwaeteru,,
2,AustMes.Cst,CityMes.cxt,14,bitmap,jo-ji-doko-he-iku,,
2,AustMes.Cst,CityMes.cxt,15,bitmap,jyu-jika-da,,
