CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,ROOM01.DXR,1,bitmap,,,
1,Internal,ROOM01.DXR,2,bitmap,01,,
1,Internal,ROOM01.DXR,3,bitmap,02,,
1,Internal,ROOM01.DXR,4,bitmap,03,,
1,Internal,ROOM01.DXR,5,bitmap,04,,
1,Internal,ROOM01.DXR,6,bitmap,05,,
1,Internal,ROOM01.DXR,7,bitmap,F01,,
1,Internal,ROOM01.DXR,8,bitmap,F02,,
1,Internal,ROOM01.DXR,9,bitmap,F03,,
1,Internal,ROOM01.DXR,10,bitmap,F04,,
1,Internal,ROOM01.DXR,11,bitmap,F05,,
1,Internal,ROOM01.DXR,12,bitmap,F06,,
1,Internal,ROOM01.DXR,13,bitmap,F07,,
1,Internal,ROOM01.DXR,14,bitmap,,,
1,Internal,ROOM01.DXR,15,bitmap,,,
1,Internal,ROOM01.DXR,16,bitmap,,,
1,Internal,ROOM01.DXR,17,bitmap,,,
1,Internal,ROOM01.DXR,18,bitmap,,,
1,Internal,ROOM01.DXR,19,bitmap,,,
1,Internal,ROOM01.DXR,20,bitmap,,,
1,Internal,ROOM01.DXR,21,bitmap,,,
1,Internal,ROOM01.DXR,22,bitmap,,,
1,Internal,ROOM01.DXR,23,bitmap,,,
1,Internal,ROOM01.DXR,24,bitmap,,,
1,Internal,ROOM01.DXR,25,bitmap,,,
1,Internal,ROOM01.DXR,26,bitmap,,,
1,Internal,ROOM01.DXR,27,bitmap,,,
1,Internal,ROOM01.DXR,28,bitmap,,,
1,Internal,ROOM01.DXR,29,bitmap,,,
1,Internal,ROOM01.DXR,30,bitmap,,,
1,Internal,ROOM01.DXR,31,bitmap,,,
1,Internal,ROOM01.DXR,32,bitmap,,,
1,Internal,ROOM01.DXR,33,bitmap,,,
1,Internal,ROOM01.DXR,34,bitmap,,,
1,Internal,ROOM01.DXR,35,bitmap,,,
1,Internal,ROOM01.DXR,36,bitmap,,,
1,Internal,ROOM01.DXR,37,bitmap,,,
1,Internal,ROOM01.DXR,38,bitmap,,,
1,Internal,ROOM01.DXR,39,bitmap,,,
1,Internal,ROOM01.DXR,40,bitmap,,,
1,Internal,ROOM01.DXR,41,bitmap,,,
1,Internal,ROOM01.DXR,42,bitmap,,,
1,Internal,ROOM01.DXR,43,bitmap,,,
1,Internal,ROOM01.DXR,44,bitmap,,,
1,Internal,ROOM01.DXR,45,bitmap,,,
1,Internal,ROOM01.DXR,46,script,,,
1,Internal,ROOM01.DXR,47,script,,,
1,Internal,ROOM01.DXR,48,script,,,
1,Internal,ROOM01.DXR,49,script,,,
1,Internal,ROOM01.DXR,50,transition,,,
1,Internal,ROOM01.DXR,51,script,,,
1,Internal,ROOM01.DXR,52,script,,,
1,Internal,ROOM01.DXR,53,script,,,
1,Internal,ROOM01.DXR,54,script,,,
1,Internal,ROOM01.DXR,55,script,,,
1,Internal,ROOM01.DXR,56,script,,,
1,Internal,ROOM01.DXR,57,script,,,
1,Internal,ROOM01.DXR,58,script,,,
1,Internal,ROOM01.DXR,59,sound,‡Ø«¢ÔÓ‚∆,,
1,Internal,ROOM01.DXR,60,sound,ÛÈ‚ä‚˛,,
1,Internal,ROOM01.DXR,61,sound,È‹«ùÈ «ÀËÑ«ê«»,,
1,Internal,ROOM01.DXR,62,sound,drum55,,
2,ItmOce.cst,ItmOce.cxt,1,bitmap,Kago,,
2,ItmOce.cst,ItmOce.cxt,2,bitmap,Kiwi,,
2,ItmOce.cst,ItmOce.cxt,3,bitmap,Box,,
2,ItmOce.cst,ItmOce.cxt,4,bitmap,Barikan,,
2,ItmOce.cst,ItmOce.cxt,5,bitmap,Uool,,
2,ItmOce.cst,ItmOce.cxt,6,bitmap,Flute,,
2,ItmOce.cst,ItmOce.cxt,7,bitmap,Tebukuro,,
2,ItmOce.cst,ItmOce.cxt,9,bitmap,oparl,,
2,ItmOce.cst,ItmOce.cxt,10,bitmap,koruku,,
2,ItmOce.cst,ItmOce.cxt,11,bitmap,bumeran,,
2,ItmOce.cst,ItmOce.cxt,12,bitmap,star,,
2,ItmOce.cst,ItmOce.cxt,13,bitmap,rope,,
2,ItmOce.cst,ItmOce.cxt,14,bitmap,Kuji,,
2,ItmOce.cst,ItmOce.cxt,15,bitmap,Ticket,,
2,ItmOce.cst,ItmOce.cxt,16,bitmap,Cross,,
2,ItmOce.cst,ItmOce.cxt,17,bitmap,Kangol,,
2,ItmOce.cst,ItmOce.cxt,18,bitmap,Ucari,,
2,ItmOce.cst,ItmOce.cxt,19,bitmap,Scuva,,
2,ItmOce.cst,ItmOce.cxt,20,bitmap,Nata,,
2,ItmOce.cst,ItmOce.cxt,22,bitmap,Pict,,
2,ItmOce.cst,ItmOce.cxt,23,bitmap,ju,,
2,ItmOce.cst,ItmOce.cxt,24,bitmap,Fue,,
2,ItmOce.cst,ItmOce.cxt,25,bitmap,Sango,,
2,ItmOce.cst,ItmOce.cxt,26,bitmap,Tonkachi,,
2,ItmOce.cst,ItmOce.cxt,27,bitmap,OceKey,,
2,ItmOce.cst,ItmOce.cxt,51,bitmap,CurKago,,
2,ItmOce.cst,ItmOce.cxt,52,bitmap,CurKiwi,,
2,ItmOce.cst,ItmOce.cxt,53,bitmap,CurFlute,,
2,ItmOce.cst,ItmOce.cxt,54,bitmap,CurBox,,
2,ItmOce.cst,ItmOce.cxt,55,bitmap,CurBarikan,,
2,ItmOce.cst,ItmOce.cxt,56,bitmap,CurUool,,
2,ItmOce.cst,ItmOce.cxt,57,bitmap,CurKuji,,
2,ItmOce.cst,ItmOce.cxt,58,bitmap,CurTicket,,
2,ItmOce.cst,ItmOce.cxt,59,bitmap,CurCross,,
2,ItmOce.cst,ItmOce.cxt,60,bitmap,CurKangol,,
2,ItmOce.cst,ItmOce.cxt,61,bitmap,CurUcari,,
2,ItmOce.cst,ItmOce.cxt,62,bitmap,CurNata,,
2,ItmOce.cst,ItmOce.cxt,63,bitmap,CurKoruku,,
2,ItmOce.cst,ItmOce.cxt,64,bitmap,CurRope,,
2,ItmOce.cst,ItmOce.cxt,65,bitmap,CurStar,,
2,ItmOce.cst,ItmOce.cxt,66,bitmap,CurBumeran,,
2,ItmOce.cst,ItmOce.cxt,67,bitmap,CurJu,,
2,ItmOce.cst,ItmOce.cxt,68,bitmap,CurScuva,,
2,ItmOce.cst,ItmOce.cxt,69,bitmap,CurFue,,
2,ItmOce.cst,ItmOce.cxt,70,bitmap,CurSango,,
2,ItmOce.cst,ItmOce.cxt,71,bitmap,CurTonkachi,,
2,ItmOce.cst,ItmOce.cxt,72,bitmap,CurPict,,
2,ItmOce.cst,ItmOce.cxt,73,bitmap,CurTebukuro,,
2,ItmOce.cst,ItmOce.cxt,74,bitmap,Curoparl,,
2,ItmOce.cst,ItmOce.cxt,100,bitmap,FlashCurKago,,
2,ItmOce.cst,ItmOce.cxt,101,bitmap,FlashCurKiwi,,
2,ItmOce.cst,ItmOce.cxt,102,bitmap,FlashCurFlute,,
2,ItmOce.cst,ItmOce.cxt,103,bitmap,FlashCurBox,,
2,ItmOce.cst,ItmOce.cxt,104,bitmap,FlashCurBarikan,,
2,ItmOce.cst,ItmOce.cxt,105,bitmap,FlashCurUool,,
2,ItmOce.cst,ItmOce.cxt,106,bitmap,FlashCurKuji,,
2,ItmOce.cst,ItmOce.cxt,107,bitmap,FlashCurCross,,
2,ItmOce.cst,ItmOce.cxt,108,bitmap,FlashCurKangol,,
2,ItmOce.cst,ItmOce.cxt,109,bitmap,FlashCurTicket,,
2,ItmOce.cst,ItmOce.cxt,110,bitmap,FlashCurUcari,,
2,ItmOce.cst,ItmOce.cxt,111,bitmap,FlashCurNata,,
2,ItmOce.cst,ItmOce.cxt,112,bitmap,FlashCurKoruku,,
2,ItmOce.cst,ItmOce.cxt,113,bitmap,FlashCurRope,,
2,ItmOce.cst,ItmOce.cxt,114,bitmap,FlashCurStar,,
2,ItmOce.cst,ItmOce.cxt,115,bitmap,FlashCurBumeran,,
2,ItmOce.cst,ItmOce.cxt,116,bitmap,FlashCurJu,,
2,ItmOce.cst,ItmOce.cxt,117,bitmap,FlashCurScuva,,
2,ItmOce.cst,ItmOce.cxt,118,bitmap,FlashCurFue,,
2,ItmOce.cst,ItmOce.cxt,119,bitmap,FlashCurSango,,
2,ItmOce.cst,ItmOce.cxt,120,bitmap,FlashCurTonkachi,,
2,ItmOce.cst,ItmOce.cxt,121,bitmap,FlashCurPict,,
2,ItmOce.cst,ItmOce.cxt,122,bitmap,FlashCurTebukuro,,
2,ItmOce.cst,ItmOce.cxt,123,bitmap,FlashCuroparl,,
2,ItmOce.cst,ItmOce.cxt,124,sound,Sound 124,,
3,Fer.Cst,Fer.cxt,1,filmLoop,feretAct.dir,,
3,Fer.Cst,Fer.cxt,2,filmLoop,ferRunL,,
3,Fer.Cst,Fer.cxt,3,bitmap,,,
3,Fer.Cst,Fer.cxt,4,bitmap,,,
3,Fer.Cst,Fer.cxt,5,bitmap,,,
3,Fer.Cst,Fer.cxt,6,bitmap,,,
3,Fer.Cst,Fer.cxt,7,bitmap,,,
3,Fer.Cst,Fer.cxt,8,bitmap,,,
3,Fer.Cst,Fer.cxt,9,bitmap,,,
3,Fer.Cst,Fer.cxt,10,filmLoop,ferRunR,,
3,Fer.Cst,Fer.cxt,11,bitmap,,,
3,Fer.Cst,Fer.cxt,12,bitmap,,,
3,Fer.Cst,Fer.cxt,13,bitmap,,,
3,Fer.Cst,Fer.cxt,14,bitmap,,,
3,Fer.Cst,Fer.cxt,15,bitmap,,,
3,Fer.Cst,Fer.cxt,16,bitmap,,,
3,Fer.Cst,Fer.cxt,17,bitmap,,,
3,Fer.Cst,Fer.cxt,18,filmLoop,ferRunF,,
3,Fer.Cst,Fer.cxt,19,bitmap,,,
3,Fer.Cst,Fer.cxt,20,bitmap,,,
3,Fer.Cst,Fer.cxt,21,bitmap,,,
3,Fer.Cst,Fer.cxt,22,bitmap,,,
3,Fer.Cst,Fer.cxt,23,bitmap,,,
3,Fer.Cst,Fer.cxt,24,bitmap,,,
3,Fer.Cst,Fer.cxt,25,bitmap,,,
3,Fer.Cst,Fer.cxt,26,filmLoop,ferRunB,,
3,Fer.Cst,Fer.cxt,27,bitmap,,,
3,Fer.Cst,Fer.cxt,28,bitmap,,,
3,Fer.Cst,Fer.cxt,29,bitmap,,,
3,Fer.Cst,Fer.cxt,30,bitmap,,,
3,Fer.Cst,Fer.cxt,31,bitmap,,,
3,Fer.Cst,Fer.cxt,32,bitmap,,,
3,Fer.Cst,Fer.cxt,33,bitmap,,,
3,Fer.Cst,Fer.cxt,34,bitmap,ferStopL,,
3,Fer.Cst,Fer.cxt,35,bitmap,ferStopR,,
3,Fer.Cst,Fer.cxt,100,bitmap,Fer,,
3,Fer.Cst,Fer.cxt,101,bitmap,FlashFer,,
3,Fer.Cst,Fer.cxt,102,sound,058,,
3,Fer.Cst,Fer.cxt,103,sound,…W…·≈[…W,,
4,Fox.Cst,Fox.cxt,1,filmLoop,FOXWALK.DIR,,
4,Fox.Cst,Fox.cxt,2,sound,choVoice,,
4,Fox.Cst,Fox.cxt,3,bitmap,,,
4,Fox.Cst,Fox.cxt,4,bitmap,,,
4,Fox.Cst,Fox.cxt,5,bitmap,,,
4,Fox.Cst,Fox.cxt,6,bitmap,,,
4,Fox.Cst,Fox.cxt,7,bitmap,,,
4,Fox.Cst,Fox.cxt,8,bitmap,,,
4,Fox.Cst,Fox.cxt,9,bitmap,,,
4,Fox.Cst,Fox.cxt,10,bitmap,,,
4,Fox.Cst,Fox.cxt,11,bitmap,,,
4,Fox.Cst,Fox.cxt,13,script,,,
4,Fox.Cst,Fox.cxt,14,filmLoop,ChoRunF,,
4,Fox.Cst,Fox.cxt,15,bitmap,,,
4,Fox.Cst,Fox.cxt,16,bitmap,,,
4,Fox.Cst,Fox.cxt,17,bitmap,,,
4,Fox.Cst,Fox.cxt,18,bitmap,,,
4,Fox.Cst,Fox.cxt,19,bitmap,,,
4,Fox.Cst,Fox.cxt,20,bitmap,,,
4,Fox.Cst,Fox.cxt,21,bitmap,,,
4,Fox.Cst,Fox.cxt,22,bitmap,,,
4,Fox.Cst,Fox.cxt,23,bitmap,,,
4,Fox.Cst,Fox.cxt,24,filmLoop,ChoRunB,,
4,Fox.Cst,Fox.cxt,25,bitmap,,,
4,Fox.Cst,Fox.cxt,26,bitmap,,,
4,Fox.Cst,Fox.cxt,27,bitmap,,,
4,Fox.Cst,Fox.cxt,28,bitmap,,,
4,Fox.Cst,Fox.cxt,29,bitmap,,,
4,Fox.Cst,Fox.cxt,30,filmLoop,ChoRunR,,
4,Fox.Cst,Fox.cxt,31,bitmap,,,
4,Fox.Cst,Fox.cxt,32,bitmap,,,
4,Fox.Cst,Fox.cxt,33,bitmap,,,
4,Fox.Cst,Fox.cxt,34,bitmap,,,
4,Fox.Cst,Fox.cxt,35,bitmap,,,
4,Fox.Cst,Fox.cxt,36,bitmap,,,
4,Fox.Cst,Fox.cxt,37,bitmap,,,
4,Fox.Cst,Fox.cxt,38,bitmap,,,
4,Fox.Cst,Fox.cxt,39,bitmap,,,
4,Fox.Cst,Fox.cxt,40,filmLoop,ChoRunL,,
4,Fox.Cst,Fox.cxt,41,bitmap,ChoStopL,,
4,Fox.Cst,Fox.cxt,42,bitmap,ChoStopR,,
4,Fox.Cst,Fox.cxt,43,bitmap,,,
4,Fox.Cst,Fox.cxt,44,bitmap,,,
4,Fox.Cst,Fox.cxt,45,bitmap,,,
4,Fox.Cst,Fox.cxt,46,bitmap,,,
4,Fox.Cst,Fox.cxt,47,bitmap,,,
4,Fox.Cst,Fox.cxt,48,bitmap,,,
4,Fox.Cst,Fox.cxt,49,filmLoop,ChoGetL,,
4,Fox.Cst,Fox.cxt,50,bitmap,,,
4,Fox.Cst,Fox.cxt,51,bitmap,,,
4,Fox.Cst,Fox.cxt,52,bitmap,,,
4,Fox.Cst,Fox.cxt,53,bitmap,,,
4,Fox.Cst,Fox.cxt,54,bitmap,,,
4,Fox.Cst,Fox.cxt,55,bitmap,,,
4,Fox.Cst,Fox.cxt,56,filmLoop,ChoGetR,,
4,Fox.Cst,Fox.cxt,57,filmLoop,ChoPunchL,,
4,Fox.Cst,Fox.cxt,58,bitmap,,,
4,Fox.Cst,Fox.cxt,59,bitmap,,,
4,Fox.Cst,Fox.cxt,60,bitmap,,,
4,Fox.Cst,Fox.cxt,61,bitmap,,,
4,Fox.Cst,Fox.cxt,62,bitmap,,,
4,Fox.Cst,Fox.cxt,63,bitmap,,,
4,Fox.Cst,Fox.cxt,64,bitmap,,,
4,Fox.Cst,Fox.cxt,65,bitmap,,,
4,Fox.Cst,Fox.cxt,66,bitmap,,,
4,Fox.Cst,Fox.cxt,67,bitmap,,,
4,Fox.Cst,Fox.cxt,68,bitmap,,,
4,Fox.Cst,Fox.cxt,69,bitmap,,,
4,Fox.Cst,Fox.cxt,70,filmLoop,ChoPunchR,,
4,Fox.Cst,Fox.cxt,71,filmLoop,FOXWALK.DIR,,
4,Fox.Cst,Fox.cxt,72,filmLoop,ChoWalkF,,
4,Fox.Cst,Fox.cxt,73,filmLoop,ChoWalkB,,
4,Fox.Cst,Fox.cxt,74,filmLoop,ChoWalkR,,
4,Fox.Cst,Fox.cxt,75,filmLoop,ChoWalkL,,
4,Fox.Cst,Fox.cxt,76,filmLoop,ChoGetL,,
