CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,WAVEROCK.DXR,1,bitmap,,,
1,Internal,WAVEROCK.DXR,2,filmLoop,eLoop,,
1,Internal,WAVEROCK.DXR,3,bitmap,,,
1,Internal,WAVEROCK.DXR,4,bitmap,,,
1,Internal,WAVEROCK.DXR,5,bitmap,,,
1,Internal,WAVEROCK.DXR,6,bitmap,,,
1,Internal,WAVEROCK.DXR,7,bitmap,,,
1,Internal,WAVEROCK.DXR,8,script,,,
1,Internal,WAVEROCK.DXR,9,bitmap,,,
1,Internal,WAVEROCK.DXR,10,bitmap,,,
1,Internal,WAVEROCK.DXR,11,bitmap,,,
1,Internal,WAVEROCK.DXR,12,bitmap,,,
1,Internal,WAVEROCK.DXR,13,bitmap,,,
1,Internal,WAVEROCK.DXR,14,bitmap,,,
1,Internal,WAVEROCK.DXR,15,bitmap,,,
1,Internal,WAVEROCK.DXR,16,bitmap,,,
1,Internal,WAVEROCK.DXR,17,bitmap,,,
1,Internal,WAVEROCK.DXR,18,bitmap,,,
1,Internal,WAVEROCK.DXR,19,bitmap,,,
1,Internal,WAVEROCK.DXR,20,bitmap,,,
1,Internal,WAVEROCK.DXR,21,bitmap,,,
1,Internal,WAVEROCK.DXR,22,bitmap,,,
1,Internal,WAVEROCK.DXR,23,bitmap,,,
1,Internal,WAVEROCK.DXR,24,bitmap,,,
1,Internal,WAVEROCK.DXR,25,filmLoop,«ã«Ã«»,,
1,Internal,WAVEROCK.DXR,26,bitmap,,,
1,Internal,WAVEROCK.DXR,27,bitmap,,,
1,Internal,WAVEROCK.DXR,28,bitmap,,,
1,Internal,WAVEROCK.DXR,29,bitmap,,,
1,Internal,WAVEROCK.DXR,30,bitmap,,,
1,Internal,WAVEROCK.DXR,31,bitmap,,,
1,Internal,WAVEROCK.DXR,32,bitmap,,,
1,Internal,WAVEROCK.DXR,33,bitmap,,,
1,Internal,WAVEROCK.DXR,34,bitmap,,,
1,Internal,WAVEROCK.DXR,35,bitmap,,,
1,Internal,WAVEROCK.DXR,36,bitmap,,,
1,Internal,WAVEROCK.DXR,37,bitmap,,,
1,Internal,WAVEROCK.DXR,38,bitmap,,,
1,Internal,WAVEROCK.DXR,39,bitmap,,,
1,Internal,WAVEROCK.DXR,40,bitmap,,,
1,Internal,WAVEROCK.DXR,41,bitmap,,,
1,Internal,WAVEROCK.DXR,42,filmLoop,«˝«˝«ﬁ«Ä«∂«õ«Ñ≈[,,
