CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,FINAL.DXR,1,bitmap,,,
1,Internal,FINAL.DXR,2,bitmap,,,
1,Internal,FINAL.DXR,3,bitmap,,,
1,Internal,FINAL.DXR,4,bitmap,,,
1,Internal,FINAL.DXR,5,bitmap,,,
1,Internal,FINAL.DXR,6,bitmap,,,
1,Internal,FINAL.DXR,7,bitmap,,,
1,Internal,FINAL.DXR,8,bitmap,,,
1,Internal,FINAL.DXR,9,bitmap,,,
1,Internal,FINAL.DXR,10,bitmap,,,
1,Internal,FINAL.DXR,11,bitmap,,,
1,Internal,FINAL.DXR,12,bitmap,,,
1,Internal,FINAL.DXR,13,bitmap,,,
1,Internal,FINAL.DXR,14,bitmap,,,
1,Internal,FINAL.DXR,15,bitmap,,,
1,Internal,FINAL.DXR,16,bitmap,,,
1,Internal,FINAL.DXR,17,bitmap,,,
1,Internal,FINAL.DXR,18,bitmap,,,
1,Internal,FINAL.DXR,19,bitmap,,,
1,Internal,FINAL.DXR,20,bitmap,,,
1,Internal,FINAL.DXR,21,bitmap,,,
1,Internal,FINAL.DXR,22,bitmap,,,
1,Internal,FINAL.DXR,23,bitmap,,,
1,Internal,FINAL.DXR,24,bitmap,,,
1,Internal,FINAL.DXR,25,bitmap,,,
1,Internal,FINAL.DXR,26,bitmap,,,
1,Internal,FINAL.DXR,27,bitmap,,,
1,Internal,FINAL.DXR,28,bitmap,,,
1,Internal,FINAL.DXR,29,bitmap,,,
1,Internal,FINAL.DXR,30,bitmap,,,
1,Internal,FINAL.DXR,31,bitmap,,,
1,Internal,FINAL.DXR,32,bitmap,,,
1,Internal,FINAL.DXR,33,bitmap,,,
1,Internal,FINAL.DXR,34,bitmap,,,
1,Internal,FINAL.DXR,35,bitmap,,,
1,Internal,FINAL.DXR,36,bitmap,,,
1,Internal,FINAL.DXR,37,bitmap,,,
1,Internal,FINAL.DXR,38,bitmap,,,
1,Internal,FINAL.DXR,39,bitmap,,,
1,Internal,FINAL.DXR,40,bitmap,,,
1,Internal,FINAL.DXR,41,bitmap,,,
1,Internal,FINAL.DXR,42,bitmap,,,
1,Internal,FINAL.DXR,43,bitmap,,,
1,Internal,FINAL.DXR,44,bitmap,,,
1,Internal,FINAL.DXR,45,bitmap,,,
1,Internal,FINAL.DXR,46,bitmap,,,
1,Internal,FINAL.DXR,47,bitmap,,,
1,Internal,FINAL.DXR,48,bitmap,,,
1,Internal,FINAL.DXR,49,bitmap,,,
1,Internal,FINAL.DXR,50,bitmap,,,
1,Internal,FINAL.DXR,51,bitmap,,,
1,Internal,FINAL.DXR,52,bitmap,,,
1,Internal,FINAL.DXR,53,bitmap,,,
1,Internal,FINAL.DXR,54,bitmap,,,
1,Internal,FINAL.DXR,55,bitmap,,,
1,Internal,FINAL.DXR,56,bitmap,,,
1,Internal,FINAL.DXR,57,bitmap,,,
1,Internal,FINAL.DXR,58,bitmap,,,
1,Internal,FINAL.DXR,59,bitmap,,,
1,Internal,FINAL.DXR,60,bitmap,,,
1,Internal,FINAL.DXR,61,bitmap,,,
1,Internal,FINAL.DXR,62,bitmap,,,
1,Internal,FINAL.DXR,63,bitmap,,,
1,Internal,FINAL.DXR,64,bitmap,,,
1,Internal,FINAL.DXR,65,bitmap,,,
1,Internal,FINAL.DXR,66,bitmap,,,
1,Internal,FINAL.DXR,67,bitmap,,,
1,Internal,FINAL.DXR,68,bitmap,,,
1,Internal,FINAL.DXR,69,bitmap,,,
1,Internal,FINAL.DXR,70,bitmap,,,
1,Internal,FINAL.DXR,71,bitmap,,,
1,Internal,FINAL.DXR,72,bitmap,,,
1,Internal,FINAL.DXR,73,bitmap,,,
1,Internal,FINAL.DXR,74,bitmap,,,
1,Internal,FINAL.DXR,75,bitmap,,,
1,Internal,FINAL.DXR,76,bitmap,,,
1,Internal,FINAL.DXR,77,bitmap,,,
1,Internal,FINAL.DXR,78,bitmap,…I…p≈[…„«√Â∆2,,
1,Internal,FINAL.DXR,79,bitmap,,,
1,Internal,FINAL.DXR,80,bitmap,,,
1,Internal,FINAL.DXR,81,bitmap,,,
1,Internal,FINAL.DXR,82,bitmap,,,
1,Internal,FINAL.DXR,83,bitmap,,,
1,Internal,FINAL.DXR,84,bitmap,,,
1,Internal,FINAL.DXR,85,bitmap,,,
1,Internal,FINAL.DXR,86,bitmap,,,
1,Internal,FINAL.DXR,87,bitmap,,,
1,Internal,FINAL.DXR,88,bitmap,,,
1,Internal,FINAL.DXR,89,bitmap,,,
1,Internal,FINAL.DXR,90,bitmap,,,
1,Internal,FINAL.DXR,91,bitmap,,,
1,Internal,FINAL.DXR,92,bitmap,,,
1,Internal,FINAL.DXR,93,bitmap,,,
1,Internal,FINAL.DXR,94,bitmap,,,
1,Internal,FINAL.DXR,95,bitmap,,,
1,Internal,FINAL.DXR,96,bitmap,,,
1,Internal,FINAL.DXR,97,filmLoop,(…I…p≈[…„ËÑ«ô«°«É«¢«ç)01,,
1,Internal,FINAL.DXR,98,bitmap,,,
1,Internal,FINAL.DXR,99,bitmap,,,
1,Internal,FINAL.DXR,100,bitmap,,,
1,Internal,FINAL.DXR,101,bitmap,,,
1,Internal,FINAL.DXR,102,bitmap,,,
1,Internal,FINAL.DXR,103,bitmap,,,
1,Internal,FINAL.DXR,104,bitmap,,,
1,Internal,FINAL.DXR,105,bitmap,,,
1,Internal,FINAL.DXR,106,bitmap,,,
1,Internal,FINAL.DXR,107,bitmap,,,
1,Internal,FINAL.DXR,108,bitmap,,,
1,Internal,FINAL.DXR,109,bitmap,,,
1,Internal,FINAL.DXR,110,bitmap,,,
1,Internal,FINAL.DXR,111,bitmap,,,
1,Internal,FINAL.DXR,112,bitmap,,,
1,Internal,FINAL.DXR,113,bitmap,,,
1,Internal,FINAL.DXR,114,bitmap,,,
1,Internal,FINAL.DXR,115,bitmap,,,
1,Internal,FINAL.DXR,116,bitmap,,,
1,Internal,FINAL.DXR,117,bitmap,,,
1,Internal,FINAL.DXR,118,filmLoop,mawaru back,,
1,Internal,FINAL.DXR,119,bitmap,,,
1,Internal,FINAL.DXR,120,bitmap,,,
1,Internal,FINAL.DXR,121,bitmap,,,
1,Internal,FINAL.DXR,122,bitmap,,,
1,Internal,FINAL.DXR,123,bitmap,,,
1,Internal,FINAL.DXR,124,bitmap,,,
1,Internal,FINAL.DXR,125,bitmap,,,
1,Internal,FINAL.DXR,126,bitmap,,,
1,Internal,FINAL.DXR,127,bitmap,,,
1,Internal,FINAL.DXR,128,bitmap,,,
1,Internal,FINAL.DXR,129,bitmap,,,
1,Internal,FINAL.DXR,130,bitmap,,,
1,Internal,FINAL.DXR,131,bitmap,,,
1,Internal,FINAL.DXR,132,bitmap,,,
1,Internal,FINAL.DXR,133,bitmap,,,
1,Internal,FINAL.DXR,134,bitmap,,,
1,Internal,FINAL.DXR,135,bitmap,,,
1,Internal,FINAL.DXR,136,bitmap,,,
1,Internal,FINAL.DXR,137,bitmap,,,
1,Internal,FINAL.DXR,138,bitmap,,,
1,Internal,FINAL.DXR,139,bitmap,,,
1,Internal,FINAL.DXR,140,bitmap,,,
1,Internal,FINAL.DXR,141,bitmap,,,
1,Internal,FINAL.DXR,142,bitmap,,,
1,Internal,FINAL.DXR,143,bitmap,,,
1,Internal,FINAL.DXR,144,bitmap,,,
1,Internal,FINAL.DXR,145,bitmap,,,
1,Internal,FINAL.DXR,146,bitmap,,,
1,Internal,FINAL.DXR,147,bitmap,,,
1,Internal,FINAL.DXR,148,bitmap,,,
1,Internal,FINAL.DXR,149,bitmap,,,
1,Internal,FINAL.DXR,150,bitmap,,,
1,Internal,FINAL.DXR,151,bitmap,,,
1,Internal,FINAL.DXR,152,bitmap,,,
1,Internal,FINAL.DXR,153,bitmap,,,
1,Internal,FINAL.DXR,154,bitmap,,,
1,Internal,FINAL.DXR,155,bitmap,,,
1,Internal,FINAL.DXR,156,bitmap,,,
1,Internal,FINAL.DXR,157,bitmap,,,
1,Internal,FINAL.DXR,158,bitmap,,,
1,Internal,FINAL.DXR,159,bitmap,,,
1,Internal,FINAL.DXR,160,bitmap,,,
1,Internal,FINAL.DXR,161,bitmap,,,
1,Internal,FINAL.DXR,162,bitmap,,,
1,Internal,FINAL.DXR,163,bitmap,,,
1,Internal,FINAL.DXR,164,bitmap,,,
1,Internal,FINAL.DXR,165,bitmap,,,
1,Internal,FINAL.DXR,166,bitmap,,,
1,Internal,FINAL.DXR,167,bitmap,,,
1,Internal,FINAL.DXR,168,bitmap,,,
1,Internal,FINAL.DXR,169,bitmap,,,
1,Internal,FINAL.DXR,170,bitmap,,,
1,Internal,FINAL.DXR,171,bitmap,,,
1,Internal,FINAL.DXR,172,bitmap,,,
1,Internal,FINAL.DXR,173,bitmap,,,
1,Internal,FINAL.DXR,174,bitmap,,,
1,Internal,FINAL.DXR,175,bitmap,,,
1,Internal,FINAL.DXR,176,bitmap,,,
1,Internal,FINAL.DXR,177,bitmap,,,
1,Internal,FINAL.DXR,178,bitmap,,,
1,Internal,FINAL.DXR,179,bitmap,,,
1,Internal,FINAL.DXR,180,bitmap,,,
1,Internal,FINAL.DXR,181,bitmap,,,
1,Internal,FINAL.DXR,182,bitmap,,,
1,Internal,FINAL.DXR,183,bitmap,,,
1,Internal,FINAL.DXR,184,bitmap,,,
1,Internal,FINAL.DXR,185,bitmap,,,
1,Internal,FINAL.DXR,186,bitmap,,,
1,Internal,FINAL.DXR,187,bitmap,,,
1,Internal,FINAL.DXR,188,bitmap,,,
1,Internal,FINAL.DXR,189,bitmap,,,
1,Internal,FINAL.DXR,190,bitmap,,,
1,Internal,FINAL.DXR,191,bitmap,,,
1,Internal,FINAL.DXR,192,bitmap,,,
1,Internal,FINAL.DXR,193,bitmap,,,
1,Internal,FINAL.DXR,194,bitmap,,,
1,Internal,FINAL.DXR,195,bitmap,,,
1,Internal,FINAL.DXR,196,bitmap,,,
1,Internal,FINAL.DXR,197,bitmap,,,
1,Internal,FINAL.DXR,198,bitmap,,,
1,Internal,FINAL.DXR,199,bitmap,,,
1,Internal,FINAL.DXR,200,bitmap,,,
1,Internal,FINAL.DXR,201,bitmap,,,
1,Internal,FINAL.DXR,202,bitmap,,,
1,Internal,FINAL.DXR,203,bitmap,,,
1,Internal,FINAL.DXR,204,bitmap,,,
1,Internal,FINAL.DXR,205,bitmap,,,
1,Internal,FINAL.DXR,206,bitmap,,,
1,Internal,FINAL.DXR,207,bitmap,,,
1,Internal,FINAL.DXR,208,bitmap,,,
1,Internal,FINAL.DXR,209,bitmap,,,
1,Internal,FINAL.DXR,210,bitmap,,,
1,Internal,FINAL.DXR,211,bitmap,,,
1,Internal,FINAL.DXR,212,bitmap,,,
1,Internal,FINAL.DXR,213,bitmap,,,
1,Internal,FINAL.DXR,214,bitmap,,,
1,Internal,FINAL.DXR,215,bitmap,,,
1,Internal,FINAL.DXR,216,bitmap,,,
1,Internal,FINAL.DXR,217,bitmap,,,
1,Internal,FINAL.DXR,218,bitmap,,,
1,Internal,FINAL.DXR,219,bitmap,,,
1,Internal,FINAL.DXR,220,bitmap,,,
1,Internal,FINAL.DXR,221,bitmap,,,
1,Internal,FINAL.DXR,222,bitmap,,,
1,Internal,FINAL.DXR,223,bitmap,,,
1,Internal,FINAL.DXR,224,bitmap,,,
1,Internal,FINAL.DXR,225,bitmap,,,
1,Internal,FINAL.DXR,226,bitmap,,,
1,Internal,FINAL.DXR,227,bitmap,,,
1,Internal,FINAL.DXR,228,bitmap,,,
1,Internal,FINAL.DXR,229,bitmap,,,
1,Internal,FINAL.DXR,230,bitmap,,,
1,Internal,FINAL.DXR,231,bitmap,,,
1,Internal,FINAL.DXR,232,bitmap,,,
1,Internal,FINAL.DXR,233,bitmap,,,
1,Internal,FINAL.DXR,234,bitmap,,,
1,Internal,FINAL.DXR,235,bitmap,,,
1,Internal,FINAL.DXR,236,bitmap,,,
1,Internal,FINAL.DXR,237,bitmap,,,
1,Internal,FINAL.DXR,238,bitmap,,,
1,Internal,FINAL.DXR,239,bitmap,,,
1,Internal,FINAL.DXR,240,bitmap,,,
1,Internal,FINAL.DXR,241,bitmap,,,
1,Internal,FINAL.DXR,242,bitmap,,,
1,Internal,FINAL.DXR,243,bitmap,,,
1,Internal,FINAL.DXR,244,bitmap,,,
1,Internal,FINAL.DXR,245,bitmap,,,
1,Internal,FINAL.DXR,246,bitmap,,,
1,Internal,FINAL.DXR,247,bitmap,,,
1,Internal,FINAL.DXR,248,bitmap,,,
1,Internal,FINAL.DXR,249,bitmap,,,
1,Internal,FINAL.DXR,250,bitmap,,,
1,Internal,FINAL.DXR,251,bitmap,,,
1,Internal,FINAL.DXR,252,bitmap,,,
1,Internal,FINAL.DXR,253,bitmap,,,
1,Internal,FINAL.DXR,254,bitmap,,,
1,Internal,FINAL.DXR,255,bitmap,,,
1,Internal,FINAL.DXR,256,bitmap,,,
1,Internal,FINAL.DXR,257,bitmap,,,
1,Internal,FINAL.DXR,258,bitmap,,,
1,Internal,FINAL.DXR,259,bitmap,,,
1,Internal,FINAL.DXR,260,bitmap,,,
1,Internal,FINAL.DXR,261,bitmap,,,
1,Internal,FINAL.DXR,262,bitmap,,,
1,Internal,FINAL.DXR,263,bitmap,,,
1,Internal,FINAL.DXR,264,bitmap,,,
1,Internal,FINAL.DXR,265,bitmap,,,
1,Internal,FINAL.DXR,266,bitmap,,,
1,Internal,FINAL.DXR,267,bitmap,,,
1,Internal,FINAL.DXR,268,bitmap,,,
1,Internal,FINAL.DXR,269,bitmap,,,
1,Internal,FINAL.DXR,270,bitmap,,,
1,Internal,FINAL.DXR,271,bitmap,,,
1,Internal,FINAL.DXR,272,bitmap,,,
1,Internal,FINAL.DXR,273,bitmap,,,
1,Internal,FINAL.DXR,274,bitmap,,,
1,Internal,FINAL.DXR,275,bitmap,,,
1,Internal,FINAL.DXR,276,bitmap,,,
1,Internal,FINAL.DXR,277,bitmap,,,
1,Internal,FINAL.DXR,278,bitmap,,,
1,Internal,FINAL.DXR,279,bitmap,,,
1,Internal,FINAL.DXR,280,bitmap,,,
1,Internal,FINAL.DXR,281,bitmap,,,
1,Internal,FINAL.DXR,282,bitmap,,,
1,Internal,FINAL.DXR,283,bitmap,,,
1,Internal,FINAL.DXR,284,bitmap,,,
1,Internal,FINAL.DXR,285,bitmap,,,
1,Internal,FINAL.DXR,286,bitmap,,,
1,Internal,FINAL.DXR,287,bitmap,,,
1,Internal,FINAL.DXR,288,bitmap,,,
1,Internal,FINAL.DXR,289,bitmap,,,
1,Internal,FINAL.DXR,290,bitmap,,,
1,Internal,FINAL.DXR,291,bitmap,,,
1,Internal,FINAL.DXR,292,bitmap,,,
1,Internal,FINAL.DXR,293,bitmap,,,
1,Internal,FINAL.DXR,294,bitmap,,,
1,Internal,FINAL.DXR,295,bitmap,,,
1,Internal,FINAL.DXR,296,bitmap,,,
1,Internal,FINAL.DXR,297,bitmap,,,
1,Internal,FINAL.DXR,298,bitmap,,,
1,Internal,FINAL.DXR,299,bitmap,,,
1,Internal,FINAL.DXR,300,bitmap,,,
1,Internal,FINAL.DXR,301,bitmap,,,
1,Internal,FINAL.DXR,302,bitmap,,,
1,Internal,FINAL.DXR,303,bitmap,,,
1,Internal,FINAL.DXR,304,bitmap,,,
1,Internal,FINAL.DXR,305,bitmap,,,
1,Internal,FINAL.DXR,306,bitmap,,,
1,Internal,FINAL.DXR,307,bitmap,,,
1,Internal,FINAL.DXR,308,bitmap,,,
1,Internal,FINAL.DXR,309,bitmap,,,
1,Internal,FINAL.DXR,310,bitmap,,,
1,Internal,FINAL.DXR,311,bitmap,,,
1,Internal,FINAL.DXR,312,bitmap,,,
1,Internal,FINAL.DXR,313,bitmap,,,
1,Internal,FINAL.DXR,314,bitmap,,,
1,Internal,FINAL.DXR,315,bitmap,,,
1,Internal,FINAL.DXR,316,bitmap,,,
1,Internal,FINAL.DXR,317,bitmap,,,
1,Internal,FINAL.DXR,318,bitmap,,,
1,Internal,FINAL.DXR,319,bitmap,,,
1,Internal,FINAL.DXR,320,bitmap,,,
1,Internal,FINAL.DXR,321,bitmap,,,
1,Internal,FINAL.DXR,322,bitmap,,,
1,Internal,FINAL.DXR,323,bitmap,,,
1,Internal,FINAL.DXR,324,bitmap,,,
1,Internal,FINAL.DXR,325,bitmap,,,
1,Internal,FINAL.DXR,326,bitmap,,,
1,Internal,FINAL.DXR,327,bitmap,,,
1,Internal,FINAL.DXR,328,bitmap,,,
1,Internal,FINAL.DXR,329,bitmap,,,
1,Internal,FINAL.DXR,330,bitmap,,,
1,Internal,FINAL.DXR,331,bitmap,,,
1,Internal,FINAL.DXR,332,bitmap,,,
1,Internal,FINAL.DXR,333,bitmap,,,
1,Internal,FINAL.DXR,334,bitmap,,,
1,Internal,FINAL.DXR,335,bitmap,,,
1,Internal,FINAL.DXR,336,bitmap,,,
1,Internal,FINAL.DXR,337,bitmap,,,
1,Internal,FINAL.DXR,338,script,,,
1,Internal,FINAL.DXR,339,script,,,
1,Internal,FINAL.DXR,340,script,,,
1,Internal,FINAL.DXR,341,bitmap,,,
1,Internal,FINAL.DXR,342,bitmap,,,
1,Internal,FINAL.DXR,343,bitmap,,,
1,Internal,FINAL.DXR,344,bitmap,,,
1,Internal,FINAL.DXR,345,bitmap,,,
1,Internal,FINAL.DXR,346,bitmap,,,
1,Internal,FINAL.DXR,347,bitmap,,,
1,Internal,FINAL.DXR,348,bitmap,,,
1,Internal,FINAL.DXR,349,bitmap,,,
1,Internal,FINAL.DXR,350,bitmap,,,
1,Internal,FINAL.DXR,351,bitmap,,,
1,Internal,FINAL.DXR,352,bitmap,,,
1,Internal,FINAL.DXR,353,bitmap,,,
1,Internal,FINAL.DXR,354,bitmap,,,
1,Internal,FINAL.DXR,355,bitmap,,,
1,Internal,FINAL.DXR,356,bitmap,,,
1,Internal,FINAL.DXR,357,bitmap,,,
1,Internal,FINAL.DXR,358,bitmap,,,
1,Internal,FINAL.DXR,359,script,,,
1,Internal,FINAL.DXR,360,script,,,
1,Internal,FINAL.DXR,361,script,,,
1,Internal,FINAL.DXR,362,sound,*drum20,,
1,Internal,FINAL.DXR,363,transition,,,
1,Internal,FINAL.DXR,364,sound,oceania loop,,
1,Internal,FINAL.DXR,365,sound,ponVoice,,
1,Internal,FINAL.DXR,366,sound,056,,
1,Internal,FINAL.DXR,367,script,,,
1,Internal,FINAL.DXR,368,script,,,
1,Internal,FINAL.DXR,369,script,,,
2,NABELMES,NABELMES.cxt,1,bitmap,Chikyu_no_oheso_da,,
2,NABELMES,NABELMES.cxt,2,richText,,,
2,NABELMES,NABELMES.cxt,3,bitmap,itatata,,
2,NABELMES,NABELMES.cxt,4,bitmap,kokoha_doko,,
2,NABELMES,NABELMES.cxt,5,bitmap,tonikaku,,
2,NABELMES,NABELMES.cxt,7,richText,,,
2,NABELMES,NABELMES.cxt,8,bitmap,un-un,,
2,NABELMES,NABELMES.cxt,9,bitmap,ishi-ni-hasamatteru,,
2,NABELMES,NABELMES.cxt,10,bitmap,tasukete-ageyo,,
2,NABELMES,NABELMES.cxt,11,bitmap,daijyobu?,,
2,NABELMES,NABELMES.cxt,12,bitmap,arigato3,,
2,NABELMES,NABELMES.cxt,13,bitmap,opal-no-saikutsujo,,
2,NABELMES,NABELMES.cxt,14,bitmap,M2,,
2,NABELMES,NABELMES.cxt,15,richText,,,
2,NABELMES,NABELMES.cxt,16,transition,,,
2,NABELMES,NABELMES.cxt,17,bitmap,are-ha-nanndaro,,
2,NABELMES,NABELMES.cxt,18,bitmap,opa-ru-ga-teni,,
2,NABELMES,NABELMES.cxt,19,bitmap,jisinn-de,,
2,NABELMES,NABELMES.cxt,20,bitmap,yoshi-ittemiyo,,
2,NABELMES,NABELMES.cxt,21,richText,,,
2,NABELMES,NABELMES.cxt,22,bitmap,tabun-kokoha,,
2,NABELMES,NABELMES.cxt,23,bitmap,wa-yasei-no-dingo,,
2,NABELMES,NABELMES.cxt,24,bitmap,saki-ni-ikenai,,
2,NABELMES,NABELMES.cxt,25,bitmap,yosi-orega,,
2,NABELMES,NABELMES.cxt,26,richText,,,
2,NABELMES,NABELMES.cxt,27,bitmap,haittara-ikannbai,,
2,NABELMES,NABELMES.cxt,28,bitmap,seinaru-akasi,,
2,NABELMES,NABELMES.cxt,29,bitmap,oitati-no-e,,
2,NABELMES,NABELMES.cxt,30,bitmap,yoka-bai,,
2,NABELMES,NABELMES.cxt,31,richText,,,
2,NABELMES,NABELMES.cxt,32,bitmap,te-ga-itakute,,
2,NABELMES,NABELMES.cxt,33,richText,,,
2,NABELMES,NABELMES.cxt,34,bitmap,a-minami,,
2,NABELMES,NABELMES.cxt,35,bitmap,tuini,,
2,NABELMES,NABELMES.cxt,36,bitmap,korede,,
2,NABELMES,NABELMES.cxt,37,bitmap,M200,,
2,NABELMES,NABELMES.cxt,38,bitmap,M201,,
2,NABELMES,NABELMES.cxt,40,bitmap,kono-tonnneru,,
3,ItmOce.cst,ItmOce.cxt,1,bitmap,Kago,,
3,ItmOce.cst,ItmOce.cxt,2,bitmap,Kiwi,,
3,ItmOce.cst,ItmOce.cxt,3,bitmap,Box,,
3,ItmOce.cst,ItmOce.cxt,4,bitmap,Barikan,,
3,ItmOce.cst,ItmOce.cxt,5,bitmap,Uool,,
3,ItmOce.cst,ItmOce.cxt,6,bitmap,Flute,,
3,ItmOce.cst,ItmOce.cxt,7,bitmap,Tebukuro,,
3,ItmOce.cst,ItmOce.cxt,9,bitmap,oparl,,
3,ItmOce.cst,ItmOce.cxt,10,bitmap,koruku,,
3,ItmOce.cst,ItmOce.cxt,11,bitmap,bumeran,,
3,ItmOce.cst,ItmOce.cxt,12,bitmap,star,,
3,ItmOce.cst,ItmOce.cxt,13,bitmap,rope,,
3,ItmOce.cst,ItmOce.cxt,14,bitmap,Kuji,,
3,ItmOce.cst,ItmOce.cxt,15,bitmap,Ticket,,
3,ItmOce.cst,ItmOce.cxt,16,bitmap,Cross,,
3,ItmOce.cst,ItmOce.cxt,17,bitmap,Kangol,,
3,ItmOce.cst,ItmOce.cxt,18,bitmap,Ucari,,
3,ItmOce.cst,ItmOce.cxt,19,bitmap,Scuva,,
3,ItmOce.cst,ItmOce.cxt,20,bitmap,Nata,,
3,ItmOce.cst,ItmOce.cxt,22,bitmap,Pict,,
3,ItmOce.cst,ItmOce.cxt,23,bitmap,ju,,
3,ItmOce.cst,ItmOce.cxt,24,bitmap,Fue,,
3,ItmOce.cst,ItmOce.cxt,25,bitmap,Sango,,
3,ItmOce.cst,ItmOce.cxt,26,bitmap,Tonkachi,,
3,ItmOce.cst,ItmOce.cxt,27,bitmap,OceKey,,
3,ItmOce.cst,ItmOce.cxt,51,bitmap,CurKago,,
3,ItmOce.cst,ItmOce.cxt,52,bitmap,CurKiwi,,
3,ItmOce.cst,ItmOce.cxt,53,bitmap,CurFlute,,
3,ItmOce.cst,ItmOce.cxt,54,bitmap,CurBox,,
3,ItmOce.cst,ItmOce.cxt,55,bitmap,CurBarikan,,
3,ItmOce.cst,ItmOce.cxt,56,bitmap,CurUool,,
3,ItmOce.cst,ItmOce.cxt,57,bitmap,CurKuji,,
3,ItmOce.cst,ItmOce.cxt,58,bitmap,CurTicket,,
3,ItmOce.cst,ItmOce.cxt,59,bitmap,CurCross,,
3,ItmOce.cst,ItmOce.cxt,60,bitmap,CurKangol,,
3,ItmOce.cst,ItmOce.cxt,61,bitmap,CurUcari,,
3,ItmOce.cst,ItmOce.cxt,62,bitmap,CurNata,,
3,ItmOce.cst,ItmOce.cxt,63,bitmap,CurKoruku,,
3,ItmOce.cst,ItmOce.cxt,64,bitmap,CurRope,,
3,ItmOce.cst,ItmOce.cxt,65,bitmap,CurStar,,
3,ItmOce.cst,ItmOce.cxt,66,bitmap,CurBumeran,,
3,ItmOce.cst,ItmOce.cxt,67,bitmap,CurJu,,
3,ItmOce.cst,ItmOce.cxt,68,bitmap,CurScuva,,
3,ItmOce.cst,ItmOce.cxt,69,bitmap,CurFue,,
3,ItmOce.cst,ItmOce.cxt,70,bitmap,CurSango,,
3,ItmOce.cst,ItmOce.cxt,71,bitmap,CurTonkachi,,
3,ItmOce.cst,ItmOce.cxt,72,bitmap,CurPict,,
3,ItmOce.cst,ItmOce.cxt,73,bitmap,CurTebukuro,,
3,ItmOce.cst,ItmOce.cxt,74,bitmap,Curoparl,,
