CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,SANGO.DXR,1,bitmap,…T…Ï…S«√‰y‚ƒ03s.pict,,
1,Internal,SANGO.DXR,2,script,,,
1,Internal,SANGO.DXR,3,transition,,,
1,Internal,SANGO.DXR,4,transition,,,
1,Internal,SANGO.DXR,14,script,,,
1,Internal,SANGO.DXR,15,script,,,
1,Internal,SANGO.DXR,16,script,,,
1,Internal,SANGO.DXR,17,bitmap,,,
1,Internal,SANGO.DXR,18,bitmap,,,
1,Internal,SANGO.DXR,19,bitmap,,,
1,Internal,SANGO.DXR,20,bitmap,,,
1,Internal,SANGO.DXR,21,bitmap,,,
1,Internal,SANGO.DXR,22,bitmap,,,
1,Internal,SANGO.DXR,23,bitmap,,,
1,Internal,SANGO.DXR,24,bitmap,,,
1,Internal,SANGO.DXR,25,bitmap,,,
1,Internal,SANGO.DXR,26,bitmap,,,
1,Internal,SANGO.DXR,27,bitmap,,,
1,Internal,SANGO.DXR,28,bitmap,,,
1,Internal,SANGO.DXR,29,bitmap,,,
1,Internal,SANGO.DXR,30,bitmap,,,
1,Internal,SANGO.DXR,31,bitmap,,,
1,Internal,SANGO.DXR,32,bitmap,,,
1,Internal,SANGO.DXR,33,bitmap,,,
1,Internal,SANGO.DXR,34,filmLoop,waveLoop,,
1,Internal,SANGO.DXR,35,script,,,
1,Internal,SANGO.DXR,36,script,,,
1,Internal,SANGO.DXR,37,script,,,
1,Internal,SANGO.DXR,38,script,,,
1,Internal,SANGO.DXR,39,sound,seaWaveLow.aif,,
2,bana.Cst,bana.cxt,1,filmLoop,banatenWalk.dir,,
2,bana.Cst,bana.cxt,2,filmLoop,banaRunF,,
2,bana.Cst,bana.cxt,3,bitmap,,,
2,bana.Cst,bana.cxt,4,bitmap,,,
2,bana.Cst,bana.cxt,5,bitmap,,,
2,bana.Cst,bana.cxt,6,bitmap,,,
2,bana.Cst,bana.cxt,7,bitmap,,,
2,bana.Cst,bana.cxt,8,bitmap,banaStopL,,
2,bana.Cst,bana.cxt,9,bitmap,banaStopR,,
2,bana.Cst,bana.cxt,10,filmLoop,banaRunR,,
2,bana.Cst,bana.cxt,11,bitmap,,,
2,bana.Cst,bana.cxt,12,bitmap,,,
2,bana.Cst,bana.cxt,13,bitmap,,,
2,bana.Cst,bana.cxt,14,bitmap,,,
2,bana.Cst,bana.cxt,15,bitmap,,,
2,bana.Cst,bana.cxt,16,filmLoop,banaRunL,,
2,bana.Cst,bana.cxt,17,bitmap,,,
2,bana.Cst,bana.cxt,18,bitmap,,,
2,bana.Cst,bana.cxt,19,bitmap,,,
2,bana.Cst,bana.cxt,20,bitmap,,,
2,bana.Cst,bana.cxt,21,bitmap,,,
2,bana.Cst,bana.cxt,22,filmLoop,banaRunB,,
2,bana.Cst,bana.cxt,23,bitmap,,,
2,bana.Cst,bana.cxt,24,bitmap,,,
2,bana.Cst,bana.cxt,25,bitmap,,,
2,bana.Cst,bana.cxt,26,bitmap,,,
2,bana.Cst,bana.cxt,27,bitmap,,,
2,bana.Cst,bana.cxt,28,sound,ËCÛ˘Ì‹,,
2,bana.Cst,bana.cxt,29,script,,,
2,bana.Cst,bana.cxt,30,sound,…J…L≈[…Ï,,
2,bana.Cst,bana.cxt,31,sound,ele,,
2,bana.Cst,bana.cxt,32,sound,banaten,,
2,bana.Cst,bana.cxt,100,bitmap,Bana,,
2,bana.Cst,bana.cxt,101,bitmap,FlashBana,,
3,kani.Cst,kani.cxt,1,filmLoop,kaniWalk.dir,,
3,kani.Cst,kani.cxt,2,bitmap,kaniStopR,,
3,kani.Cst,kani.cxt,3,bitmap,kaniStopL,,
3,kani.Cst,kani.cxt,4,bitmap,,,
3,kani.Cst,kani.cxt,5,bitmap,,,
3,kani.Cst,kani.cxt,6,bitmap,,,
3,kani.Cst,kani.cxt,7,bitmap,,,
3,kani.Cst,kani.cxt,8,bitmap,,,
3,kani.Cst,kani.cxt,9,bitmap,,,
3,kani.Cst,kani.cxt,10,bitmap,,,
3,kani.Cst,kani.cxt,11,bitmap,,,
3,kani.Cst,kani.cxt,12,bitmap,,,
3,kani.Cst,kani.cxt,13,bitmap,,,
3,kani.Cst,kani.cxt,14,bitmap,,,
3,kani.Cst,kani.cxt,15,bitmap,,,
3,kani.Cst,kani.cxt,16,filmLoop,kaniRunF,,
3,kani.Cst,kani.cxt,17,filmLoop,kaniRunB,,
3,kani.Cst,kani.cxt,18,filmLoop,kaniRunL,,
3,kani.Cst,kani.cxt,19,filmLoop,kaniRunR,,
3,kani.Cst,kani.cxt,20,sound,…I…z≈[…c…N,,
3,kani.Cst,kani.cxt,21,script,,,
3,kani.Cst,kani.cxt,100,bitmap,Kani,,
3,kani.Cst,kani.cxt,101,bitmap,FlashKani,,
4,Pon.Cst,Pon.cxt,1,script,,,
4,Pon.Cst,Pon.cxt,2,bitmap,,,
4,Pon.Cst,Pon.cxt,3,bitmap,,,
4,Pon.Cst,Pon.cxt,4,bitmap,,,
4,Pon.Cst,Pon.cxt,5,bitmap,,,
4,Pon.Cst,Pon.cxt,6,bitmap,,,
4,Pon.Cst,Pon.cxt,7,bitmap,,,
4,Pon.Cst,Pon.cxt,8,bitmap,,,
4,Pon.Cst,Pon.cxt,9,bitmap,,,
4,Pon.Cst,Pon.cxt,10,bitmap,,,
4,Pon.Cst,Pon.cxt,11,filmLoop,PonRunF,,
4,Pon.Cst,Pon.cxt,12,bitmap,,,
4,Pon.Cst,Pon.cxt,13,bitmap,,,
4,Pon.Cst,Pon.cxt,14,bitmap,ponStopB,,
4,Pon.Cst,Pon.cxt,15,bitmap,,,
4,Pon.Cst,Pon.cxt,16,bitmap,,,
4,Pon.Cst,Pon.cxt,17,bitmap,,,
4,Pon.Cst,Pon.cxt,18,bitmap,,,
4,Pon.Cst,Pon.cxt,19,bitmap,,,
4,Pon.Cst,Pon.cxt,20,bitmap,,,
4,Pon.Cst,Pon.cxt,21,filmLoop,PonRunB,,
4,Pon.Cst,Pon.cxt,22,bitmap,,,
4,Pon.Cst,Pon.cxt,23,bitmap,,,
4,Pon.Cst,Pon.cxt,24,bitmap,,,
4,Pon.Cst,Pon.cxt,25,bitmap,,,
4,Pon.Cst,Pon.cxt,26,bitmap,,,
4,Pon.Cst,Pon.cxt,27,bitmap,,,
4,Pon.Cst,Pon.cxt,28,bitmap,,,
4,Pon.Cst,Pon.cxt,29,bitmap,,,
4,Pon.Cst,Pon.cxt,30,bitmap,,,
4,Pon.Cst,Pon.cxt,31,filmLoop,PonRunL,,
4,Pon.Cst,Pon.cxt,32,filmLoop,PonRunR,,
4,Pon.Cst,Pon.cxt,33,bitmap,,,
4,Pon.Cst,Pon.cxt,34,bitmap,,,
4,Pon.Cst,Pon.cxt,35,bitmap,,,
4,Pon.Cst,Pon.cxt,36,bitmap,PonL,,
4,Pon.Cst,Pon.cxt,37,bitmap,,,
4,Pon.Cst,Pon.cxt,38,bitmap,,,
4,Pon.Cst,Pon.cxt,39,bitmap,,,
4,Pon.Cst,Pon.cxt,40,bitmap,,,
4,Pon.Cst,Pon.cxt,41,bitmap,,,
4,Pon.Cst,Pon.cxt,42,bitmap,,,
4,Pon.Cst,Pon.cxt,43,bitmap,,,
4,Pon.Cst,Pon.cxt,44,bitmap,,,
4,Pon.Cst,Pon.cxt,45,bitmap,,,
4,Pon.Cst,Pon.cxt,46,bitmap,,,
4,Pon.Cst,Pon.cxt,47,bitmap,,,
4,Pon.Cst,Pon.cxt,48,bitmap,,,
4,Pon.Cst,Pon.cxt,49,bitmap,,,
4,Pon.Cst,Pon.cxt,50,filmLoop,PonTalkR,,
4,Pon.Cst,Pon.cxt,51,bitmap,,,
4,Pon.Cst,Pon.cxt,52,bitmap,,,
4,Pon.Cst,Pon.cxt,53,bitmap,,,
4,Pon.Cst,Pon.cxt,54,bitmap,,,
4,Pon.Cst,Pon.cxt,55,bitmap,,,
4,Pon.Cst,Pon.cxt,56,bitmap,,,
4,Pon.Cst,Pon.cxt,57,bitmap,,,
4,Pon.Cst,Pon.cxt,58,bitmap,,,
4,Pon.Cst,Pon.cxt,59,filmLoop,PonTalkL,,
4,Pon.Cst,Pon.cxt,60,bitmap,PonStopL,,
4,Pon.Cst,Pon.cxt,61,bitmap,PonStopR,,
4,Pon.Cst,Pon.cxt,62,bitmap,PonStopRR,,
4,Pon.Cst,Pon.cxt,63,bitmap,,,
4,Pon.Cst,Pon.cxt,64,bitmap,,,
4,Pon.Cst,Pon.cxt,65,bitmap,,,
4,Pon.Cst,Pon.cxt,66,filmLoop,PonGetR,,
4,Pon.Cst,Pon.cxt,67,bitmap,PonStopLL,,
4,Pon.Cst,Pon.cxt,68,bitmap,,,
4,Pon.Cst,Pon.cxt,69,bitmap,,,
4,Pon.Cst,Pon.cxt,70,bitmap,,,
4,Pon.Cst,Pon.cxt,71,bitmap,,,
4,Pon.Cst,Pon.cxt,72,bitmap,,,
4,Pon.Cst,Pon.cxt,73,bitmap,,,
4,Pon.Cst,Pon.cxt,74,bitmap,,,
4,Pon.Cst,Pon.cxt,75,filmLoop,PonGetL,,
4,Pon.Cst,Pon.cxt,76,filmLoop,PonPunchL,,
4,Pon.Cst,Pon.cxt,77,bitmap,,,
4,Pon.Cst,Pon.cxt,78,bitmap,,,
4,Pon.Cst,Pon.cxt,79,bitmap,,,
4,Pon.Cst,Pon.cxt,80,bitmap,,,
