CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,SEAHOUS2.DXR,1,bitmap,,,
1,Internal,SEAHOUS2.DXR,2,bitmap,,,
1,Internal,SEAHOUS2.DXR,3,bitmap,,,
1,Internal,SEAHOUS2.DXR,4,bitmap,,,
1,Internal,SEAHOUS2.DXR,5,bitmap,,,
1,Internal,SEAHOUS2.DXR,6,bitmap,,,
1,Internal,SEAHOUS2.DXR,7,bitmap,,,
1,Internal,SEAHOUS2.DXR,8,bitmap,,,
1,Internal,SEAHOUS2.DXR,9,bitmap,,,
1,Internal,SEAHOUS2.DXR,10,bitmap,,,
1,Internal,SEAHOUS2.DXR,11,bitmap,,,
1,Internal,SEAHOUS2.DXR,12,bitmap,,,
1,Internal,SEAHOUS2.DXR,13,script,,,
1,Internal,SEAHOUS2.DXR,14,bitmap,,,
1,Internal,SEAHOUS2.DXR,15,bitmap,,,
1,Internal,SEAHOUS2.DXR,16,bitmap,,,
1,Internal,SEAHOUS2.DXR,17,bitmap,,,
1,Internal,SEAHOUS2.DXR,18,bitmap,,,
1,Internal,SEAHOUS2.DXR,19,bitmap,,,
1,Internal,SEAHOUS2.DXR,20,bitmap,,,
1,Internal,SEAHOUS2.DXR,21,bitmap,,,
1,Internal,SEAHOUS2.DXR,22,bitmap,,,
1,Internal,SEAHOUS2.DXR,23,bitmap,,,
1,Internal,SEAHOUS2.DXR,24,bitmap,,,
1,Internal,SEAHOUS2.DXR,25,bitmap,,,
1,Internal,SEAHOUS2.DXR,26,bitmap,,,
1,Internal,SEAHOUS2.DXR,27,bitmap,,,
1,Internal,SEAHOUS2.DXR,28,bitmap,,,
1,Internal,SEAHOUS2.DXR,29,bitmap,,,
1,Internal,SEAHOUS2.DXR,30,bitmap,,,
1,Internal,SEAHOUS2.DXR,31,bitmap,,,
1,Internal,SEAHOUS2.DXR,32,bitmap,,,
1,Internal,SEAHOUS2.DXR,33,bitmap,,,
1,Internal,SEAHOUS2.DXR,34,bitmap,,,
1,Internal,SEAHOUS2.DXR,35,bitmap,,,
1,Internal,SEAHOUS2.DXR,36,bitmap,,,
1,Internal,SEAHOUS2.DXR,37,bitmap,,,
1,Internal,SEAHOUS2.DXR,38,bitmap,,,
1,Internal,SEAHOUS2.DXR,39,bitmap,,,
1,Internal,SEAHOUS2.DXR,40,bitmap,,,
1,Internal,SEAHOUS2.DXR,41,bitmap,,,
1,Internal,SEAHOUS2.DXR,42,bitmap,,,
1,Internal,SEAHOUS2.DXR,43,bitmap,,,
1,Internal,SEAHOUS2.DXR,44,bitmap,,,
1,Internal,SEAHOUS2.DXR,45,bitmap,,,
1,Internal,SEAHOUS2.DXR,46,bitmap,,,
1,Internal,SEAHOUS2.DXR,47,bitmap,,,
1,Internal,SEAHOUS2.DXR,48,bitmap,,,
1,Internal,SEAHOUS2.DXR,49,bitmap,,,
1,Internal,SEAHOUS2.DXR,50,bitmap,,,
1,Internal,SEAHOUS2.DXR,51,bitmap,,,
1,Internal,SEAHOUS2.DXR,52,bitmap,,,
1,Internal,SEAHOUS2.DXR,53,bitmap,,,
1,Internal,SEAHOUS2.DXR,54,script,,,
1,Internal,SEAHOUS2.DXR,55,bitmap,,,
1,Internal,SEAHOUS2.DXR,56,bitmap,,,
1,Internal,SEAHOUS2.DXR,57,bitmap,,,
1,Internal,SEAHOUS2.DXR,58,bitmap,,,
1,Internal,SEAHOUS2.DXR,59,bitmap,j,,
1,Internal,SEAHOUS2.DXR,60,bitmap,,,
1,Internal,SEAHOUS2.DXR,61,bitmap,j,,
1,Internal,SEAHOUS2.DXR,62,bitmap,j,,
1,Internal,SEAHOUS2.DXR,63,bitmap,,,
1,Internal,SEAHOUS2.DXR,64,bitmap,,,
1,Internal,SEAHOUS2.DXR,65,bitmap,,,
1,Internal,SEAHOUS2.DXR,66,bitmap,,,
1,Internal,SEAHOUS2.DXR,67,bitmap,,,
1,Internal,SEAHOUS2.DXR,68,bitmap,,,
1,Internal,SEAHOUS2.DXR,69,bitmap,,,
1,Internal,SEAHOUS2.DXR,70,bitmap,,,
1,Internal,SEAHOUS2.DXR,71,bitmap,,,
1,Internal,SEAHOUS2.DXR,72,bitmap,,,
1,Internal,SEAHOUS2.DXR,73,bitmap,,,
1,Internal,SEAHOUS2.DXR,74,bitmap,,,
1,Internal,SEAHOUS2.DXR,75,bitmap,,,
1,Internal,SEAHOUS2.DXR,76,bitmap,,,
1,Internal,SEAHOUS2.DXR,77,bitmap,,,
1,Internal,SEAHOUS2.DXR,78,bitmap,,,
1,Internal,SEAHOUS2.DXR,79,bitmap,,,
1,Internal,SEAHOUS2.DXR,80,bitmap,,,
1,Internal,SEAHOUS2.DXR,81,script,,,
1,Internal,SEAHOUS2.DXR,82,script,,,
1,Internal,SEAHOUS2.DXR,83,script,,,
1,Internal,SEAHOUS2.DXR,84,bitmap,,,
1,Internal,SEAHOUS2.DXR,85,script,,,
1,Internal,SEAHOUS2.DXR,86,script,,,
1,Internal,SEAHOUS2.DXR,87,script,,,
1,Internal,SEAHOUS2.DXR,88,script,,,
1,Internal,SEAHOUS2.DXR,89,script,,,
1,Internal,SEAHOUS2.DXR,90,script,,,
1,Internal,SEAHOUS2.DXR,91,script,,,
1,Internal,SEAHOUS2.DXR,92,script,,,
1,Internal,SEAHOUS2.DXR,93,sound,banaËCÛ˘Ì‹.aif,,
1,Internal,SEAHOUS2.DXR,94,sound,…J…L≈[…Ï.aif,,
1,Internal,SEAHOUS2.DXR,95,sound,«ó« ≈[«“.aif,,
1,Internal,SEAHOUS2.DXR,96,sound,Â•ËZÒÿ«√‚–.aif,,
1,Internal,SEAHOUS2.DXR,97,transition,,,
1,Internal,SEAHOUS2.DXR,98,script,,,
2,SangoMes,SangoMes.cxt,1,richText,,,
2,SangoMes,SangoMes.cxt,2,bitmap,Sango_no_rakuen_da,,
2,SangoMes,SangoMes.cxt,3,bitmap,yo-koso,,
2,SangoMes,SangoMes.cxt,4,bitmap,yu-jo-no-takara-wo,,
2,SangoMes,SangoMes.cxt,5,bitmap,sonnna-kotoyori,,
2,SangoMes,SangoMes.cxt,6,bitmap,nande-bokuraga,,
2,SangoMes,SangoMes.cxt,7,bitmap,datte-totemo,,
2,SangoMes,SangoMes.cxt,8,bitmap,ja-tanonnda,,
2,SangoMes,SangoMes.cxt,9,bitmap,boku-no-hue-ha,,
2,SangoMes,SangoMes.cxt,10,bitmap,arigato,,
