CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,SEATURTL.DXR,1,bitmap,,,
1,Internal,SEATURTL.DXR,2,bitmap,,,
1,Internal,SEATURTL.DXR,3,bitmap,,,
1,Internal,SEATURTL.DXR,4,bitmap,,,
1,Internal,SEATURTL.DXR,5,bitmap,,,
1,Internal,SEATURTL.DXR,6,bitmap,,,
1,Internal,SEATURTL.DXR,7,bitmap,,,
1,Internal,SEATURTL.DXR,8,bitmap,,,
1,Internal,SEATURTL.DXR,9,bitmap,,,
1,Internal,SEATURTL.DXR,10,bitmap,,,
1,Internal,SEATURTL.DXR,11,bitmap,,,
1,Internal,SEATURTL.DXR,12,bitmap,,,
1,Internal,SEATURTL.DXR,13,bitmap,,,
1,Internal,SEATURTL.DXR,14,bitmap,,,
1,Internal,SEATURTL.DXR,15,bitmap,,,
1,Internal,SEATURTL.DXR,16,bitmap,,,
1,Internal,SEATURTL.DXR,17,bitmap,,,
1,Internal,SEATURTL.DXR,18,bitmap,,,
1,Internal,SEATURTL.DXR,19,bitmap,,,
1,Internal,SEATURTL.DXR,20,bitmap,,,
1,Internal,SEATURTL.DXR,21,bitmap,,,
1,Internal,SEATURTL.DXR,22,bitmap,,,
1,Internal,SEATURTL.DXR,23,bitmap,,,
1,Internal,SEATURTL.DXR,24,filmLoop,ponWalk,,
1,Internal,SEATURTL.DXR,25,bitmap,,,
1,Internal,SEATURTL.DXR,26,bitmap,,,
1,Internal,SEATURTL.DXR,27,bitmap,,,
1,Internal,SEATURTL.DXR,28,bitmap,,,
1,Internal,SEATURTL.DXR,29,bitmap,,,
1,Internal,SEATURTL.DXR,30,bitmap,,,
1,Internal,SEATURTL.DXR,31,filmLoop,ponWalkWater,,
1,Internal,SEATURTL.DXR,32,bitmap,,,
1,Internal,SEATURTL.DXR,33,bitmap,,,
1,Internal,SEATURTL.DXR,34,bitmap,,,
1,Internal,SEATURTL.DXR,35,bitmap,,,
1,Internal,SEATURTL.DXR,36,bitmap,,,
1,Internal,SEATURTL.DXR,37,bitmap,,,
1,Internal,SEATURTL.DXR,38,filmLoop,monkeyWalk,,
1,Internal,SEATURTL.DXR,39,bitmap,,,
1,Internal,SEATURTL.DXR,40,bitmap,,,
1,Internal,SEATURTL.DXR,41,bitmap,,,
1,Internal,SEATURTL.DXR,42,bitmap,,,
1,Internal,SEATURTL.DXR,43,bitmap,,,
1,Internal,SEATURTL.DXR,44,bitmap,,,
1,Internal,SEATURTL.DXR,45,filmLoop,monkeyWater,,
1,Internal,SEATURTL.DXR,46,bitmap,,,
1,Internal,SEATURTL.DXR,47,bitmap,,,
1,Internal,SEATURTL.DXR,48,bitmap,,,
1,Internal,SEATURTL.DXR,49,bitmap,,,
1,Internal,SEATURTL.DXR,50,bitmap,,,
1,Internal,SEATURTL.DXR,51,bitmap,,,
1,Internal,SEATURTL.DXR,52,bitmap,,,
1,Internal,SEATURTL.DXR,53,filmLoop,kaniWalk,,
1,Internal,SEATURTL.DXR,54,bitmap,,,
1,Internal,SEATURTL.DXR,55,bitmap,,,
1,Internal,SEATURTL.DXR,56,bitmap,,,
1,Internal,SEATURTL.DXR,57,bitmap,,,
1,Internal,SEATURTL.DXR,58,bitmap,,,
1,Internal,SEATURTL.DXR,59,bitmap,,,
1,Internal,SEATURTL.DXR,60,bitmap,,,
1,Internal,SEATURTL.DXR,61,filmLoop,kaniWater,,
1,Internal,SEATURTL.DXR,62,filmLoop,waveLoop,,
1,Internal,SEATURTL.DXR,63,bitmap,,,
1,Internal,SEATURTL.DXR,64,bitmap,,,
1,Internal,SEATURTL.DXR,65,bitmap,,,
1,Internal,SEATURTL.DXR,66,script,,,
1,Internal,SEATURTL.DXR,67,bitmap,,,
1,Internal,SEATURTL.DXR,68,bitmap,,,
1,Internal,SEATURTL.DXR,69,bitmap,,,
1,Internal,SEATURTL.DXR,70,bitmap,,,
