CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,FARMSHP.DXR,1,script,,,
1,Internal,FARMSHP.DXR,2,bitmap,,,
1,Internal,FARMSHP.DXR,3,bitmap,,,
1,Internal,FARMSHP.DXR,4,bitmap,,,
1,Internal,FARMSHP.DXR,5,bitmap,,,
1,Internal,FARMSHP.DXR,6,bitmap,,,
1,Internal,FARMSHP.DXR,7,bitmap,,,
1,Internal,FARMSHP.DXR,8,bitmap,,,
1,Internal,FARMSHP.DXR,9,bitmap,,,
1,Internal,FARMSHP.DXR,10,bitmap,,,
1,Internal,FARMSHP.DXR,11,bitmap,,,
1,Internal,FARMSHP.DXR,12,bitmap,,,
1,Internal,FARMSHP.DXR,13,bitmap,,,
1,Internal,FARMSHP.DXR,14,bitmap,,,
1,Internal,FARMSHP.DXR,15,bitmap,,,
1,Internal,FARMSHP.DXR,16,bitmap,,,
1,Internal,FARMSHP.DXR,17,bitmap,,,
1,Internal,FARMSHP.DXR,18,bitmap,,,
1,Internal,FARMSHP.DXR,19,bitmap,,,
1,Internal,FARMSHP.DXR,20,bitmap,,,
1,Internal,FARMSHP.DXR,21,bitmap,,,
1,Internal,FARMSHP.DXR,22,bitmap,,,
1,Internal,FARMSHP.DXR,23,bitmap,,,
1,Internal,FARMSHP.DXR,24,script,,,
1,Internal,FARMSHP.DXR,25,bitmap,,,
1,Internal,FARMSHP.DXR,26,bitmap,,,
1,Internal,FARMSHP.DXR,27,bitmap,,,
1,Internal,FARMSHP.DXR,28,bitmap,,,
1,Internal,FARMSHP.DXR,29,bitmap,,,
1,Internal,FARMSHP.DXR,30,bitmap,,,
1,Internal,FARMSHP.DXR,31,bitmap,,,
1,Internal,FARMSHP.DXR,32,bitmap,,,
1,Internal,FARMSHP.DXR,33,bitmap,,,
1,Internal,FARMSHP.DXR,34,script,,,
1,Internal,FARMSHP.DXR,35,bitmap,,,
1,Internal,FARMSHP.DXR,36,script,,,
1,Internal,FARMSHP.DXR,37,script,,,
1,Internal,FARMSHP.DXR,38,script,,,
1,Internal,FARMSHP.DXR,39,transition,,,
1,Internal,FARMSHP.DXR,40,sound,untitled 32,,
1,Internal,FARMSHP.DXR,41,sound,Untitled-12,,
2,ItmOce.cst,ItmOce.cxt,1,bitmap,Kago,,
2,ItmOce.cst,ItmOce.cxt,2,bitmap,Kiwi,,
2,ItmOce.cst,ItmOce.cxt,3,bitmap,Box,,
2,ItmOce.cst,ItmOce.cxt,4,bitmap,Barikan,,
2,ItmOce.cst,ItmOce.cxt,5,bitmap,Uool,,
2,ItmOce.cst,ItmOce.cxt,6,bitmap,Flute,,
2,ItmOce.cst,ItmOce.cxt,7,bitmap,Tebukuro,,
2,ItmOce.cst,ItmOce.cxt,9,bitmap,oparl,,
2,ItmOce.cst,ItmOce.cxt,10,bitmap,koruku,,
2,ItmOce.cst,ItmOce.cxt,11,bitmap,bumeran,,
2,ItmOce.cst,ItmOce.cxt,12,bitmap,star,,
2,ItmOce.cst,ItmOce.cxt,13,bitmap,rope,,
2,ItmOce.cst,ItmOce.cxt,14,bitmap,Kuji,,
2,ItmOce.cst,ItmOce.cxt,15,bitmap,Ticket,,
2,ItmOce.cst,ItmOce.cxt,16,bitmap,Cross,,
2,ItmOce.cst,ItmOce.cxt,17,bitmap,Kangol,,
2,ItmOce.cst,ItmOce.cxt,18,bitmap,Ucari,,
2,ItmOce.cst,ItmOce.cxt,19,bitmap,Scuva,,
2,ItmOce.cst,ItmOce.cxt,20,bitmap,Nata,,
2,ItmOce.cst,ItmOce.cxt,22,bitmap,Pict,,
2,ItmOce.cst,ItmOce.cxt,23,bitmap,ju,,
2,ItmOce.cst,ItmOce.cxt,24,bitmap,Fue,,
2,ItmOce.cst,ItmOce.cxt,25,bitmap,Sango,,
2,ItmOce.cst,ItmOce.cxt,26,bitmap,Tonkachi,,
2,ItmOce.cst,ItmOce.cxt,27,bitmap,OceKey,,
2,ItmOce.cst,ItmOce.cxt,51,bitmap,CurKago,,
2,ItmOce.cst,ItmOce.cxt,52,bitmap,CurKiwi,,
2,ItmOce.cst,ItmOce.cxt,53,bitmap,CurFlute,,
2,ItmOce.cst,ItmOce.cxt,54,bitmap,CurBox,,
2,ItmOce.cst,ItmOce.cxt,55,bitmap,CurBarikan,,
2,ItmOce.cst,ItmOce.cxt,56,bitmap,CurUool,,
2,ItmOce.cst,ItmOce.cxt,57,bitmap,CurKuji,,
2,ItmOce.cst,ItmOce.cxt,58,bitmap,CurTicket,,
2,ItmOce.cst,ItmOce.cxt,59,bitmap,CurCross,,
2,ItmOce.cst,ItmOce.cxt,60,bitmap,CurKangol,,
2,ItmOce.cst,ItmOce.cxt,61,bitmap,CurUcari,,
2,ItmOce.cst,ItmOce.cxt,62,bitmap,CurNata,,
2,ItmOce.cst,ItmOce.cxt,63,bitmap,CurKoruku,,
2,ItmOce.cst,ItmOce.cxt,64,bitmap,CurRope,,
2,ItmOce.cst,ItmOce.cxt,65,bitmap,CurStar,,
2,ItmOce.cst,ItmOce.cxt,66,bitmap,CurBumeran,,
2,ItmOce.cst,ItmOce.cxt,67,bitmap,CurJu,,
2,ItmOce.cst,ItmOce.cxt,68,bitmap,CurScuva,,
2,ItmOce.cst,ItmOce.cxt,69,bitmap,CurFue,,
2,ItmOce.cst,ItmOce.cxt,70,bitmap,CurSango,,
2,ItmOce.cst,ItmOce.cxt,71,bitmap,CurTonkachi,,
2,ItmOce.cst,ItmOce.cxt,72,bitmap,CurPict,,
2,ItmOce.cst,ItmOce.cxt,73,bitmap,CurTebukuro,,
2,ItmOce.cst,ItmOce.cxt,74,bitmap,Curoparl,,
2,ItmOce.cst,ItmOce.cxt,100,bitmap,FlashCurKago,,
2,ItmOce.cst,ItmOce.cxt,101,bitmap,FlashCurKiwi,,
2,ItmOce.cst,ItmOce.cxt,102,bitmap,FlashCurFlute,,
2,ItmOce.cst,ItmOce.cxt,103,bitmap,FlashCurBox,,
2,ItmOce.cst,ItmOce.cxt,104,bitmap,FlashCurBarikan,,
2,ItmOce.cst,ItmOce.cxt,105,bitmap,FlashCurUool,,
2,ItmOce.cst,ItmOce.cxt,106,bitmap,FlashCurKuji,,
2,ItmOce.cst,ItmOce.cxt,107,bitmap,FlashCurCross,,
2,ItmOce.cst,ItmOce.cxt,108,bitmap,FlashCurKangol,,
2,ItmOce.cst,ItmOce.cxt,109,bitmap,FlashCurTicket,,
2,ItmOce.cst,ItmOce.cxt,110,bitmap,FlashCurUcari,,
2,ItmOce.cst,ItmOce.cxt,111,bitmap,FlashCurNata,,
2,ItmOce.cst,ItmOce.cxt,112,bitmap,FlashCurKoruku,,
2,ItmOce.cst,ItmOce.cxt,113,bitmap,FlashCurRope,,
2,ItmOce.cst,ItmOce.cxt,114,bitmap,FlashCurStar,,
2,ItmOce.cst,ItmOce.cxt,115,bitmap,FlashCurBumeran,,
2,ItmOce.cst,ItmOce.cxt,116,bitmap,FlashCurJu,,
2,ItmOce.cst,ItmOce.cxt,117,bitmap,FlashCurScuva,,
2,ItmOce.cst,ItmOce.cxt,118,bitmap,FlashCurFue,,
2,ItmOce.cst,ItmOce.cxt,119,bitmap,FlashCurSango,,
2,ItmOce.cst,ItmOce.cxt,120,bitmap,FlashCurTonkachi,,
2,ItmOce.cst,ItmOce.cxt,121,bitmap,FlashCurPict,,
2,ItmOce.cst,ItmOce.cxt,122,bitmap,FlashCurTebukuro,,
2,ItmOce.cst,ItmOce.cxt,123,bitmap,FlashCuroparl,,
2,ItmOce.cst,ItmOce.cxt,124,sound,Sound 124,,
3,Akiko.Cst,Akiko.cxt,1,filmLoop,AkikoWalk.dir,,
3,Akiko.Cst,Akiko.cxt,3,bitmap,,,
3,Akiko.Cst,Akiko.cxt,4,bitmap,,,
3,Akiko.Cst,Akiko.cxt,5,bitmap,,,
3,Akiko.Cst,Akiko.cxt,6,bitmap,,,
3,Akiko.Cst,Akiko.cxt,7,bitmap,,,
3,Akiko.Cst,Akiko.cxt,8,bitmap,,,
3,Akiko.Cst,Akiko.cxt,9,bitmap,,,
3,Akiko.Cst,Akiko.cxt,10,filmLoop,AkikoRunF,,
3,Akiko.Cst,Akiko.cxt,11,bitmap,,,
3,Akiko.Cst,Akiko.cxt,12,bitmap,,,
3,Akiko.Cst,Akiko.cxt,13,bitmap,,,
3,Akiko.Cst,Akiko.cxt,14,bitmap,,,
3,Akiko.Cst,Akiko.cxt,15,bitmap,,,
3,Akiko.Cst,Akiko.cxt,16,bitmap,,,
3,Akiko.Cst,Akiko.cxt,17,bitmap,,,
3,Akiko.Cst,Akiko.cxt,18,filmLoop,AkikoRunR,,
3,Akiko.Cst,Akiko.cxt,19,bitmap,,,
3,Akiko.Cst,Akiko.cxt,20,bitmap,,,
3,Akiko.Cst,Akiko.cxt,21,bitmap,,,
3,Akiko.Cst,Akiko.cxt,22,bitmap,,,
3,Akiko.Cst,Akiko.cxt,23,bitmap,,,
3,Akiko.Cst,Akiko.cxt,24,bitmap,,,
3,Akiko.Cst,Akiko.cxt,25,bitmap,,,
3,Akiko.Cst,Akiko.cxt,26,filmLoop,AkikoRunB,,
3,Akiko.Cst,Akiko.cxt,28,bitmap,,,
3,Akiko.Cst,Akiko.cxt,29,bitmap,,,
3,Akiko.Cst,Akiko.cxt,30,bitmap,,,
3,Akiko.Cst,Akiko.cxt,31,bitmap,,,
3,Akiko.Cst,Akiko.cxt,32,bitmap,,,
3,Akiko.Cst,Akiko.cxt,33,bitmap,,,
3,Akiko.Cst,Akiko.cxt,34,bitmap,,,
3,Akiko.Cst,Akiko.cxt,35,filmLoop,AkikoRunL,,
3,Akiko.Cst,Akiko.cxt,37,bitmap,akikoStopL,,
3,Akiko.Cst,Akiko.cxt,38,bitmap,akikoStopR,,
3,Akiko.Cst,Akiko.cxt,100,bitmap,Akiko,,
3,Akiko.Cst,Akiko.cxt,101,bitmap,FlashAkiko,,
3,Akiko.Cst,Akiko.cxt,102,sound,akiko,,
4,Austmes.Cst,SheepMes.cxt,1,richText,,,
4,Austmes.Cst,SheepMes.cxt,2,bitmap,hithuji_no_shima_da,,
4,Austmes.Cst,SheepMes.cxt,3,bitmap,SouthIsland,,
4,Austmes.Cst,SheepMes.cxt,4,bitmap,eatKiwi,,
4,Austmes.Cst,SheepMes.cxt,5,bitmap,goSouth,,
4,Austmes.Cst,SheepMes.cxt,6,bitmap,WelcomeSheep,,
4,Austmes.Cst,SheepMes.cxt,7,bitmap,oishi_kiwi,,
4,Austmes.Cst,SheepMes.cxt,8,bitmap,arigato,,
4,Austmes.Cst,SheepMes.cxt,9,bitmap,demo?,,
4,Austmes.Cst,SheepMes.cxt,10,bitmap,PresentUool,,
