CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,Internal,KIWIBOAT.DXR,1,bitmap,,,
1,Internal,KIWIBOAT.DXR,2,bitmap,,,
1,Internal,KIWIBOAT.DXR,3,bitmap,,,
1,Internal,KIWIBOAT.DXR,4,bitmap,,,
1,Internal,KIWIBOAT.DXR,5,bitmap,,,
1,Internal,KIWIBOAT.DXR,6,bitmap,,,
1,Internal,KIWIBOAT.DXR,7,bitmap,,,
1,Internal,KIWIBOAT.DXR,8,bitmap,,,
1,Internal,KIWIBOAT.DXR,9,bitmap,,,
1,Internal,KIWIBOAT.DXR,10,bitmap,,,
1,Internal,KIWIBOAT.DXR,11,bitmap,,,
1,Internal,KIWIBOAT.DXR,12,bitmap,,,
1,Internal,KIWIBOAT.DXR,13,bitmap,,,
1,Internal,KIWIBOAT.DXR,14,bitmap,,,
1,Internal,KIWIBOAT.DXR,15,bitmap,,,
1,Internal,KIWIBOAT.DXR,16,bitmap,,,
1,Internal,KIWIBOAT.DXR,17,bitmap,,,
1,Internal,KIWIBOAT.DXR,18,bitmap,,,
1,Internal,KIWIBOAT.DXR,19,bitmap,,,
1,Internal,KIWIBOAT.DXR,20,bitmap,,,
1,Internal,KIWIBOAT.DXR,21,bitmap,,,
1,Internal,KIWIBOAT.DXR,22,bitmap,,,
1,Internal,KIWIBOAT.DXR,23,bitmap,,,
1,Internal,KIWIBOAT.DXR,24,bitmap,,,
1,Internal,KIWIBOAT.DXR,25,bitmap,,,
1,Internal,KIWIBOAT.DXR,26,bitmap,,,
1,Internal,KIWIBOAT.DXR,27,bitmap,,,
1,Internal,KIWIBOAT.DXR,28,bitmap,,,
1,Internal,KIWIBOAT.DXR,29,filmLoop,,,
1,Internal,KIWIBOAT.DXR,30,bitmap,,,
1,Internal,KIWIBOAT.DXR,31,bitmap,,,
1,Internal,KIWIBOAT.DXR,32,bitmap,,,
1,Internal,KIWIBOAT.DXR,33,bitmap,,,
1,Internal,KIWIBOAT.DXR,34,bitmap,,,
1,Internal,KIWIBOAT.DXR,35,bitmap,,,
1,Internal,KIWIBOAT.DXR,36,bitmap,,,
1,Internal,KIWIBOAT.DXR,37,bitmap,ÎDÌ›(ÍéÒ†)02.pict f00006,,
1,Internal,KIWIBOAT.DXR,38,script,,,
1,Internal,KIWIBOAT.DXR,39,bitmap,,,
1,Internal,KIWIBOAT.DXR,40,bitmap,,,
1,Internal,KIWIBOAT.DXR,41,bitmap,,,
1,Internal,KIWIBOAT.DXR,42,bitmap,,,
1,Internal,KIWIBOAT.DXR,43,script,,,
1,Internal,KIWIBOAT.DXR,44,script,,,
1,Internal,KIWIBOAT.DXR,45,script,,,
1,Internal,KIWIBOAT.DXR,46,transition,,,
1,Internal,KIWIBOAT.DXR,47,bitmap,,,
1,Internal,KIWIBOAT.DXR,48,script,,,
1,Internal,KIWIBOAT.DXR,49,script,,,
1,Internal,KIWIBOAT.DXR,50,shape,,,
1,Internal,KIWIBOAT.DXR,51,script,,,
1,Internal,KIWIBOAT.DXR,52,script,,,
1,Internal,KIWIBOAT.DXR,53,script,,,
1,Internal,KIWIBOAT.DXR,55,script,,,
1,Internal,KIWIBOAT.DXR,56,script,,,
1,Internal,KIWIBOAT.DXR,57,script,,,
1,Internal,KIWIBOAT.DXR,58,script,,,
1,Internal,KIWIBOAT.DXR,59,script,,,
1,Internal,KIWIBOAT.DXR,60,script,,,
1,Internal,KIWIBOAT.DXR,61,script,,,
1,Internal,KIWIBOAT.DXR,62,script,,,
1,Internal,KIWIBOAT.DXR,63,script,,,
1,Internal,KIWIBOAT.DXR,64,transition,,,
1,Internal,KIWIBOAT.DXR,65,sound,Íœ«√Û®«Õ,,
2,Akiko.Cst,Akiko.cxt,1,filmLoop,AkikoWalk.dir,,
2,Akiko.Cst,Akiko.cxt,3,bitmap,,,
2,Akiko.Cst,Akiko.cxt,4,bitmap,,,
2,Akiko.Cst,Akiko.cxt,5,bitmap,,,
2,Akiko.Cst,Akiko.cxt,6,bitmap,,,
2,Akiko.Cst,Akiko.cxt,7,bitmap,,,
2,Akiko.Cst,Akiko.cxt,8,bitmap,,,
2,Akiko.Cst,Akiko.cxt,9,bitmap,,,
2,Akiko.Cst,Akiko.cxt,10,filmLoop,AkikoRunF,,
2,Akiko.Cst,Akiko.cxt,11,bitmap,,,
2,Akiko.Cst,Akiko.cxt,12,bitmap,,,
2,Akiko.Cst,Akiko.cxt,13,bitmap,,,
