CastLib Number, CastLib Name, CastLib Filename, Member Number, Member Type, Member Name, Member Filename
1,internal,RIO.DXR,1,script,,,
1,internal,RIO.DXR,2,script,,,
1,internal,RIO.DXR,3,bitmap,,,
1,internal,RIO.DXR,4,bitmap,,,
1,internal,RIO.DXR,5,script,,,
1,internal,RIO.DXR,6,script,,,
1,internal,RIO.DXR,7,script,BallParents,,
1,internal,RIO.DXR,8,script,,,
1,internal,RIO.DXR,9,script,,,
1,internal,RIO.DXR,10,script,,,
1,internal,RIO.DXR,11,script,,,
1,internal,RIO.DXR,12,script,,,
1,internal,RIO.DXR,13,bitmap,…J≈[…j…o…„.pict,,
1,internal,RIO.DXR,14,script,,,
1,internal,RIO.DXR,15,script,,,
1,internal,RIO.DXR,16,script,,,
1,internal,RIO.DXR,17,script,,,
1,internal,RIO.DXR,18,script,,,
1,internal,RIO.DXR,19,shape,,,
1,internal,RIO.DXR,20,script,DashiParents,,
1,internal,RIO.DXR,21,script,,,
1,internal,RIO.DXR,22,script,,,
1,internal,RIO.DXR,23,shape,,,
1,internal,RIO.DXR,24,bitmap,,,
1,internal,RIO.DXR,25,bitmap,,,
1,internal,RIO.DXR,26,bitmap,,,
1,internal,RIO.DXR,27,bitmap,,,
1,internal,RIO.DXR,28,filmLoop,water,,
1,internal,RIO.DXR,29,filmLoop,kusa,,
1,internal,RIO.DXR,30,filmLoop,tree,,
1,internal,RIO.DXR,31,filmLoop,forest,,
1,internal,RIO.DXR,32,sound,ballSound,,
1,internal,RIO.DXR,33,script,,,
1,internal,RIO.DXR,34,bitmap,kannshuu,,
1,internal,RIO.DXR,35,bitmap,Ô™,,
1,internal,RIO.DXR,36,filmLoop,mt.rio,,
1,internal,RIO.DXR,37,filmLoop,michi,,
1,internal,RIO.DXR,38,filmLoop,hei,,
1,internal,RIO.DXR,39,filmLoop,audience,,
1,internal,RIO.DXR,40,bitmap,Dashi,,
1,internal,RIO.DXR,41,bitmap,Ball,,
1,internal,RIO.DXR,42,script,,,
1,internal,RIO.DXR,43,richText,,,
1,internal,RIO.DXR,44,transition,,,
1,internal,RIO.DXR,45,script,,,
1,internal,RIO.DXR,46,script,,,
1,internal,RIO.DXR,47,script,,,
1,internal,RIO.DXR,48,script,,,
1,internal,RIO.DXR,49,script,,,
1,internal,RIO.DXR,50,sound,Sanba,,
1,internal,RIO.DXR,51,sound,drum16,,
2,ShipCastM,ShipCstM.cxt,1,sound,‚FÌ‡ÎD«ô«Æ«À«»,,
2,ShipCastM,ShipCstM.cxt,2,sound,092,,
2,ShipCastM,ShipCstM.cxt,71,filmLoop,shipRunR,,
2,ShipCastM,ShipCstM.cxt,72,bitmap,,,
2,ShipCastM,ShipCstM.cxt,73,bitmap,,,
2,ShipCastM,ShipCstM.cxt,74,bitmap,,,
2,ShipCastM,ShipCstM.cxt,75,bitmap,,,
2,ShipCastM,ShipCstM.cxt,76,bitmap,,,
2,ShipCastM,ShipCstM.cxt,77,filmLoop,ataru,,
2,ShipCastM,ShipCstM.cxt,78,bitmap,,,
2,ShipCastM,ShipCstM.cxt,79,bitmap,,,
2,ShipCastM,ShipCstM.cxt,80,bitmap,,,
2,ShipCastM,ShipCstM.cxt,81,bitmap,,,
